#	HDIC Project
#
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	KTB_entries : Kosanjibon Tenrei Bansho Meigi database
#
#	Kosanjibon Tenrei Bansho Meigi 篆隷萬象名義, Kosanji copy 高山寺本.
#	monk Kukai of the Heian Period 空海, c. 827-835.
#	A Hanzi (Chinese character) dictionary.
#
#	Version: 1.4.2
#	Date: 25 September 1994
#	Last update : 2 February 2022
#
#	Copyright (c) 1994-2022 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#	Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#	Data License Information and Access Rights
#	License: 
#	Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
#	Access Rights (Availability): 
#	Open access
#
#	TSV Format information:
#	----------------------
#	TBID (v_www_xyz) 	: Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#	TB_vol_radical (xx#yyy)	: Volume(xx) and radical number(yyy)
#	TB_radical	: Radical of Chinese character 
#	Entry		: Headword
#	Entry_type	: For details, refer to the following section
#	Entry_diff	: Differences of transliteration with other scholars
#	SYID (vwwwxyyyzz)	: Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#	YYID (Ywwxxxyy-z)	: Volume(ww), leaf(xxx), line(yy) and number(z)
#	TB_remarks	: Editor's notes
#
#	Entry_type:
#	----------
#	Group a	--- Regular headword
#	1 Regular				: 隷書掲出字 (= Regular_clerical)
#	2 Regular_seal			: 隷書掲出字 篆書併存
#
#	Group b -- Embedded headword
#	3 Embedded_clerical		: 埋字 隷書字体
#	4 Embedded_omitted		: 埋字 脱落
#	5 Embedded_seal			: 埋字 篆書字体
#
#	Group c -- Omitted headword
#	6 Omitted				: 脱字 項目全体 脱落
#	7 Omitted-regular		: 脱字 隷書掲出字 脱落
#
#	Group d -- Variant of the Songben Yupian
#	8 Songben-Yupian		: 宋本《玉篇》増補之異体字
#
#   cf. Li 2015.
#   ＊6 Omitted : 項目全体脱落
#　　　　　　　　　 《説文解字》、《玉篇》残巻・佚文、《新撰字鏡》玉篇引用部分等、本文存
#
#	Abbreviations:
# 	-------------
#	TB	: Tenrei Bansho Meigi 篆隷万象名義, Kosanji copy 高山寺本
#	YY	: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#	SY	: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
# 	白	: Shirafuji's transliteration 
# 	宮	: Miyazawa's transliteration
#	上	: Ueda's transliteration
#	呂	: Lv's transliteration
#
#	References:
#	----------
#	Shirafuji	: Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辞書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#	Miyazawa	: Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覧表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辞書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#	Ueda		: Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切総覧, Kobe: Private edition, 1986.
#	Lv		: Lv Hao 呂浩, Zhuanli Wanxiang Mingyi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Li      : Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脱字―篆隷万象名義の掲出字数をめぐる問題―, Kuntengo to Kunten-Shiryo 訓点語と訓点資料 135: 60-78, 2015.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	SYID	YYID	TB_remarks
1_017_A63	v1#3	示	祡	Regular_seal		a006b032		有埋字A・B。柴文：呂按「即指柴字又作𥚨」。
1_017_A631	v1#3	示	柴	Embedded_clerical		▽		埋字A。
1_017_A64	v1#3	示	𥚨	Embedded_clerical		a006b033		埋字B。
1_017_B11	v1#3	示	祖	Regular_seal		a006b041		
1_017_B12	v1#3	示	祊	Regular_seal		a006b043		有埋字B二字。
1_017_B13	v1#3	示	𥛱	Embedded_clerical		a006b042		埋字B。
1_017_B14	v1#3	示	𥛻	Embedded_clerical		△		埋字B。
1_017_B14	v1#3	示	𥚧	Regular	白	△		
1_017_B21	v1#3	示	祠	Regular_seal		a006b044		
1_017_B22	v1#3	示	礿	Regular_seal		a006b051		有埋字B。
1_017_B23	v1#3	示	禴	Embedded_clerical		a006b052		埋字B。
1_017_B23	v1#3	示	𧆆	Regular	白	a006b052		
1_017_B31	v1#3	示	祫	Regular_seal		a006b053		
1_017_B32	v1#3	示	禘	Regular_seal		a006b054		有埋字B。
1_017_B321	v1#3	示	禘β	Embedded_clerical				埋字B。禘β：呂作祶。
1_017_B41	v1#3	示	祜	Regular_seal		a006b055		
1_017_B42	v1#3	示	禧	Regular_seal		a006b062		
1_017_B51	v1#3	示	祐	Regular_seal		a006b063		有埋字B。
1_017_B511	v1#3	示	𨳾	Embedded_clerical				埋字B。𨳾：據呂《校釋》。
1_017_B52	v1#3	示	祺	Regular_seal		a006b064		有埋字B二字。祺β：篆書字形。
1_017_B53	v1#3	示	禥	Embedded_clerical		a006b071		埋字B。
1_017_B61	v1#3	示	福	Regular_seal		a006b061		有埋字B。注文上下二段。
1_017_B611	v1#3	示	福λ	Embedded_clerical				埋字B。
1_018_A11	v1#3	示	祿	Regular_seal		a006b072		有埋字B。
1_018_A111	v1#3	示	祿β	Embedded_seal				埋字B。篆書字形。
1_018_A12	v1#3	示	禛	Regular_seal		a006b073		
1_018_A21	v1#3	示	祉	Regular_seal		a006b074		
1_018_A22	v1#3	示	禔	Regular_seal		a006b075		
1_018_A31	v1#3	示	祥	Regular_seal		a006b081		有埋字B。
1_018_A311	v1#3	示	祥β	Embedded_clerical				埋字B。祥β：原作⿱⿰入入⿱干勿、呂作⿰羊示。似𢒑字。
1_018_A32	v1#3	示	禎	Regular_seal		a006b082		
1_018_A41	v1#3	示	禨	Regular_seal		a006b084		有埋字A。次項同。
1_018_A42	v1#3	示	禠	Embedded_clerical		△(a006b083)		埋字A、参看次項。
1_018_A43	v1#3	示	禠	Regular_seal		a006b083		
1_018_A51	v1#3	示	祪	Regular_seal		a006b085		
1_018_A52	v1#3	示	禰	Regular_seal		a006b086		
1_018_A61	v1#3	示	祰	Regular_seal		a006b092		
1_018_A62	v1#3	示	祼	Regular_seal		a006b093		有埋字B。
1_018_A621	v1#3	示	祼β	Embedded_seal				埋字B。篆書字形。
1_018_B11	v1#3	示	祝	Regular		a006b095		
1_018_B12	v1#3	示	祈	Regular		a006b096		
1_018_B21	v1#3	示	禷	Regular		a006b101		
1_018_B22	v1#3	示	禱	Regular_seal		a006b102		篆書掲出字三字有埋字B二字。據宮澤。
1_018_B23	v1#3	示	𥜹	Embedded_clerical		a006b103		埋字B。《万象名義》写真版、無此字。
1_018_B24	v1#3	示	𥛇	Embedded_clerical		a006b104		埋字B。《万象名義》写真版、無此字。
1_018_B31	v1#3	示	䄟	Regular		a006b105		
1_018_B32	v1#3	示	禮	Regular_seal		a007a011		有埋字B三字。篆書掲出字二字禮和其重文。
1_018_B321	v1#3	示	豊	Embedded_clerical		△		埋字B。
1_018_B322	v1#3	示	𠃞	Embedded_clerical		△		埋字B。
1_018_B33	v1#3	示	礼	Embedded_clerical		a007a012		埋字B。
1_018_B41	v1#3	示	祔	Regular		a007a013		
1_018_B42	v1#3	示	𥛅	Regular		a007a014		有埋字B。
1_018_B43	v1#3	示	䄂	Embedded_clerical		a006b094		埋字B。
1_018_B51	v1#3	示	禖	Regular		a007a022		
1_018_B52	v1#3	示	禪	Regular		a007a023		
1_018_B61	v1#3	示	禜	Regular		a007a024		
1_018_B62	v1#3	示	䄆	Regular		a007a025		
1_019_A11	v1#3	示	禳	Regular		a007a031		
1_019_A12	v1#3	示	禬	Regular		a007a032		
1_019_A21	v1#3	示	禕	Regular		a007a033		
1_019_A22	v1#3	示	禦	Regular		a007a034		
1_019_A31	v1#3	示	祓	Regular		a007b095		
1_019_A32	v1#3	示	祴	Regular		a007a035		
1_019_A321	v1#3	示	禶	Songben-Yupian		a007a041		
1_019_A322	v1#3	示	𥜲	Songben-Yupian		a007a042		
1_019_A41	v1#3	示	禡	Regular		a007a043		
1_019_A42	v1#3	示	社	Regular		a007a015		有埋字B。
1_019_A43	v1#3	示	𥙲	Embedded_clerical		a007a021		埋字B。
1_019_A51	v1#3	示	祳	Regular		a007a044		
1_019_A52	v1#3	示	祚	Regular		a007a051		祚β：疑當為埋字B歟。
1_019_A61	v1#3	示	祾	Regular		a007a045		
1_019_A62	v1#3	示	祱	Regular		a007a052		有埋字A。次項同。
1_019_A63	v1#3	示	祽	Embedded_clerical		△(a007a053)		埋字A。次項同。
1_019_B11	v1#3	示	祽	Regular_seal		a007a053		
1_019_B12	v1#3	示	䄛	Regular_seal		a007a054		
1_019_B21	v1#3	示	䄍	Regular_seal		a007a061		
1_019_B22	v1#3	示	禂	Regular_seal		a007a062		
1_019_B31	v1#3	示	䄚	Regular_seal		a007b084		
1_019_B32	v1#3	示	祧	Regular_seal		a007a063		有埋字B。
1_019_B321	v1#3	示	𥜔	Embedded_clerical		a007a064		埋字B。
1_019_B33	v1#3	示	𥜔	Embedded_clerical		a007a064		埋字B。
1_019_B41	v1#3	示	禊	Regular_seal		a007a072		
1_019_B42	v1#3	示	禓	Regular_seal		a007a065		
1_019_B42	v1#3	示	𥛙	Regular	白	a007a065		
1_019_B51	v1#3	示	祲	Regular_seal		a007a071		
1_019_B52	v1#3	示	𥚩	Regular_seal		a007a083		作糈字：《新撰字鏡》為義注字。
1_019_B61	v1#3	示	禍	Regular_seal		a007a081		
1_019_B611	v1#3	示	𥙯	Songben-Yupian		a007a082		
1_019_B62	v1#3	示	祟	Regular_seal		a007a091		有埋字B。
1_019_B63	v1#3	示	𥜱	Embedded_clerical		a007a092		埋字B。
1_020_A11	v1#3	示	祙	Regular_seal		a007a094		
1_020_A12	v1#3	示	𥛜	Regular_seal		a007a093		詛也：《新撰字鏡》疑作字體注。
1_020_A21	v1#3	示	禁	Regular_seal		a007a095		
1_020_A22	v1#3	示	䄏	Regular_seal		▽		有埋字B。
1_020_A23	v1#3	示	祅	Embedded_clerical		a007a101		埋字B。
1_020_A31	v1#3	示	禫	Regular_seal		a007a102		
1_020_A32	v1#3	示	禲	Regular_seal		a007a096		
1_020_A41	v1#3	示	祩	Regular_seal		a007a103		
1_020_A42	v1#3	示	䄤	Regular_seal		a007b011		
1_020_A51	v1#3	示	祤	Regular_seal		a007b012		
1_020_A52	v1#3	示	䄐	Regular_seal		a007b013		
1_020_A61	v1#3	示	䄌	Regular_seal		a007b014		
1_020_A62	v1#3	示	𥜦	Regular_seal		▽		有埋字B。
1_020_A63	v1#3	示	𥙮	Embedded_clerical		a007b015		埋字B。𥙮：呂按「𥙮字原訛」。
1_020_B11	v1#3	示	禉	Regular_seal		a007b041		
1_020_B12	v1#3	示	𥛳	Regular_seal		a007b043		
1_020_B21	v1#3	示	䄃	Regular_seal		a007b021		
1_020_B22	v1#3	示	礽	Regular_seal		a007b022		
1_020_B31	v1#3	示	𥛲	Regular_seal		a007b023		醮也：宋本《玉篇》字体注。
1_020_B32	v1#3	示	𥛰	Regular_seal		a007b024		
1_020_B41	v1#3	示	䄉	Regular_seal		a007b025		為娥字：《新撰字鏡》為義注字。
1_020_B42	v1#3	示	𥙰	Regular_seal		a007b032		有埋字B三字。掲出字：原作𡎺、呂同作。
1_020_B421	v1#3	示	𥙰β	Embedded-omitted				埋字B。
1_020_B422	v1#3	示	𥙰γ	Embedded_seal				埋字B。篆書字形。
1_020_B423	v1#3	示	𥙰δ	Embedded-omitted				埋字B。
1_020_B51	v1#3	示	𥜃	Regular_seal		a007b031		䭞字也：《新撰字鏡》為義注字。
1_020_B52	v1#3	示	禗	Regular_seal		a007b033		
1_020_B61	v1#3	示	祘	Regular_seal		a007b034		筭字、古文也：说文「明視以筭之。从二示。《逸周書》曰：“士分民之祘。均分以祘之也。”讀若筭。蘇貫切」。G01尾
1_021_A31	v1#4	二	二	Regular_seal		a007b101		有埋字A。G02首。
1_021_A311	v1#4	二	弍	omitted		a007b102		
1_021_A32	v1#4	二	𢛢	Embedded_clerical		a007b104		埋字A。
1_021_A33	v1#4	二	恒	Regular_seal		a007b103		有埋字A一字和埋字B二字。
1_021_A331	v1#4	二	𠄨	Embedded_clerical		a008a011		埋字B。
1_021_A332	v1#4	二	恒β	Embedded_clerical				埋字B。
1_021_A333	v1#4	二	𠄢	Embedded_clerical		a008a012		埋字A。
1_021_A34	v1#4	二	𠄨	Embedded_clerical		a008a011		埋字B。
1_021_A341	v1#4	二	恒β	Embedded_clerical				埋字B。
1_021_A342	v1#4	二	𠄢	Embedded_clerical		a008a012		埋字A。
1_021_A41	v1#4	二	𠄢	Regular_seal		a008a012		
1_021_A41	v1#4	二	亘	Regular	白	a008a011		此字、存宋本《玉篇》注文中。
1_021_A42	v1#4	二	亟	Regular_seal		a008a013		
1_021_A51	v1#4	二	亝	Regular_seal		a008a014		齊也：大字。症也：疑當作莊、呂作庄。
1_021_A52	v1#4	二	竺	Regular_seal		a008a015		薦也：疑當作「篤」、吕本作「䔍」p.4。
1_021_A521	v1#4	二	亖	Songben-Yupian		a008a016		
1_021_A61	v1#4	二	凡	Regular_seal		a008a021		
1_021_B21	v1#5	三	三	Regular_seal		a008a031		
1_021_B211	v1#5	三	弎	omitted		a008a032		
1_021_B22	v1#6	王	王	Regular_seal		a008a041		有埋字B。
1_021_B23	v1#6	王	𠙻	Embedded_clerical		a008a051		埋字B。
1_021_B31	v1#6	王	皇	Regular_seal		a008a052		有埋字B。
1_021_B32	v1#6	王	𤽙	Embedded_clerical		a008a061		埋字B。
1_021_B32	v1#6	王	𦤍	Regular	宮	a008a061		
1_021_B33	v1#6	王	閏	Regular_seal		a008a062		
1_021_B41	v1#7	玉	玉	Regular		a008a081		有埋字B二字。
1_021_B411	v1#7	玉	玉β	Embedded_clerical				埋字B。
1_021_B42	v1#7	玉	𤣪	Embedded_clerical		a008a101		埋字B。
1_021_B43	v1#7	玉	璙	Regular_seal		a008a103		
1_021_B51	v1#7	玉	瓘	Regular_seal		a008a104		
1_021_B52	v1#7	玉	璥	Regular_seal		a008a105		
1_021_B61	v1#7	玉	琠	Regular_seal		a008a106		有埋字A一字和埋字B二字。
1_021_B611	v1#7	玉	琠β	Embedded-omitted				埋字B。
1_021_B62	v1#7	玉	𤩴	Embedded_clerical		a008b011		埋字B。
1_021_B63	v1#7	玉	玘	Embedded_clerical		a008b012		埋字A。
1_021_B64	v1#7	玉	瓕	Regular_seal		a008b013		
1_022_A11	v1#7	玉	𤫕	Regular_seal		a008b014		
1_022_A12	v1#7	玉	𤩮	Regular_seal		a008b015		
1_022_A21	v1#7	玉	瑾	Regular_seal		a008b016		
1_022_A22	v1#7	玉	瑜	Regular_seal		a008b017		有埋字A。翼珠(玉)也（反）：呂按「此處“翼珠也”為“翼珠反”之誤」，p.5。
1_022_A23	v1#7	玉	璵	Embedded_clerical		a008b021		埋字A。
1_022_A23	v1#7	玉	𤫌	Regular	白	a008b021		
1_022_A31	v1#7	玉	璠	Regular_seal		a008b022		
1_022_A32	v1#7	玉	玒	Regular_seal		a008b023		
1_022_A41	v1#7	玉	珣	Regular_seal		a010a071		
1_022_A42	v1#7	玉	瓊	Regular_seal		a008b031		有埋字B三字。
1_022_A43	v1#7	玉	璚	Embedded_clerical		a008b032		埋字B。
1_022_A44	v1#7	玉	瓗	Embedded_clerical		a008b033		埋字B。
1_022_A45	v1#7	玉	璇	Embedded_clerical		a008b041		埋字B。
1_022_A451	v1#7	玉	琁	omitted		a008b042		
1_022_A51	v1#7	玉	璐	Regular_seal		a008b024		
1_022_A52	v1#7	玉	𤦃	Regular_seal		a008b043		
1_022_A61	v1#7	玉	珦	Regular_seal		a008b044		
1_022_A62	v1#7	玉	㻝	Regular_seal		a008b045		
1_022_B11	v1#7	玉	瓄	Regular_seal		a008b051		
1_022_B12	v1#7	玉	璿	Regular_seal		a008b054		有埋字B三字。
1_022_B121	v1#7	玉	璿β	Embedded-omitted				埋字B。
1_022_B13	v1#7	玉	𤫀	Embedded_clerical		a008b061		埋字B。
1_022_B14	v1#7	玉	𤩅	Embedded_clerical		a008b062		埋字B。
1_022_B21	v1#7	玉	珵	Regular_seal		a008b052		
1_022_B22	v1#7	玉	球	Regular_seal		a008b063		有埋字A。
1_022_B23	v1#7	玉	琳	Embedded_clerical		a008b053		埋字A。
1_022_B31	v1#7	玉	璆	Regular_seal		a008b071		
1_022_B32	v1#7	玉	㻒	Regular_seal		a008b072		
1_022_B41	v1#7	玉	瑅	Regular_seal		a008b073		
1_022_B42	v1#7	玉	瑭	Regular_seal		a008b074		有埋字A。
1_022_B43	v1#7	玉	珙	Embedded_clerical		a008b075		埋字A。
1_022_B51	v1#7	玉	琛	Regular_seal		a008b081		有埋字A。
1_022_B52	v1#7	玉	㻽	Embedded_clerical		a008b076		埋字A。掲出字：原文一字誤作二字。似睡反：原文疑作「以」、吕本作「以」、p.6。
1_022_B53	v1#7	玉	璧	Regular_seal		a008b083		有埋字B。
1_022_B531	v1#7	玉	璧β	Embedded-omitted				埋字B。
1_022_B61	v1#7	玉	玊	Regular		a008a102		
1_022_B62	v1#7	玉	環	Regular_seal		a008b082		
1_023_A11	v1#7	玉	瑗	Regular_seal		a008b084		
1_023_A12	v1#7	玉	琮	Regular_seal		a008b085		
1_023_A21	v1#7	玉	璜	Regular_seal		a008b092		
1_023_A22	v1#7	玉	琥	Regular_seal		a008b101		
1_023_A31	v1#7	玉	瓃	Regular_seal		a008b093		
1_023_A32	v1#7	玉	瓏	Regular_seal		a008b091		
1_023_A41	v1#7	玉	珪	Regular_seal		a008b102		
1_023_A42	v1#7	玉	璋	Regular_seal		a008b104		
1_023_A51	v1#7	玉	玠	Regular_seal		a009a011		有埋字B。
1_023_A511	v1#7	玉	玠β	Embedded_clerical				埋字B。
1_023_A52	v1#7	玉	琬	Regular_seal		a009a012		
1_023_A61	v1#7	玉	琰	Regular_seal		a008b103		
1_023_A62	v1#7	玉	瑒	Regular_seal		a009a013		
1_023_B11	v1#7	玉	瓛	Regular_seal		a009a014		
1_023_B12	v1#7	玉	珽	Regular_seal		a009a015		
1_023_B21	v1#7	玉	琡	Regular_seal		a009a031		
1_023_B22	v1#7	玉	瑁	Regular_seal		a009a021		有埋字B。
1_023_B23	v1#7	玉	𤣽	Embedded_clerical		a009a022		埋字B。
1_023_B31	v1#7	玉	瑞	Regular_seal		a009a032		
1_023_B32	v1#7	玉	瑱	Regular_seal		a009a033		有埋字B。
1_023_B321	v1#7	玉	瑱β	Embedded-omitted				埋字B。
1_023_B41	v1#7	玉	珥	Regular_seal		a009a034		
1_023_B42	v1#7	玉	琫	Regular_seal		a009a041		
1_023_B51	v1#7	玉	珌	Regular_seal		a009a042		有埋字B。
1_023_B52	v1#7	玉	㻫	Embedded_clerical		a009a043		埋字B。
1_023_B53	v1#7	玉	璏	Regular_seal		a009a044		有埋字B。
1_023_B54	v1#7	玉	⿰王⿱立豕	Embedded_clerical		a009a052		埋字B。呂作瑑。⿰王⿱立豕：原文字形小異。
1_023_B54	v1#7	玉	瑑	Regular	白	a009a052		
