#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian database
#
#	Version: 1.0.36
#	Date: 20 October 2015
#	Last update : 27 March 2019
#
#	Copyright (c) 2014-2017 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute.
#	Send bug reports and feature requests via email.
#
#	TSV Format information:
#
#	SYID	: Book, leaf, recto-verso, line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Radical of Chinese character
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	UCShex		: Numeric character reference in hexadecimal format
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#   References
#   ----------
#   臧克和著, 中古漢字流變, 華東師範大學出版社, 2008. Zang Kehe, Zhong gu Han zi liu bian, Shanghai : Hua dong shi fan da xue chu ban she, 2008.
#
#   Primary Sources
#   ---------------
#   Songben Yupian 宋本玉篇. 
#       宮内廳書陵部藏本(南宋版) 大廣益會玉篇 (box 515, no.106, photographic images).
#       澤存堂本：〔梁〕顧野王著, 大廣益會玉篇, 北京：中華書局, 1987.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	UCShex	SY_def	KSY_diff
a007b055	v1#3	示	䄁	⿰礻丗	&#x4101;	翌制切。祭也。	
a007b056	v1#3	示	𥛯		&#xD855;&#xDEEF;	古穴切。不祥也。	
a007b061	v1#3	示	𥛚		&#xD855;&#xDEDA;	丑歷切。福也。	
a007b062	v1#3	示	𥙎		&#xD855;&#xDE4E;	莫伯切。神也。	
a007b063	v1#3	示	䃿		&#x40FF;	方無切。祭䟽也。	
a007b064	v1#3	示	䄓		&#x4113;	戶光切。䄘䄓祭也。	
a007b065	v1#3	示	䄜		&#x411C;	力之切。福祥也。	
a007b066	v1#3	示	𥜰		&#xD855;&#xDF30;	所宜切。祭名。	
a007b067	v1#3	示	禯		&#x79AF;	尼龍切。厚祭也。	
a007b071	v1#3	示	𥙬		&#xD855;&#xDE6C;	所交切。祜也。	
a007b072	v1#3	示	祹		&#x7979;	徒勞切。福也。	
a007b073	v1#3	示	禑		&#x7991;	音吳。福也。	
a007b074	v1#3	示	䄝		&#x411D;	丑江切。祭壇不毀也。	
a007b075	v1#3	示	禟		&#x799F;	徒郎切。祐也。	
a007b076	v1#3	示	𥜴		&#xD855;&#xDF34;	去言切。祭也。	
a007b081	v1#3	示	祌		&#x794C;	音仲。神也。	
a007b082	v1#3	示	禭		&#x79AD;	詞類切。祭名。	
a007b083	v1#3	示	𥛝		&#xD855;&#xDEDD;	符容切。神名。	
a007b084	v1#3	示	䄚		&#x411A;	才刀切。豕祭也。	
a007b085	v1#3	示	祆		&#x7946;	阿憐切。胡神也。	
a007b086	v1#3	示	祻		&#x797B;	音固。祭也。	
a007b087	v1#3	示	𥘬		&#xD855;&#xDE2C;	音弗。除殃祭也。	
a007b091	v1#3	示	禚		&#x799A;	之若切。齊地名。	
a007b092	v1#3	示	祦		&#x7966;	音吳。福也。	
a007b093	v1#3	示	𥛟		&#xD855;&#xDEDF;	匹角切。久視。	
a007b094	v1#3	示	𥛘		&#xD855;&#xDED8;	音畢。竈上祭也。	
a007b095	v1#3	示	祓		&#x7953;	孚物切。除災求福也。又方吠切。福也。	
a007b101	v1#4	二	二		&#x4E8C;	而至切。《說文》曰：地之數也。《易》曰：天一地二。	
a007b102	v1#4	二	弍		&#x5F0D;	古文。	
a007b103	v1#4	二	恒	𢘆	&#x6052;	何登切。常也。《易》曰：恒久也。	
a007b104	v1#4	二	𢛢		&#xD849;&#xDEE2;	同上。	
a008a011	v1#4	二	𠄨		&#xD840;&#xDD28;	古文。	
a008a012	v1#4	二	𠄢		&#xD840;&#xDD22;	思縁切。求𠄢也。今宣從亘同。	
a008a013	v1#4	二	亟		&#x4E9F;	居力切。急也、疾也。又丘致切。數也。	
a008a014	v1#4	二	亝		&#x4E9D;	徂兮切。古文齊。	
a008a015	v1#4	二	竺		&#x7AFA;	丁沃切。厚也。又音竹。	
a008a016	v1#4	二	亖		&#x4E96;	古文、四。	
a008a021	v1#4	二	凡		&#x51E1;	扶嚴切。凡計數也。又非一也。《說文》云：最括也。《廣雅》云：輕也、皆也。	
a008a022	v1#4	二	𠄱		&#xD840;&#xDD31;	弋之切。陽氣也。	
a008a023	v1#4	二	𠄿		&#xD840;&#xDD3F;	音圍。	
a008a024	v1#4	二	𠄰		&#xD840;&#xDD30;	力擣切。古文老。	
a008a031	v1#5	三	三		&#x4E09;	思甘切。《說文》云：天地人之道也。《老子》曰：道生一、一生二、二生三、三生萬物。	
a008a032	v1#5	三	弎		&#x5F0E;	古文。	
a008a041	v1#6	王	王		&#x738B;	禹方切。《說文》云：天下所歸往也。董仲舒曰：古之造文者三畫而連其中謂之王、三者天地人也、而參通之者王也。孔子曰：一貫三爲王。《蔡邕・獨斷》云：皇子爲王。	
a008a051	v1#6	王	𠙻		&#xD841;&#xDE7B;	古文。	
a008a052	v1#6	王	皇		&#x7687;	胡光切。大也、匡也。《爾雅》云：君也。《論語》曰：皇皇后帝。注謂大夫帝也。《儀禮》：賔入門皇自莊盛也。	
a008a061	v1#6	王	𦤍		&#xD85A;&#xDD0D;	古文。	
a008a062	v1#6	王	閏		&#x958F;	如舜切。閏餘也。《說文》云：餘分之月、五歲再閏、告朔之禮、天子居宗廟、閏月居門中。《周禮》云：閏月詔王、居門終月。	
a008a081	v1#7	玉	玉		&#x7389;	魚録切。《禮記》曰：君子比德於玉焉、温潤而澤仁也、縝密以栗知也、廉而不劌義也、垂之如隊禮也、叩之其聲清越而長其終詘然樂也、瑕不揜瑜、瑜不揜瑕、忠也、孚筠旁達信也、氣如白虹天也、精神見于山川地也、圭璋特達德也、故君子貴之也。	
a008a101	v1#7	玉	𤣪		&#xD852;&#xDCEA;	古文。	
a008a102	v1#7	玉	玊		&#x738A;	欣救思六二切。玉工也。亦姓也。	
a008a103	v1#7	玉	璙		&#x7499;	力弔力小二切。玉名。	
a008a104	v1#7	玉	瓘		&#x74D8;	古喚切。玉名。	
a008a105	v1#7	玉	璥		&#x74A5;	居影切。玉名。	
a008a106	v1#7	玉	琠		&#x7420;	他典切。玉名。	
a008b011	v1#7	玉	𤩴		&#xD852;&#xDE74;	古文。	
a008b012	v1#7	玉	玘		&#x7398;	去里切。玉名。	
a008b013	v1#7	玉	瓕		&#x74D5;	弭規切。玉名。	
a008b014	v1#7	玉	𤫕		&#xD852;&#xDED5;	奴刀切。玉名。	
a008b015	v1#7	玉	𤩮	⿰⺩𣪠	&#xD852;&#xDE6E;	郎敵切。玉名。	
a008b016	v1#7	玉	瑾		&#x747E;	奇鎭切。瑾瑜美玉也。	
a008b017	v1#7	玉	瑜		&#x745C;	弋朱切。瑜玉不揜瑕玉中美也。《禮記》：丗子佩瑜玉也。	
a008b021	v1#7	玉	璵		&#x74B5;	弋居切。璵璠美玉皃。	
a008b022	v1#7	玉	璠		&#x74A0;	方袁房袁二切。美玉皃。	
a008b023	v1#7	玉	玒		&#x7392;	古邦古紅二切。玉名。	
a008b024	v1#7	玉	璐		&#x7490;	力故切。美玉也。	
a008b031	v1#7	玉	瓊		&#x74CA;	渠營切。《說文》云：赤玉也。《莊子》云：積石爲樹名曰瓊枝、其高一百二十仭、大三十圍、以琅玕爲之寳。	
a008b032	v1#7	玉	璚		&#x749A;	同上。	
a008b033	v1#7	玉	瓗		&#x74D7;	同上。又音畦、又羊水切。美皃。	
a008b041	v1#7	玉	璇		&#x7487;	似宣切。美石次玉。亦作琁。	
a008b042	v1#7	玉	琁		&#x7401;	同上。又徐宣切。	
a008b043	v1#7	玉	𤦃		&#xD852;&#xDD83;	力才切。玉屬也。	
a008b044	v1#7	玉	珦		&#x73E6;	虛亮切。玉名。	
a008b045	v1#7	玉	㻝		&#x3EDD;	力達切。玉名。	
a008b051	v1#7	玉	瓄		&#x74C4;	徒木切。《史記》云：崐山出瓄玉也。	
a008b052	v1#7	玉	珵		&#x73F5;	除荆切。美玉也、埋六寸光自輝。	
a008b053	v1#7	玉	琳		&#x7433;	力金切。玉名。	
a008b054	v1#7	玉	璿		&#x74BF;	似縁切。《山海經》云：有沃之國沃民是處爰璿瑰瑙碧。《虞書》曰：璿璣玉衡。《孔傳》云：璿美玉穆天子傳春山之寳有璿珠也。	
a008b061	v1#7	玉	𤫀		&#xD852;&#xDEC0;	籀文。	
a008b062	v1#7	玉	𤩅		&#xD852;&#xDE45;	古文。	
a008b063	v1#7	玉	球		&#x7403;	巨周切。《虞書》曰：戛擊鳴球。《孔傳》云：球玉磬也。	
a008b071	v1#7	玉	璆		&#x7486;	奇樛切。美玉也。	
a008b072	v1#7	玉	㻒		&#x3ED2;	奇殞切。齊玉也。	
a008b073	v1#7	玉	瑅		&#x7445;	大兮切。玉名。	
a008b074	v1#7	玉	瑭		&#x746D;	徒郎切。玉也。	
a008b075	v1#7	玉	珙		&#x73D9;	居容居勇二切。大璧也。	
a008b076	v1#7	玉	㻽		&#x3EFD;	似睡切。玉名。	
a008b081	v1#7	玉	琛		&#x741B;	敕今切。琛寳也。	
a008b082	v1#7	玉	環		&#x74B0;	下關切。繞也。又玉環。《爾雅》曰：肉好若一謂之環。	
a008b083	v1#7	玉	璧		&#x74A7;	俾亦切。瑞玉圜以象天也。	
a008b084	v1#7	玉	瑗		&#x7457;	爲眷切。玉名。	
a008b085	v1#7	玉	琮		&#x742E;	才宗切。琮玉八角象地。《說文》云：瑞玉大八寸似車釭。	
a008b091	v1#7	玉	瓏		&#x74CF;	力恭切。禱旱之玉爲龍文也。又音聾。玲瓏玉聲。	
a008b092	v1#7	玉	璜		&#x749C;	胡光切。半璧也。	
a008b093	v1#7	玉	瓃		&#x74C3;	力追切。玉器。又力回切。	
a008b101	v1#7	玉	琥		&#x7425;	呼古切。瑞玉也。《說文》云：發兵瑞玉爲虎文。	
a008b102	v1#7	玉	珪		&#x73EA;	古攜切。古文圭。	
a008b103	v1#7	玉	琰		&#x7430;	弋冉切。璧上起美色也。	
a008b104	v1#7	玉	璋		&#x748B;	之陽切。半珪也。又明也。	
a009a011	v1#7	玉	玠		&#x73A0;	音界。珪長尺二寸也。	
a009a012	v1#7	玉	琬		&#x742C;	於遠切。琬珪也。	
a009a013	v1#7	玉	瑒		&#x7452;	雉杏切。珪尺二寸有瓉以祀宗廟。又音暢。	
a009a014	v1#7	玉	瓛		&#x74DB;	胡官切。《周禮》：公執瓛珪也。	
a009a015	v1#7	玉	珽		&#x73FD;	他鼎切。《說文》云：大圭長三尺、抒上終葵首。《禮》：天子搢珽方正於天下也。	
a009a021	v1#7	玉	瑁		&#x7441;	莫到切。珪長四寸、天子執之。又莫對切。瑇瑁也。	
a009a022	v1#7	玉	𤣽		&#xD852;&#xDCFD;	古文。	
a009a023	v1#7	玉	瑇		&#x7447;	徒戴切。瑇瑁。或作蝳蝐。	
a009a031	v1#7	玉	琡		&#x7421;	齒育切。《爾雅》云：璋大八寸謂之琡也。	
a009a032	v1#7	玉	瑞		&#x745E;	市惴切。信節也、諸侯之珪也。	
a009a033	v1#7	玉	瑱		&#x7471;	他見切。以玉充耳也。	
a009a034	v1#7	玉	珥		&#x73E5;	仁志切。珠在耳。	
a009a041	v1#7	玉	琫		&#x742B;	布孔切。佩刀下飾也。	
a009a042	v1#7	玉	珌		&#x73CC;	卑密切。佩刀上飾。	
a009a043	v1#7	玉	㻫		&#x3EEB;	古文。	
a009a044	v1#7	玉	璏		&#x748F;	雉例切。劔鼻也。又音衞。	
a009a045	v1#7	玉	㺲		&#x3EB2;	女乆切。印鼻。本作鈕。	
a009a051	v1#7	玉	璫		&#x74AB;	多郎切。穿耳、施珠也。	
a009a052	v1#7	玉	瑑		&#x7451;	持轉切。珪有折鄂也。	
