#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Headwords and definitions
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_definitions.tsv
#   Version: 1.0.48
#   Date published: 28 June 2018
#   Last modified: 12 September 2019
#
#   Copyright (c) 2018-2019 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in charge of text data proofreading)
#	LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV format information:
#   [SJID (svvwwxyyz)        Book(vv), leaf(ww), recto-verso(x), line(yy) and number(z). Refer to TSJ_entries.tsv]
#   SJ2ID                    For headword of two or more characters, add 'a, b, ..., n' at the end of SJID
#   Entry_word               Headword
#   SJ_def                   Definition of pronunciation, meaning and variant(s)
#   SJ_def_remarks           Editor's notes
#
#   Acknowledgments:
#   We are grateful to the Imperial Household Archives 宮内廳書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526.
#
TSJ2ID	Entry_word	SJ_def	SJ_remarks
s0104b509i	玄天	北方。	
s0104b511j	變天	東北。	
s0104b601k	鉤	中央。又曰九野。	
s0104b603k	又九天中天羨天從天更天粹天盛天廓天成天是也	(無)	
s0104b709l	春蒼發生	春日。	
s0104b713m	青陽	春時。	
s0104b801n	⿱屾⿰𣅀戈𣆊凶⿱山⿱𡗜于⿱屾百	五字春字。	
s0104b806	⿱屾𠙻	春古文。	
s0104b807a	夏寶天	又昊天。	
s0104b810b	長嬴	夏日。	
s0105a101c	朱明	夏時。	
s0105a103d	⿺辶⿱日必⿱百疋⿺辶⿱日兀	三字夏字。	
s0105a106	夏λ	古文。	
s0105a107a	秋良天又曰父天収成	秋日。	
s0105a204b	白藏	秋日。	
s0105a206	秌	秋字。	
s0105a207	⿱⿰山水⿰巾几	古文。	
s0105a208a	冬上天安寧	冬日。	
s0105a301b	玄英	冬時。	
s0105a303c	尖⿳臼大口〓	古(占)音。訓見末文部。	
s0105a306d	閼蓬	甲歳。	
s0105a308e	旃蒙	乙歳。	
s0105a310f	柔兆	[丙歳](脱)	
s0105a402a	強圉	丁歳。	
s0105a404b	著廱	戊歳。	
s0105a406c	上章	庚歳。	
s0105a408d	重光	辛歳。	
s0105a410e	玄黓	壬歳。	黓：原作𪐶。
s0105a501f	昭陽	癸歳。	
s0105a503g	攝提格	寅年。	
s0105a506h	單閼	卯年。	
s0105a508i	執徐	辰年。	
s0105a510j	大芒洛	巳年。	
s0105a601k	午年	午年。	
s0105a603l	忤協洽	未年。	
s0105a606m	涒灘	申年。	
s0105a608n	作噩	酉年。	
s0105a610o	閹茂	戌年。	
s0105a701p	大渕獻	亥年。	
s0105a704q	困敦	子年。	
s0105a706r	赤奮	丑年。	
s0105a708	陬	正月。	
s0105a709	如	二月歟，本書不付也。	
s0105a801	寎	三月。	
s0105a802	余	四月。	
s0105a803	皐	五月。	
s0105a804	且	六月。	
s0105a805	相	七月。	
s0105a806	壯	八月。	
s0105a807	玄	[九月](脱)。	
s0105a808	陽	十月。	
s0105a809	辜	十一月。	
s0105b101	涂	十二月。	
s0105b102a	十二月律名(傍書「呂歟」)	(無)	
s0105b107b	大族	正月。	
s0105b109c	夾鐘	二月。	
s0105b111d	沽洗	三月。	
s0105b113e	中呂	四月。	
s0105b201f	蕤賓	五月。	
s0105b203g	林鍾	六月。	
s0105b205h	夷則	七月。	
s0105b207i	南呂	八月。	
s0105b209j	无射	九月。	
s0105b211k	應鍾	十月。	
s0105b301l	黄鍾	十一月。	
s0105b303m	大呂	十二月。	
s0105b305	經	木名。	
s0105b306	敏	火名。	
s0105b307a	重逸	金名。	
s0105b309	柳	水〻(名)。	
s0105b310	角	木音。	
s0105b401a	徵宮	土〻(名)。	
s0105b403b	商羽	土〻(名)。	
s0105b405c	子次	玄括。	
s0105b407d	丑次	星紀。	
s0105b409e	寅次	折木。	
s0105b411f	卯次	大火。	
s0105b501g	辰次	壽星。	
s0105b503h	巳次	郭尾。	
s0105b505i	午次	鶉洗。	
s0105b507j	未次	(無)　/　(傍書「本書无之」)	
s0105b509k	申次	實洗(沈)。	
s0105b511l	酉次	大梁。	
s0105b601m	戌次	陬(娵)訾。	
s0105b603n	鷄鳴	丑時。	
s0105b605o	平旦	寅時。	
s0105b607p	日出	卯時。	
s0105b609q	食時	辰時。	
s0105b611r	㬂中	巳〻(時)。	
s0105b701s	日中	午〻(時)。	
s0105b703t	日映	未〻(時)。	
s0105b705u	晡時	申〻(時)。	
s0105b707v	日入	酉〻(時)。	
s0105b709w	黄昬	戌〻(時)。	
s0105b711x	人定	亥〻(時)。	
s0105b713y	夜半	子〻(時)。	
s0106a101a	謂曰	金烏銅鏡銅輪。	
s0106a103	日	如逸人質二反。入：實也，火(太)陽精也，常滿不虧也，所出爲大平所入為大家。	
s0106a104	日λ	三日古文。	
s0106a201	星	司零反。平：散也，精也，羅也，列也，位布散也，万物精也。	
s0106a202	曐	同作。	
s0106a203	皨	古文。	
s0106a204	曬	所賣反。山冀霜知二[反]。曝也，乾物也，洗也。左羅須。又保須。	
s0106a301	昞	碧四(皿)反。明也。	
s0106a302	昺	同作，亦作苪，今作炳。	
s0106a303	昵	女栗反。謂相近也，親也，私昵也，並也，數也，遂也。加久也。久良。暱同。	
s0106a401a	曒皦暞	三同。公鳥反。明淨也，明也，光也，曜也。	
s0106a404b	晈暞	同。	
s0106a406c	𣋵	古文。	
s0106a501a	晄晃	二字同作，古文亦作熿・煌同。胡廣反。明也，暉也，光也，光明也，曜也，照也。⿺光昔同字。	
s0106a503b	曉	上同作。呼了反。上。安介奴。解也，曉悟也，明也。又安志太也。	
s0106a601	䏣	千余反。謂妬也，蠅子曰䏣。從肉部。	
s0106a602	曀	或作㙪。於計邑計二反。去：陰而風曰曀，亦翳也，言奄翳日光使不明也，无光也。太奈久礼利。又久留。又久毛利天加世不久。	
s0106a701	𣇩	烏訝反。姓也，闕也。	
s0106a702	晞	或作烯。虛衣反。乾曰晞乾也。生干也，照也，⿰日丂也，日氣乾物也，不皀也。	
s0106a801	晧	古文顥。胡老反。光也，夕(亦)廣大也，日出也，光明也。比加利。又弖留。	
s0106a802	暐	宜作煒。于匪反。盛明皀也。煒。勅行反。直視也。	
s0106b101	脂	七子旨夷二反。平：肥也，厚肥菟皃也。	
s0106b102	㬓	方標反。曝也，以物置風日内令乾也。保須。	
s0106b201	暿	許其許基二反。日晴也，日淨皃也，灸也，蒸也，熱。目(日)支与志。又佐也加尓安リ。	
s0106b202	𣅿	羊〻(之)反。獸⿰日𣅀，猪羊之脂子名也。可從肉部。	
s0106b301	瞠	勅行反。直視也。	
s0106b302	㬒	莫朗反莫補二反。上：不明皃也，映也，翳也。加久須。又久良志。可從目部。	
s0106b303	曷	胡葛反。言語瑞也，辞也，何也，胡也。	
s0106b401	𣈏	昔音。魚肉完之𣈏也。從肉部。	
s0106b402	⿰日戠	可從肉部。	
s0106b403	暇	胡評許解二反。官人不政曰暇，安也，問也，樂也，朗也，善也。亦從目。	
s0106b501	時	市之之喜二反。四時也，是也，此也。	
s0106b502	旹	上字。	
s0106b503a	峕時λ	二字上古文。	
s0106b505	昱	似立反。明也，曉也。弖留。又阿支良加尓。	
s0106b601	曛	許云反。平：日没之皃也，暮也。由不戸。	
s0106b602	𣉿	在高反。日終皃也，晩也，日入也，夕也。	
s0106b603	晟	市𥘺(征)反。日光盛也，皃也，光暉也。弖留。又加〻也久。	
s0106b701	暏	當古反。上：欲目明也。	
s0106b702	𣊩	夫遠反。祭肉謂祀奈於神祇也。可從肉部。	
s0106b703	⿰日肉	居六反。日出也，朝也。亦可從肉。	
s0106b801	昂	五剛反。擧也，我也，明也，光也，照也，姓也。	
s0106b802	昇	升字同。失承反。出也。須〻牟。	
s0106b803	晷	氾洧反。日影也，日光顯於水陸也，日晷也。	
s0107a101	⿰日習	可從肉部。	
s0107a102	𦐇	⿰虫力(杜？)臈反。鳥飛行皃也，高然也。	
s0107a103	⿰日䨱	扶菊反。晦也。豆支己毛利。	
s0107a104a	胄⿰⿱由日𣆊	治右(又)[反]。去：從(後)也，儲也，胤也，連也，續也。	
s0107a201b	曹曺	自勞反。平：輩也，羣也。	
s0107a203	𣍘	曺字。	
s0107a204a	暉暈	二字同，或作輝・煇同。虚㱕肝飛二反。平：光也，猶光明也。弖良須。	
s0107a301	暄	多本作暄，應誤從口喧。虛元反。温也。	
s0107a302a	㬉暖	二字上字同。乃喚奴管二反。或作煖。温也。	
s0107a401	晤	魚故反。去：明也。悟字同。高也，照也，光也，晃也，暉也。	
s0107a402	𧰮	呼骨反。豕属也。	
s0107a403	習	上立反。翫也。	
s0107a404	旦	徒旱反。朝也。末一點部。	
s0107a501	旦	上古文。	
s0107a502	⿳丑亡日	達留反。昔也，猶前日也，發聲也。	
s0107a503	是	時祇反。上：則也，直也，正也，此也。	
s0107a504	䖜	語巾反。平：兩虎爭也。	
s0107a601	㬮	徒旱反。平：暍㬮煖狀也，温也，煗也。	
s0107a602	量	呂張反。平。	
s0107a603	香	許良反。平。	
s0107a604	暑	舒莒反。上：熱也。	
s0107a701	暟	苦豈反。臨照也，美徳也，⿰女散也。	
s0107a702	暅	况晩反。上：乾𤍜也，日氣也。	
s0107a703	旿	五古反。上：明也。	
s0107a704	暕	古限反。上：擇也，明也。	
s0107a705	冕	亡報反。上：冠從曰(𠔼)晃(冕)。	
s0107a801	暭	胡老反。上：大暭也。	
s0107a802	晻	焉感反。上：冥暗也。	
s0107a803	昝	子感反。上：姓也。	
s0107a804	曭	他朗反。上：日不明也。	
s0107b101	昶	丑兩反。上：通也。	
s0107b102	昫	香句反。去：温也，暖也。	
s0107b103	晬	子内反。去：周年也。	
s0107b104	旺	于放反。去：美也，是也。	
s0107b105	暀	同作。姓也，徳也。	
s0107b201	㬤	志(去)急反。入：欲𤍜也。	
s0107b202	昅	同作，亦從肉。	
s0107b203	曝	補木反。入：日乾也，曬。	
s0107b204	𣋴	上古文。	
s0107b205	曠	苦謗反。去：久也，遠也，空也。久毛留。	
s0107b301	曩	那良乃良二反。久也，遠也。曠字同。	
s0107b302	昆	孤魂孔魂二反。貫也，昆弟也，同也，兄也，⿱日水弟也。⿱日水：大合反。	
s0107b303	𥄳	大合反。相及古人曜也，光也，照也，晃也。	
s0107b401	沓	徒合反。重也。	
s0107b402	稽	古奚反。考也，同也，當也，計也，治也，合也，間也，留止也。	
s0107b403	昌	處羊處揚二反。平：熾也，盛也，當也。	
s0107b501	𣅊	上字亦從口。豆久己毛利。	
s0107b502a	冒冐	二同字。亡報反。去：覆也，蒙也，匿也。	
s0107b504	曜	亦作耀。戈(弋)羊反。去：照也，光明也，尓也。加久須。又弖良須。	
s0107b505	昭	正音：止遙反。平：著也，光明也，明也，覿也。爲俗字。時昭反。去。	
s0107b601	照	志遙反。平：光也。上字別。	
s0107b602	昩	莫割反。星也，日見日中也。	
s0107b603	昧	正：莫猜反。去：冥也，爽早旦也，貪冒也，觸冒也。借：問骨反。入：未來別也。旨正作〻。	
s0107b701	曨	力東反。欲明也，亮也，明也。	
s0107b702	⿰日帶	亦作廗。丁計反。可從肉，在疒部。	
s0107b801	晏	烏安反。亦作宴。安也，安止也，定也，日没日入也。	
s0107b802	旬	辞尋反。平：均也，編也，時也。	
s0107b803	𣅀	之視反。旨通作也。㫖正作也。美也。	
s0107b804	㫲	發音。闇也。已上七字，皆起也，變也。	
s0108a101	曈	地(他)孔反。次明也。	
s0108a102	昢	芳昧普佩二反。去：向曙色也。阿加止支。	
s0108a103	旭	許玉反。旦日欲除也。日乃弖留。四字訓同。	
s0108a104a	晨曟⿱〓辰⿱〓辰⿱〓辰莀䢅	七字同作。時仁反。時也，明也，旦也，早也。	
s0108a206	晙	諮峻反。去。又作晙。日明也，早也，敬也。	
s0108a207	曤	呼莫反。字同。	
s0108a301	昕	許斤反。平：晨也。於保阿加止支。又阿志太。	
s0108a302	晹	日出也，日光也。餘赤反。覆雲暫見也。	
s0108a303a	昜易	二形別。	
s0108a401	晛	那見反。日見暉也。比乃加佐。	
s0108a402	㬗	上字同。	
s0108a403	旰	古汗反。日出三丈也，晩也，晏也。	
s0108a404	晫	勅角反。明也。	
s0108a501	暠	古道反。猶明皃。	
s0108a502	杲	上字，一作杲。	
s0108a503	映	於敬反。去：照也，旁照也，翳也，不明也，照也。	
s0108a504	⿰日⿱山穴	上古文。	
s0108a505	曖	於載反。去：旭也，隱也，暗也。	
s0108a601	晣	止折反。明也。	
s0108a602	曄	王輒王甲二反。光明熾也，猶光也，照也，明也，晈也，赫〻皃也。	
s0108a603	曅	上字，燁同。	
s0108a604	𣈆	從口。古吝反。去：進也。□(晋)俗作。	
s0108a701	晉	從者厶非。	
s0108a702	㬜	上字。	
s0108a703	㬤	去及反。入：欲干也。志保牟。	
s0108a704	暍	於月反。傷熱也。阿豆加布。	
s0108a705	曶	口沒反。忽字。暗皃，猶忽也。	
s0108a801	晡	甫于反。平：申時。由不佐利。	
s0108a802	暾	五屯反。平：日初出時也，明也。豆止女天。又阿志太。	
s0108a803a	⿰日⿱白木旽	二字上。	
s0108a805	昄	蒲板反。火也，善也。	
s0108b101	昬	呼昆反。暗也，代也，強也。	
s0108b102	𥆳	都告反。亦舛字。正也，理也，察也。	
s0108b103	督	上字。	
s0108b104	替	他計反。癈也，滅也，侍也，止也。又從天。	
s0108b201	㬅	正音：无願反。去：也(衍)長脩也，廣也，美也，澤也。借音：武旦反。去：无也，突也。	
s0108b202	曼	上字。	
s0108b203	𣅠	氣字，古文，在气部。	
s0108b204	晁	除矯反。縣名。	
s0108b301	昈	胡皷反。交米也，赤文也。	
s0108b302	曎	阿(何)老反。明也，旰也，晧旰光曜也。	
s0108b303	暭	正作。	
s0108b304	暆	朱(余)支反。日行也。	
s0108b305	昪	皮返反。喜樂皃。	
s0108b401	旻	武巾反。平：愍也，秋天也。	
s0108b402	旼	上字。和也。	
s0108b403	曇	大含反。平。久毛礼利。	
s0108b404	晐	古來反。備也，皆也，滅也。詠(該)同。	
s0108b501	暬	思列反。媟字。慢也，狎也，嬻也。	
s0108b502	早	子道反。晨也。	
s0108b503	昒	亡屈反。尚冝(冥)也，日月也。	
s0108b504	曙	視據反。明也，旦明也。	
s0108b601	旳	都激反。明也。的字。	
s0108b602	㬌	羈影反。明也，大也，像也，光也。炤丙字。	
s0108b603	景	正作。	
s0108b604	晩	莫遠反。後也，幕也。	
s0108b605	曫	力見反。日昬時。	
s0108b701	晦	呼憒反。昧也。	
s0108b702	𣉘	奴㮣反。日无光也。	
s0108b703	旱	胡誕反。	
s0108b704	昴	莫絞反。星名宿也，雷也。	
s0108b801	曏	虚高反。曩也，向字(!)属也，不久也。亦嚮字。	
s0108b802	昨	前各反。昔也，累日也。亦肉。	
s0108b803a	暫蹔	二同。才濫反。碎也。蹔字。	
s0109a101	㫱	安板反。赤皃。	
s0109a102	昔	思亦反。必也，期明日也，夜也，夕也，始也，古也，前也，昨也。	
s0109a103	㫺	同作。	
s0109a104	㫘	亡乙反。不見也。	
s0109a201	普	怖古反。大也，遍？也，无日光也。	
s0109a202	曔	渠敬反。明也。	
s0109a203	𣋲	力渉反。日欲入也。	
s0109a204	暮	綿故反。晩也，夕也，冥也，莫也。	
s0109a205	㬎	呼殄反。顯字。	
s0109a301	晲	牛礼反。明也，日日西跌也。	
s0109a302	⿰日也	上字。	
s0109a303	暲	之羊反。明也。影字也。	
s0109a304	暒	徐盈反。甚清晴也。	
s0109a305	晴	上字。	
s0109a401	曤	呼郭反。明也。	反：原作“戈”，誤。
s0109a402	𣆿	胡綰反。明星皃，實皃也。	
s0109a403	㬊	胡管反。人姓。	
s0109a404	昲	孚味反。光皃，乾物也。	
s0109a501	暳	呼惠反。衆星皃，微少之皃。	
s0109a502	暡	於孔反。天氣不明也。	
s0109a503	晊	之逸反。至字。	
s0109a504	𣆺	思姚反。宵也。	
s0109a505	暶	似縁反。嫙字好皃。	
s0109a601	𣅆	渠基反。期古文。	
s0109a602	㫡	冬字古文。	
s0109a603	𣌍	女渉反。㸎字。小煙也。	
s0109a604	昉	甫想反。適也。	
s0109a605	曃	勅愛反。曖也，不明也。	
s0109a701	曡	徒協反。重也。疊字。	
s0109a702	魯	力古反。參也，鈍也。	
s0109a703	曽	子恒反。平：則重也，參也。	
s0109a704	智	在矢部。	
s0109a801	皆	戸哀反。平：皆悉也。	
s0109a802	明	武京反。晩。通作日。目部別。	
s0109a803	朙	亦作。干禄之文。	
s0109a804a	暭昊	二同。下者(老)反。在天部。	
s0109b101	望	亡向反。十五日也。望字別也。	
s0109b301	月	牛厥反。太陰精也，闕也。	
s0109b302	𠥱	上字。	
s0109b303a	玉兔	(已上皆月名。)	
s0109b305b	銀鏡	(已上皆月名。)	
s0109b307c	兔	(已上皆月名。)	
s0109b309d	金波	(已上皆月名。)	
s0109b311e	銀輪	已上皆月名。	
s0109b401	月λ	月古文。	
s0109b402	朔	所角反。一日也。	
s0109b403a	⿰矛月⿰⿱廿巾月⿰⿱廿丩月	皆上字。	
s0109b406	𦙚	可誤。	
s0109b407	彤	徒宗反。赤也，丹飾也。	
s0109b501a	⿰赤月蚏	二上字。	
s0109b503	期	正音：渠基反。平：時也，限也，契約也，會也，安也。阿比牟須比波加留。	
s0109b504	朞	上字。九其反。平：周年曰基，月數滿年者曰朞，不求四時，古從日今從月。	
s0109b601a	𣅆𠔸	二期之古文。	
s0109b603	眚	㾪字。所景反。平：痟也，瘦也。作省者非也。	
s0109b701	騰	達曽反。傳也，我也，奔[也]，疾也。可從丹，作月者非也。	
s0109b702	脫	吐活反。入：易也，漏失也，免也，輕也，可也，誤也，尓也，皮也，若也。	
s0109b703	服	房六反。入：用也，⿱⿰牙攵心也。	
s0109b801	朝	直遙反。朝廷也。	
s0109b802	眀	武兵反。	
s0109b803a	朙明	上字，在日部。	
s0109b805	朒	女六反。縮也，月見東方。	
s0109b806	朝	陟□反。晨也。	
s0110a101	勝β	正：舒陵反。平：任也，堪任也。借：書證反。去：尅也，加也，制敵也。	
s0110a102	勝	上：正作。	
s0110a103	朕	直稔反。■也，■也。	
s0110a201	朓	吐彫反。平。吐鳥反。上。丑召反。去。晦而月見西方也，條也，疾所也。	
s0110a202	⿰月彗	許恵反。去：小星皃。	
s0110a203	朚	莫封(反)。恾字。遽也。	
s0110a204	胡	古音。羌也，何也，很也，大也，乎也。太加不。	
s0110a301	脧	諮峻反。早也，明也。	
s0110a302	朏	芳尾普骨二反。明也，二日之月皃。	
s0110a303	朗	力唐反。明也，誏也。	
s0110a401	𮌘	徐光反。短也，卑心小皃。	
s0110a402	臘	來圔反。又留合反。飢疲也，獵也，接也。類來反。	
s0110a403	謄	徒登反。移書謄上。	
s0110a404	朋	薄登反。羣也，比也，黨也。⿵𠘨〓字古文。	
s0110a501	幐	徒澄反。平：謂通徹囊也。	
s0110a502	腆	他典反。重也，至也，承(美)也，厚也，善也。	
s0110a503	䐌	上字古文。	
s0110a504	𣍦	許訪反。有𣍦水也。山水。	
s0110a601	榺	始孕反。綜也。支奴於留戸。	
s0110a602	縢	達曽反。繩也，行縢也。牟加波支也。	
s0110a60３	脢	乎再反。上：暝也。	
s0110a604	胎	湯來反。平：胚胎一月也。月肉二形別也。	
s0110a801	肉	如陸反。肥也。	
s0110a802	宍	上字。	
s0110a803	肧	芳坏反。平：婦孕一月爲肧。	
s0110a804	胎	湯来反。平：婦孕三月爲胎，〻始也，養，懸名。	
s0110b101	臛	呼各反。肉羹也，有菜曰羹，無菜曰臛。	
s0110b102	膳	上扇反。去。亦作饍。餠也，肉也，進也。	
s0110b103	腨	時兗汝怡二反。厚也。倭云千尓反。腓腸也。古牟良。又波支。	
s0110b201a	𨄔⿰⿳日冖夕𦓔	上二字。	
s0110b203	𦠌	上字。加之反。孰也，泣之皃。	
s0110b204	膞	上字。視兗反。補各反。肩也，脛也，切宍也。	
s0110b301	胹	皆上字。	
s0110b302	肋	力得反。脅骨也。作勒者非。	
s0110b303	𦚞	區放反。横奉肘也。	
s0110b304a	脛胫	下定反。去：脚胻也。踁字。	
s0110b306	股	古文骰。公戶苦固二反。上：固也，為強固也。倭：古於反。宇豆毛〻。	
s0110b401	腹	方伏反。《詩》云：脩也，腹屬〻止欲也。	
s0110b402	膁	不見所出。馬乃志不支。	
s0110b501	䐑	古侯反。脚曲䐑也。此二字未詳。	
s0110b502	脬	普包反。尿本曰脬，旁光也，尿囊也。	
s0110b503	肬	或作疣𪐤。有流耳[＿]二反。外皮小結也，腫也，贅也，小曰肬，大曰贅。伊比保。	
s0110b601	肪	府良反。平：囊也，肥也，腹油也。	
s0110b602	䑈	力酌反。略治也，亦強取也。	
s0110b603	腴	臾俱反。腹下肥也，腹也，腹五蔵腧也。	
s0110b701	腧	上字非。傷遇反。	
s0110b702	𦙽	三丹反。平：在腰曰肪，在胃曰𦙽，〻脂也，謂𦙽脂也，人油也。	
s0110b703	胲	古才反。足大指。作解，謂腦絳解。	
s0110b801	𦙠	女要丁私二反。平：掌皮厚也，暱親近也，暱遂也，皮堅也，親𦙠亦■也。手豆牟。	
s0110b802	腝	亦作𫀃。乃困反。柔脆，𫀃也，再生也。亦作嬾，近字也。	
s0111a101	媵	亦作𠊶。餘證食證二反。	
s0111a102	瞞	万安反。平視也。可從目。	
s0111a103	臏	亦作髕。扶忍反。上：膝骨曰髕。又膝蓋也。	
s0111a104	𦡹	丘及反。胊脯也。亦從日。	
s0111a201	䏜	上字，在日部。	
s0111a202	腭	或作𪘽。五各反。齒所居也。波之志。	
s0111a203	臚	或作㪭。力居反。皮也。	
s0111a204	膚	上字同。方扶反。縣名也，皮也，大也，美切肉也，剥也。	
s0111a301	胴	同音。大腹。波良布止志。	
s0111a302	脾	或作髀。蒲米反。股外也。牟〻。	
s0111a303	䏶	上字同。尒反。踝也，膝上尻下。母〻。	
s0111a304	腋	之赤反。入：胳也。	
s0111a401	胭	或作咽。㖶喉。一千於見二反。	
s0111a402	肛	呼江反。平：脹也，腹堅也。波良加太久波留。	
s0111a501	胮	薄江反。脹皃。	
s0111a502	肨	匹降反。去：脹臭皃。	
s0111a503	腔	苦江反。羊腔。	
s0111a504	肥	苻非反。多肉也。	
s0111a505	腓	苻非反。脚腨腸。	
s0111a506	腒	衡魚反。鳥腊也，失也，久也。	
s0111a601	肢	章移反。體也。	
s0111a602	暆	戈(弋)支反。東懸。	
s0111a603	胔	七移反。小腹。	
s0111a604	胂	以脂反。央脊骨也。	
s0111a605	胵	處脂反。膍。	
s0111a701	膴	芒烏反。無骨腊。	
s0111a702	腣	當嵇反。胿胅腹。	
s0111a703	胿	胡嵇反。腣。■同。	
s0111a704	𦝨	古諧反。瘦也。	
s0111a705	脄	莫坏莫代二反。脊側之肉也。	
s0111a801	脣	食春反。	
s0111a802	䐜	昌隣反。肉脹起也。	
s0111a803	𦟘	(無)	
s0111a804	膰	附袁反。祭餘完(宍)。	
s0111a805	腱	居言反。觔肉也。	
s0111a806	𦞬	上字。	
s0111a807	脠	丑延反。魚■(醬)。	
s0111b101	腰	於宵反。	
s0111b102	膲	即消反。膲。	
s0111b103	臊	蘇遭反。腥。	
s0111b104	𦚢	於靴反。手足曲病也。	
s0111b105	腤	烏含反。煑魚害(肉)。	
s0111b106a	𦠛䐶	二同作。作含反。脂。	
s0111b201	膓	直良反。詳也，道也。	
s0111b202a	腹腸	正作。	
s0111b204	肓	呼光反。心鬲上。	
s0111b205	胻	胡朗反。脛。	
s0111b206	膨	薄庚反。腫脹也。	
s0111b301	䐹	所鳩反。乾魚。	
s0111b302	臉	七廉反。力減反。上：臛也，懸熟。	
s0111b303	䑎	上字同。初減反。上也。	
s0111b304	螣	徒登反。虵也。(已上卅八字平聲)	
s0111b401	肔	移尓反。引腸病曰長洪肔洪。又弘也。	
s0111b402	肗	如与反。魚不鮮。	
s0111b501	䏨	呼猥反。𦞙䏨⿰月䖝(腫)皃。	
s0111b502	腲	焉賄反。腇肥病。	
s0111b503	脮	吐猥反。腲。	
s0111b504	𦞙	都罪反。䏨。	
s0111b505a	⿰肉⿰方丨䏖	通作。直引余刃二反。腫也，瘡裂汁出也。㾙字。	
s0111b601	脤	時忍反。膰。	
s0111b602	䐣	蘇本反。臏𦜩二同。	
