#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian database
#
#	Version: 1.0.2
#	Date: 20 October 2015
#	Last update : 24 October 2015
#
#	Copyright (c) 2014-2015 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute
#	Send bug reports and feature requests via email
#
#	CSV Format information:
#
#	SYID	: Book, leaf, a(recto) or b(verso), line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Chinese character of radical 
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	UCShex		: Numeric character reference in hexadecimal format
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	Unicode	SY_def	KSY_diff
a006a011	v1#2	上	丄		U+4E04	古文。	
a006a012	v1#2	上	帝		U+5E1D	丁計切。《說文》云：諦也、王天下之號也。《爾雅》曰：君也。《白虎通》曰：德合天者稱帝。《商書》云：惟皇上帝。孔安國曰：上帝天帝也。《周禮》曰：兆五帝於四郊。鄭玄曰：五帝、蒼曰靈威仰、太昊食焉、赤曰赤熛怒、炎帝食焉、黃曰含樞紐、黃帝食焉、白曰白招拒少昊食焉、黑曰汁光紀、顓頊食焉。	
a006a031	v1#2	上	𢂇		U+22087	古文。	
a006a032	v1#2	上	旁		U+65C1	布郎切。旁猶側也、邊也、非一方也。《說文》作㫄溥也。	
a006a041	v1#2	上	雱		U+96F1	籀文。	
a006a042	v1#2	上	𣃟		U+230DF	（並古文。）	
a006a043	v1#2	上	𣃙		U+230D9	並古文。	
a006a044	v1#2	上	下		U+4E0B	何雅切。《易》曰：化成天下下者對上之稱也。《說文》曰：底也。《詩》云：下武維周。《箋》云：下猶後也。《禮記》曰：揖讓而升下而飲。鄭玄曰：下降也。杜預注《左傳》云：下猶賤也。《爾雅》曰：下落也。又何稼切。行下也。《易》曰：以貴下賤是也。	
a006a071	v1#3	示	示		U+793A	時至切。《說文》云：天垂象見吉凶所以示人也。《易》曰：夫乾確然示人易矣夫坤隤然示人簡矣示者語也、以事告人曰示也。	
a006a081	v1#3	示	𥘅		U+25605	古文。	
a006a082	v1#3	示	神		U+795E	市人切。神祇。《說文》曰：天神、引出萬物者也。《夏書》曰：乃聖乃神。孔安國云：聖無所不通、神妙無方。《易》曰：陰陽不測之謂神。王弼云：神也者變化之極大。《戴禮》云：陽之精氣曰神、隂之精氣曰靈。《爾雅》云：神重也、治也、愼也。《廣雅》云：神弘也。	
a006a091	v1#3	示	祇		U+7947	巨支切。地之神也。《易》曰：無祇悔、韓康伯云：祇、大也。《周禮》：亦作示。	
a006a101	v1#3	示	齋		U+9F4B	側皆切。《易》曰：聖人以此齋戒。韓康伯曰：洗心曰齋、防患曰戒、又敬也。	
a006a102	v1#3	示	𪗒		U+2A5D2	籀文。	
a006b011	v1#3	示	祕		U+7955	悲冀切。《說文》云：神也。《廣雅》曰：勞也、蜜也、藏也。	
a006b012	v1#3	示	祗		U+7957	諸時切。敬也。俗作袨。	
a006b013	v1#3	示	祭		U+796D	子滯切。薦也、祭祀也。又側界切。周大夫邑名。	
a006b021	v1#3	示	䃾		U+40FE	必利切。《說文》云：以豚祠司命也。	
a006b022	v1#3	示	祀		U+7940	徐里切。《周書》：八政三曰祀。《爾雅》云：祭也。又年也。	
a006b023	v1#3	示	禩		U+79A9	同上。	
a006b024	v1#3	示	祏		U+794F	殊亦切。廟主石室也。	
a006b025	v1#3	示	禋		U+798B	於神切。敬也。《說文》：絜祀也。一曰精意以亨爲禋。	
a006b031	v1#3	示	𥛛		U+256DB	同上。	
a006b032	v1#3	示	祡		U+7961	仕佳切。《說文》云：燒祡樊燎以祭天神。亦作柴。《爾雅》曰：祭天曰燔柴。	
a006b033	v1#3	示	𥚨		U+256A8	古文。	
a006b041	v1#3	示	祖		U+7956	子古切。父之父也、道祭也、始也。	
a006b042	v1#3	示	𥛱		U+256F1	布庚切。祭。《說文》曰：門內祭先祖、所以徬徨也。亦作𥛻。	
a006b043	v1#3	示	祊		U+794A	同上。	
a006b044	v1#3	示	祠		U+7960	似司切。《公羊傳》云：春祭曰祠、祠猶食也。	
a006b051	v1#3	示	礿		U+793F	餘灼切。《公羊傳》云：夏祭曰礿。	
a006b052	v1#3	示	禴		U+79B4	同上。	
a006b053	v1#3	示	祫		U+796B	何夾切。合祭也。	
a006b054	v1#3	示	禘		U+7998	徒計切。大祭也、諦也。	
a006b055	v1#3	示	祜		U+795C	胡古切。《詩》云：受天之祜。《箋》云：祜福也。	
a006b061	v1#3	示	福		U+798F	方伏切。禄命也。《說文》：祐也。	
a006b062	v1#3	示	禧		U+79A7	許其切。福也。	
a006b063	v1#3	示	祐		U+7950	于救切。助也。《易》曰：自天祐之吉無不利。或作佑。	
a006b064	v1#3	示	祺		U+797A	巨基切。吉也。又徵祥也。	
a006b071	v1#3	示	禥		U+79A5	籀文。	
a006b072	v1#3	示	祿	禄	U+797F	音鹿。賞賜也。又福祿也。	
a006b073	v1#3	示	禛		U+799B	之仁切。以眞受福也。	
a006b074	v1#3	示	祉		U+7949	丑理切。福也。	
a006b075	v1#3	示	禔		U+7994	之移切。福也、安也。又音匙。	
a006b081	v1#3	示	祥		U+7965	似羊切。妖怪也。又福也、善也。	
a006b082	v1#3	示	禎		U+798E	音貞。吉祥也。	
a006b083	v1#3	示	禠		U+79A0	息離切。福也。	
a006b084	v1#3	示	禨		U+79A8	居衣切。祥也。	
a006b085	v1#3	示	祪		U+796A	居毀切。毀廟之祖也。	
a006b086	v1#3	示	禰		U+79B0	年禮切。父廟也。	
a006b091	v1#3	示	𥙄		U+25644	同上。	
a006b092	v1#3	示	祰		U+7970	口老公䔍二切。禱也、告祭也。	
a006b093	v1#3	示	祼		U+797C	古換切。裸鬯告神也。	
a006b094	v1#3	示	䄂		U+4102	恥霤切。古文𥛅。	
a006b095	v1#3	示	祝		U+795D	之六切。祭詞也。	
a006b096	v1#3	示	祈		U+7948	巨衣切。禱也、報也、告也。	
a006b101	v1#3	示	禷		U+79B7	力季切。祭也。《爾雅》曰：是禷是禡師祭也。或作𦝭。	
a006b102	v1#3	示	禱		U+79B1	丁老切。請也、謝也、求福也。	
a006b103	v1#3	示	𥜹		U+25739	籀文。	
a006b104	v1#3	示	𥛇		U+256C7	古文。	
a006b105	v1#3	示	䄟		U+411F	昌芮切。數祭也、重祭也。又此芮切。	
a007a011	v1#3	示	禮		U+79AE	力底切。體也、理也。	
a007a012	v1#3	示	礼		U+793C	古文。	
a007a013	v1#3	示	祔		U+7954	扶付切。視也、合葬也。	
a007a014	v1#3	示	𥛅		U+256C5	除霤切。祝𥛅也。又力救切。	
a007a015	v1#3	示	社		U+793E	市者切。土地神主也。	
a007a021	v1#3	示	𥙲		U+25672	古文。	
a007a022	v1#3	示	禖		U+7996	莫回切。求子祭。	
a007a023	v1#3	示	禪		U+79AA	市戰切。祭名。又市然切。靜也。	
a007a024	v1#3	示	禜		U+799C	音詠。風雨不時祭名。	
a007a025	v1#3	示	䄆		U+4106	胡括切。《說文》云：祀也。又法也。	
a007a031	v1#3	示	禳		U+79B3	而羊切。卻變異也。	
a007a032	v1#3	示	禬		U+79AC	胡外古外二切。除災害也、會福祭也。	
a007a033	v1#3	示	禕		U+7995	於宜切。美皃。又歎辝。	
a007a034	v1#3	示	禦		U+79A6	魚舉切。禁也。又當也。	
a007a035	v1#3	示	祴		U+7974	古來切。祴夏樂章名。	
a007a041	v1#3	示	禶		U+79B6	昨坦切。祭也。	
a007a042	v1#3	示	𥜲		U+25732	古典切。祇也。	
a007a043	v1#3	示	禡		U+79A1	莫駕切。師祭也。又馬上祭也。	
a007a044	v1#3	示	祳		U+7973	時忍切。祭社生肉也、俎實也。	
a007a045	v1#3	示	祾		U+797E	力矜力登二切。祭名神靈之威福也。	
a007a051	v1#3	示	祚		U+795A	才故切。禄也、保也。	
a007a052	v1#3	示	祱		U+7971	始銳切。《博雅》云：祭也。	
a007a053	v1#3	示	祽		U+797D	子內切。祭名。	
a007a054	v1#3	示	䄛		U+411B	力侯切。飲食祭也、冀州八月、楚俗二月。亦作膢、從簍亦同。	
a007a061	v1#3	示	䄍		U+410D	仕駕切。報祭也、古之臘曰䄍。亦作蜡。	
a007a062	v1#3	示	禂		U+7982	丁道切。馬祭也。	
a007a063	v1#3	示	祧		U+7967	他幺切。遠廟也。	
a007a064	v1#3	示	𥜔		U+25714	古文。	
a007a065	v1#3	示	禓		U+7993	與章書羊二切。強鬼也、道上祭也。	
a007a071	v1#3	示	祲		U+7972	子鴆切。《周禮》：有㫝祲陰陽氣相侵漸成祥者。《左氏傳》曰：吾見赤黑之祲。杜預曰：妖氣也。	
a007a072	v1#3	示	禊		U+798A	胡計切。《史記》云：漢武帝禊霸上。徐廣曰：三月上巳臨水祓除謂之禊也。	
a007a081	v1#3	示	禍		U+798D	胡果切。害也、神不福也。	
a007a082	v1#3	示	𥙯		U+2566F	同上。	
a007a083	v1#3	示	𥚩		U+256A9	私呂切。祭具也。	
a007a091	v1#3	示	祟		U+795F	思遂切。神禍也。	
a007a092	v1#3	示	𥜱		U+25731	籀文。	
a007a093	v1#3	示	𥛜		U+256DC	側慮切。祝也。亦作詛。	
a007a094	v1#3	示	祙		U+7959	音媚。即鬼魅也。	
a007a095	v1#3	示	禁		U+7981	記鴆切。止也、錮也。又記林切。	
a007a096	v1#3	示	禲		U+79B2	音厲。無後、鬼也、鬼有所歸乃不爲禲。	
a007a101	v1#3	示	祅		U+7945	於驕切。天反時爲災、地反物爲祅。《說文》作䄏。	
a007a102	v1#3	示	禫		U+79AB	徒感切。祭名也。《說文》曰：除服祭也。	
a007a103	v1#3	示	祩		U+7969	之俞切。呪詛也。又音注。	
a007b011	v1#3	示	䄤		U+4124	力大切。墮壞也。	
a007b012	v1#3	示	祤		U+7964	于矩切。祋祤縣名、在馮翊。又音詡。	
a007b013	v1#3	示	䄐		U+4110	丘倦切。祀也。	
a007b014	v1#3	示	䄌		U+410C	竹芮切。祭名。亦作醊。	
a007b015	v1#3	示	𥙮		U+2566E	思淺切。秋田祭也。与獮同。	
a007b021	v1#3	示	䄃		U+4103	於畺切。禍也。古文殃。	
a007b022	v1#3	示	礽		U+793D	而凌切。福也。又就也。亦作仍。	
a007b023	v1#3	示	𥛲		U+256F2	子誚切。祭名。或作醮。	
a007b024	v1#3	示	𥛰		U+256F0	力弔切。与𤊽同。	
a007b025	v1#3	示	䄉		U+4109	音俄。盛皃。或作娥。	
a007b031	v1#3	示	𥜃		U+25703	音亦。祭之明日。又祭殷曰肜、周曰𥜃。亦作繹。	
a007b032	v1#3	示	𥙰		U+25670	市救切。久年也。	
a007b033	v1#3	示	禗		U+7997	息茲切。不安也、欲去意也。	
a007b034	v1#3	示	祘		U+7958	蘇換切。明視也。	
a007b041	v1#3	示	禉		U+7989	以乆以州二切。燎也、祡祭天也。	
a007b042	v1#3	示	䄎		U+410E	乞喜切。好貌。	
a007b043	v1#3	示	𥛳		U+256F3	欣居切。耗鬼也。與魖同。	
a007b044	v1#3	示	𥜚		U+2571A	於柳切。福也。	
a007b045	v1#3	示	祣		U+7963	力煑切。祭名。《論語》作旅。	
a007b051	v1#3	示	䄄		U+4104	音因。成就也。	
a007b052	v1#3	示	𥜒		U+25712	於琰切。𥜒禳也。	
a007b053	v1#3	示	䃽		U+40FD	質夷切。福也。	
a007b054	v1#3	示	䄅		U+4105	居倦切。祭名也。本作飬。	
a007b055	v1#3	示	䄁		U+4101	翌制切。祭也。	
a007b056	v1#3	示	𥛯		U+256EF	古穴切。不祥也。	
a007b061	v1#3	示	𥛚		U+256DA	丑歷切。福也。	
a007b062	v1#3	示	𥙎		U+2564E	莫伯切。神也。	
a007b063	v1#3	示	䃿		U+40FF	方無切。祭䟽也。	
a007b064	v1#3	示	䄓		U+4113	戶光切。䄘䄓祭也。	
a007b065	v1#3	示	䄜		U+411C	力之切。福祥也。	
a007b066	v1#3	示	𥜰		U+25730	所宜切。祭名。	
a007b067	v1#3	示	禯		U+79AF	尼龍切。厚祭也。	
a007b071	v1#3	示	𥙬		U+2566C	所交切。祜也。	
a007b072	v1#3	示	祹		U+7979	徒勞切。福也。	
a007b073	v1#3	示	禑		U+7991	音吳。福也。	
a007b074	v1#3	示	䄝		U+411D	丑江切。祭壇不毀也。	
a007b075	v1#3	示	禟		U+799F	徒郎切。祐也。	
a007b076	v1#3	示	𥜴		U+25734	去言切。祭也。	
a007b081	v1#3	示	祌		U+794C	音仲。神也。	
a007b082	v1#3	示	禭		U+79AD	詞類切。祭名。	
a007b083	v1#3	示	𥛝		U+256DD	符容切。神名。	
a007b084	v1#3	示	䄚		U+411A	才刀切。豕祭也。	
a007b085	v1#3	示	祆		U+7946	阿憐切。胡神也。	
a007b086	v1#3	示	祻		U+797B	音固。祭也。	
a007b087	v1#3	示	𥘬		U+2562C	音弗。除殃祭也。	
a007b091	v1#3	示	禚		U+799A	之若切。齊地名。	
a007b092	v1#3	示	祦		U+7966	音吳。福也。	
a007b093	v1#3	示	𥛟		U+256DF	匹角切。久視。	
a007b094	v1#3	示	𥛘		U+256D8	音畢。竈上祭也。	
a007b095	v1#3	示	祓		U+7953	孚物切。除災求福也。又方吠切。福也。	
a007b101	v1#4	二	二		U+4E8C	而至切。《說文》曰：地之數也。《易》曰：天一地二。	
a007b102	v1#4	二	弍		U+5F0D	古文。	
a007b103	v1#4	二	恒		U+6052	何登切。常也。《易》曰：恒久也。	
a007b104	v1#4	二	𢛢		U+226E2	同上。	
a008a011	v1#4	二	𠄨		U+20128	古文。	
a008a012	v1#4	二	𠄢		U+20122	思綠切。求𠄢也。今宣從亘同。	
a008a013	v1#4	二	亟		U+4E9F	居力切。急也、疾也。又丘致切。數也。	
a008a014	v1#4	二	亝		U+4E9D	徂兮切。古文齊。	
a008a015	v1#4	二	竺		U+7AFA	丁沃切。厚也。又音竹。	
a008a016	v1#4	二	亖		U+4E96	古文、四。	
a008a021	v1#4	二	凡		U+51E1	扶嚴切。凡計數也。又非一也。《說文》云：最括也。《廣雅》云：輕也、皆也。	
a008a022	v1#4	二	𠄱		U+20131	弋之切。陽氣也。	
a008a023	v1#4	二	𠄿		U+2013F	音圍。	
a008a024	v1#4	二	𠄰		U+20130	力擣切。古文老。	
a008a031	v1#5	三	三		U+4E09	思甘切。《說文》云：天地人之道也。《老子》曰：道生一、一生二、二生三、三生萬物。	
a008a032	v1#5	三	弎		U+5F0E	古文。	
a008a041	v1#6	王	王		U+738B	禹方切。《說文》云：天下所歸往也。董仲舒曰：古之造文者三畫而連其中謂之王、三者天地人也、而參通之者王也。孔子曰：一貫三爲王。《蔡邕・獨斷》云：皇子爲王。	
a008a051	v1#6	王	𠙻		U+2067B	古文。	
a008a052	v1#6	王	皇		U+7687	胡光切。大也、匡也。《爾雅》云：君也。《論語》曰：皇皇后帝。注謂大夫帝也。《儀禮》：賔入門皇自莊盛也。	
a008a061	v1#6	王	𦤍		U+2690D	古文。	
a008a062	v1#6	王	閏		U+958F	如舜切。閏餘也。《說文》云：餘分之月、五歲再閏、告朔之禮、天子居宗廟、閏月居門中。《周禮》云：閏月詔王、居門終月。	
a008a081	v1#7	玉	玉		U+7389	魚録切。《禮記》曰：君子比德於玉焉、溫潤而澤仁也、縝密以栗知也、廉而不劌義也、垂之如隊禮也、叩之其聲清越而長其終詘然樂也、瑕不揜瑜、瑜不揜瑕、忠也、孚筠旁達信也、氣如白虹天也、精神見于山川地也、圭璋特達德也、故君子貴之也。	
a008a101	v1#7	玉	𤣪		U+248EA	古文。	
a008a102	v1#7	玉	玊		U+738A	欣救思六二切。玉工也。亦姓也。	
a008a103	v1#7	玉	璙		U+7499	力弔力小二切。玉名。	
a008a104	v1#7	玉	瓘		U+74D8	古喚切。玉名。	
a008a105	v1#7	玉	璥		U+74A5	居影切。玉名。	
a008a106	v1#7	玉	琠		U+7420	他典切。玉名。	
a008b011	v1#7	玉	𤩴		U+24A74	古文。	
a008b012	v1#7	玉	玘		U+7398	去里切。玉名。	
a008b013	v1#7	玉	瓕		U+74D5	弭規切。玉名。	
a008b014	v1#7	玉	𤫘		U+24AD8	奴刀切。玉名。	
a008b015	v1#7	玉	𤩮		U+24A6E	郎敵切。玉名。	
a008b016	v1#7	玉	瑾		U+747E	奇鎮切。瑾瑜美玉也。	
a008b017	v1#7	玉	瑜		U+745C	弋朱切。瑜玉不揜瑕玉中美也。《禮記》：丗子佩瑜玉也。	
a008b021	v1#7	玉	璵		U+74B5	弋居切。璵璠美玉皃。	
a008b022	v1#7	玉	璠		U+74A0	方袁房袁二切。美玉皃。	
a008b023	v1#7	玉	玒		U+7392	古邦古紅二切。玉名。	
a008b024	v1#7	玉	璐		U+7490	力故切。美玉也。	
a008b031	v1#7	玉	瓊		U+74CA	渠營切。《說文》云：赤玉也。《莊子》云：積石爲樹名曰瓊枝、其高一百二十仭、大三十圍、以琅玕爲之寶。	
a008b032	v1#7	玉	璚		U+749A	同上。	
a008b033	v1#7	玉	瓗		U+74D7	同上。又音畦、又羊水切。美皃。	
a008b041	v1#7	玉	璇		U+7487	似宣切。美石次玉。亦作琁。	
a008b042	v1#7	玉	琁		U+7401	同上。又徐宣切。	
a008b043	v1#7	玉	𤦃		U+24983	力才切。玉屬也。	
a008b044	v1#7	玉	珦		U+73E6	虛亮切。玉名。	
a008b045	v1#7	玉	㻝		U+3EDD	力達切。玉名。	
a008b051	v1#7	玉	瓄		U+74C4	徒木切。《史記》云：崐山出瓄玉也。	
a008b052	v1#7	玉	珵		U+73F5	除荆切。美玉也、埋六寸光自輝。	
a008b053	v1#7	玉	琳		U+7433	力金切。玉名。	
a008b054	v1#7	玉	璿		U+74BF	似緣切。《山海經》云：有沃之國沃民是處爰璿瑰瑙碧。《虞書》曰：璿璣玉衡。《孔傳》云：璿美玉穆天子傳春山之寶有璿珠也。	
a008b061	v1#7	玉	𤫀		U+24AC0	籀文。	
a008b062	v1#7	玉	𤩅		U+24A45	古文。	
a008b063	v1#7	玉	球		U+7403	巨周切。《虞書》曰：戛擊鳴球。《孔傳》云：球玉磬也。	
a008b071	v1#7	玉	璆		U+7486	奇樛切。美玉也。	
a008b072	v1#7	玉	㻒		U+3ED2	奇殞切。齊玉也。	
a008b073	v1#7	玉	瑅		U+7445	大兮切。玉名。	
a008b074	v1#7	玉	瑭		U+746D	徒郎切。玉也。	
a008b075	v1#7	玉	珙		U+73D9	居容居勇二切。大璧也。	
a008b076	v1#7	玉	㻽		U+3EFD	似睡切。玉名。	
a008b081	v1#7	玉	琛		U+741B	敕今切。琛寶也。	
a008b082	v1#7	玉	環		U+74B0	下關切。繞也。又玉環。《爾雅》曰：肉好若一謂之環。	
a008b083	v1#7	玉	璧		U+74A7	俾亦切。瑞玉圜以象天也。	
a008b084	v1#7	玉	瑗		U+7457	爲眷切。玉名。	
a008b085	v1#7	玉	琮		U+742E	才宗切。琮玉八角象地。《說文》云：瑞玉大八寸似車釭。	
a008b091	v1#7	玉	瓏		U+74CF	力恭切。禱旱之玉爲龍文也。又音聾。玲瓏玉聲。	
a008b092	v1#7	玉	璜		U+749C	胡光切。半璧也。	
a008b093	v1#7	玉	瓃		U+74C3	力追切。玉器。又力回切。	
a008b101	v1#7	玉	琥		U+7425	呼古切。瑞玉也。《說文》云：發兵瑞玉爲虎文。	
a008b102	v1#7	玉	珪		U+73EA	古攜切。古文圭。	
a008b103	v1#7	玉	琰		U+7430	弋冉切。璧上起美色也。	
a008b104	v1#7	玉	璋		U+748B	之陽切。半珪也。又明也。	
a009a011	v1#7	玉	玠		U+73A0	音界。珪長尺二寸也。	
a009a012	v1#7	玉	琬		U+742C	於遠切。琬珪也。	
a009a013	v1#7	玉	瑒		U+7452	雉杏切。珪尺二寸有瓚以祀宗廟。又音暢。	
a009a014	v1#7	玉	瓛		U+74DB	胡官切。《周禮》：公執瓛珪也。	
a009a015	v1#7	玉	珽		U+73FD	他鼎切。《說文》云：大圭長三尺、抒上終葵首禮天子搢珽方正於天下也。	
a009a021	v1#7	玉	瑁		U+7441	莫到切。珪長四寸、天子執之。又莫對切。瑇瑁也。	
a009a022	v1#7	玉	𤣽		U+248FD	古文。	
a009a023	v1#7	玉	瑇		U+7447	徒戴切。瑇瑁。或作蝳蝐。	
a009a031	v1#7	玉	琡		U+7421	齒育切。《爾雅》云：璋大八寸謂之琡也。	
a009a032	v1#7	玉	瑞		U+745E	市惴切。信節也、諸侯之珪也。	
a009a033	v1#7	玉	瑱		U+7471	他見切。以玉充耳也。	
a009a034	v1#7	玉	珥		U+73E5	仁志切。珠在耳。	
a009a041	v1#7	玉	琫		U+742B	布孔切。佩刀下飾也。	
a009a042	v1#7	玉	珌		U+73CC	卑密切。佩刀上飾。	
a009a043	v1#7	玉	㻫		U+3EEB	古文。	
a009a044	v1#7	玉	璏		U+748F	雉例切。劔鼻也。又音衞。	
a009a045	v1#7	玉	㺲		U+3EB2	女乆切。印鼻。本作鈕。	
a009a051	v1#7	玉	璫		U+74AB	多郎切。穿耳、施珠也。	
a009a052	v1#7	玉	瑑		U+7451	持轉切。珪有折鄂也。	
a009a053	v1#7	玉	瓚		U+74DA	才但才旦二切。珪頭也、爲器可以挹鬯灌祭。鄭玄注《禮記》云：瓚形如槃容五升以大圭爲柄也。	
a009a061	v1#7	玉	玦		U+73A6	居穴切。玉佩也、如環而缺不連。	
a009a062	v1#7	玉	𤪌		U+24A8C	巨基切。飾弁也。	
a009a063	v1#7	玉	璂		U+7482	同上、見《說文》。	
a009a064	v1#7	玉	琪		U+742A	巨基切。玉屬。	
a009a065	v1#7	玉	珩		U+73E9	下庚切。《說文》云：佩玉所以節行步也。	
a009a071	v1#7	玉	璬		U+74AC	公了切。玉佩也。	
a009a072	v1#7	玉	珮		U+73EE	步輩切。玉珮也。本作佩。或从玉。	
a009a073	v1#7	玉	玩		U+73A9	五貫切。玩戲也、弄也。或作貦也。	
a009a074	v1#7	玉	瑬		U+746C	力牛切。《說文》云：垂玉也、冕飾。又美金也。亦作鏐。	
a009a081	v1#7	玉	𤩈		U+24A48	市六切。《說文》云：玉器也。	
a009a082	v1#7	玉	璹		U+74B9	同上。	
a009a083	v1#7	玉	珤		U+73E4	補抱切。《聲類》云：古文寶字。	
a009a084	v1#7	玉	珍		U+73CD	張陳切。寶也、貴也、美也。又重也。	
a009a085	v1#7	玉	珎		U+73CE	同上、俗。	
a009a091	v1#7	玉	琚		U+741A	紀余切。玉名。	
a009a092	v1#7	玉	琖		U+7416	側簡切。《說文》曰：玉爵也、夏曰琖、殷曰斚、周曰爵。亦作盞𧣴。	
a009a093	v1#7	玉	珈		U+73C8	古遐切。《詩》云：副笄六珈。《傳》曰：珈笄飾之最盛者所以別尊卑。	
a009a101	v1#7	玉	璲		U+74B2	徐醉切。玉璲以玉爲佩也。	
a009a102	v1#7	玉	瑵		U+7475	壯巧切。《說文》云：車蓋玉瑵也。	
a009a103	v1#7	玉	璪		U+74AA	作道切。《說文》云：玉飾如水藻也。	
a009a104	v1#7	玉	瑚		U+745A	何孤切。《論語注》云：瑚璉黍稷之器。夏曰瑚、殷曰璉。或作鍸。	
a009b011	v1#7	玉	璉		U+7489	力展切。瑚璉也。或作槤也。	
a009b012	v1#7	玉	琩		U+7429	尺羊切。琩玩蠻夷充耳也。	
a009b013	v1#7	玉	瑋		U+744B	禹鬼以貴二切。《埤蒼》曰：瑰瑋珍琦。或作偉。	
a009b021	v1#7	玉	璩		U+74A9	其於切。玉名。	
a009b022	v1#7	玉	琦		U+7426	渠羇切。《埤蒼》云：琦瑋也。	
a009b023	v1#7	玉	璺		U+74BA	亡奮切。《方言》云：秦晉器破而未離謂之璺。《廣雅》云：裂也。	
a009b031	v1#7	玉	𤣻		U+248FB	莫骨切。《穆天子傳》云：采石之山有𤣻瑤。郭璞曰：玉名。	
a009b032	v1#7	玉	玷		U+73B7	丁簟切。《詩傳》云：玷缺也。或作㓠䍄也。	
