#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Full list of headwords
#   ==============================================================
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_entries.tsv
#   Version: 1.0.28
#   Date published: 23 June 2018
#   Last modified: 12 September 2019
#
#   Copyright (c) 2018-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV format information
#   ----------------------
#   SJID (svvwwxyyz)         Book(vv), leaf(ww), recto-verso(x), line(yy) and number(z)
#   SJ2ID                    For headword of two or more characters, add 'a, b, ..., n' at the end of SJID
#   SJ_Rinsen (新xxx-yz)     Page(xxx), line(y) and number(z) in Rinsen shoten edition
#   SJ_vol_radical (xx#yyy)  Volume(xx) and radical number(yyy)
#   SJ_radical               Radical of Chinese character
#   Entry                    Headword
#   Entry_original           Headword based on original image
#   SJ_sources               Yiqiejingyinyi, Qieyun, Yupian, etc. (For details, refer to the following section)
#   SJ_entry_remarks         Editor's notes
#   TBID (v_www_xyz)         Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   SYID (vwwwxyyzz)         Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#   SJ: Shinsen Jikyo 新撰字鏡, Tenji copy 天治本
#   KW: Shinsen Jikyo 新撰字鏡, Kyowa print 享和本
#
#   SJ_sources
#   ----------
#   Yiqiejingyinyi related parts 一切經音義部分
#    一切經音義: Yiqiejingyinyi related items 一切經音義引用項目
#    一切經音義N: Non-Yiqiejingyinyi related items 非一切經音義項目
#
#   Qieyun related parts 切韻引用部分
#    切韻A: Qieyun A, four tones noted as a whole, with the title of Qieyun. 四声一括注記。有切韻書名。e.g., 已上卅八字平聲…已上上々聲…已上去聲…已上出自切韻.
#    切韻B: Qieyun B, four tones noted as a whole, without the title of Qieyun. 四声一括注記。無切韻書名。e.g., 以上入聲…次去聲…次上聲…次平聲…已上四聲了.
#    切韻C: Qieyun C, even (level; 平) tone noted as a whole, while rising (上) tone, departing (going; 去) tone, and entering (checked; 入) tone noted under fanqie, without the title of Qieyun. 平声一括注記。有上・去・入声注記，在反切之下。無切韻書名。
#    切韻D: Qieyun D, four tones noted under fanqie, without the title of Qieyun. Items mentioned above are all Qieyun related parts. 有四声注記，在反切之下。無切韻書名。以上，切韻引用条目。
#    切韻N: Non-Qieyun related items 非切韻引用項目
#
#   Yupian related parts 玉篇引用部分
#    玉篇: Yupian related items 玉篇引用項目
#    玉篇N: Non-Yupian related items 非玉篇引用項目
#
#   Other parts 其他部分
#    出所不詳: Unidentified parts, unknown sources
#    辨別不能: Unseparated parts, mixed sources
#    爾雅: Erya
#    本草: Herbal book 本草木，本草草，本草鳥
#    小學篇: Shōgakuhen, a dictionary of Kokuji (Chinese characters created in Japan)
#    臨時雜要字: Rinjizōyōji, a daily dictionary of Sino-Japanese words in early Japan
#    添加項目: Additional items by people of later times
#
#   References
#   ----------
#   Sakakura Atsuyosi 阪倉 篤義. 1967. Shinsen jikyō no saikentō: Kyōwabon o chūshin ni 新撰字鏡の再檢討―享和本を中心に―. In Yamada Tadao 山田 忠雄 (ed.), Honpō jishoshi ronsō 本邦辭書史論叢, 359—392. Tokyo :Sanseidō 三省堂.
#   Ueda Tadashi 上田 正. 1981. Shinsen jikyō no Setsuin bubun ni tsuite [On quotations from Qieyun in the Shinsen jikyō] 新撰字鏡の切韻部分について. Kokugogaku 127. 13—20.
#   Ueda Tadashi 上田 正. 1984. Setsuin itsubun no kenkyū [A study of fragments of the Qieyun] 切韻逸文の研究. Tokyo: Kyūko shoin 汲古書院.
#   Ueda Tadashi 上田 正. 1986. Gyokuhen hansetsu sōran [A complete list of fanqie in the original Yupian] 玉篇反切總覽. Kobe: Private edition.
#   Sadakari Itoku 貞苅 伊徳. 1998. Shinsen jikyō no kenkyū [A study of Shinsen jikyō] 新撰字鏡の研究. Tokyo: Kyūko shoin 汲古書院.
#
#   Primary Sources
#   ---------------
#   Yuanben Yupian 原本玉篇. Tōhō bunka sōsho dairoku 東方文化叢書第六, Tokyo: Tōhō bunka gakuin, 1932
#   Songben Yupian 宋本玉篇. Kunaichō shoryōbu zō Daikō ekikai Gyokuhen 宮内廳書陵部藏大廣益會玉篇 (box 515, no.106, photographic images).
#   Tenreibanshōmeigii 篆隸萬象名義.Kōsanji shiryō sōsho 高山寺資料叢書 6, Tokyo: Tokyo daigaku shuppankai, 1977.
#   Shinsenjikyō 新撰字鏡. Tenjibon Shinsen jikyō revised edition 天治本新撰字鏡增訂版, Kyoto: Rinsen shoten, 1973
#   Ruijumyōgishō 類聚名義抄 (Zushoryōbon 圖書寮本). Zushoryōbon Ruiju myōgishō 圖書寮本類聚名義抄, Tokyo: Kunaichō Shoryōbu, Insatsu benridō, 1950.
#   Ruijumyōgishō 類聚名義抄 (Kanchi'inbon 觀智院本). Tenri toshokan zenbon sōsho washo no bu 天理圖書館善本叢書和書之部33, Tokyo: Yagi shoten, 1976.
#
#   Acknowledgments
#   ---------------
#   We are grateful to the Imperial Household Archives 宮内廳書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SJID	SJ2ID	SJ_Rinsen	SJ_vol_radical	SJ_radical	Entry	Entry_original	SJ_source	SJ_entry_remarks	TBID	SYID
s0104b605	s0104b603k	新22-65	v1#1	天部第一	天	◯	出所不詳			
s0104b606	s0104b603k	新22-66	v1#1	天部第一	中	◯	出所不詳			
s0104b607	s0104b603k	新22-67	v1#1	天部第一	天	◯	出所不詳			
s0104b608	s0104b603k	新22-68	v1#1	天部第一	羨	羡	出所不詳	字頭：原作「羡」。		
s0104b609	s0104b603k	新22-69	v1#1	天部第一	天	◯	出所不詳			
s0104b610	s0104b603k	新22-6A	v1#1	天部第一	從	◯	出所不詳			
s0104b611	s0104b603k	新22-6B	v1#1	天部第一	天	◯	出所不詳			
s0104b612	s0104b603k	新22-6C	v1#1	天部第一	更	◯	出所不詳			
s0104b613	s0104b603k	新22-6D	v1#1	天部第一	天	◯	出所不詳			
s0104b614	s0104b603k	新22-6E	v1#1	天部第一	粹	◯	出所不詳			
s0104b615	s0104b603k	新22-6F	v1#1	天部第一	天	◯	出所不詳			
s0104b701	s0104b603k	新22-71	v1#1	天部第一	盛	◯	出所不詳			
s0104b702	s0104b603k	新22-72	v1#1	天部第一	天	◯	出所不詳			
s0104b703	s0104b603k	新22-73	v1#1	天部第一	廓	◯	出所不詳			
s0104b704	s0104b603k	新22-74	v1#1	天部第一	天	◯	出所不詳			
s0104b705	s0104b603k	新22-75	v1#1	天部第一	成	◯	出所不詳			
s0104b706	s0104b603k	新22-76	v1#1	天部第一	天	◯	出所不詳			
s0104b707	s0104b603k	新22-77	v1#1	天部第一	是	◯	出所不詳			
s0104b708	s0104b603k	新22-78	v1#1	天部第一	也	◯	出所不詳			
s0104b709	s0104b709l	新22-79	v1#1	天部第一	春	◯	出所不詳			
s0104b710	s0104b709l	新22-7A	v1#1	天部第一	蒼	◯	出所不詳			
s0104b711	s0104b709l	新22-7B	v1#1	天部第一	發	◯	出所不詳			
s0104b712	s0104b709l	新22-7C	v1#1	天部第一	生	◯	出所不詳			
s0104b713	s0104b713m	新22-7D	v1#1	天部第一	青	◯	爾雅・釋天			
s0104b714	s0104b713m	新22-7E	v1#1	天部第一	陽	◯	爾雅・釋天			
s0104b801	s0104b801n	新22-81	v1#1	天部第一	⿱屾⿰𣅀戈	◯	出所不詳			
s0104b802	s0104b801n	新22-82	v1#1	天部第一	𣆊	◯	出所不詳			
s0104b803	s0104b801n	新22-83	v1#1	天部第一	凶	◯	出所不詳			
s0104b804	s0104b801n	新22-84	v1#1	天部第一	⿱山⿱𡗜于	◯	出所不詳			
s0104b805	s0104b801n	新22-85	v1#1	天部第一	⿱屾百	◯	出所不詳			
s0104b806	s0104b806	新22-86	v1#1	天部第一	⿱屾𠙻	◯	出所不詳			
s0104b807	s0104b807a	新22-87	v1#1	天部第一	夏	◯	爾雅・釋天			
s0104b808	s0104b807a	新22-88	v1#1	天部第一	寶	寳	爾雅・釋天	字頭：原作「寳」，「寶」之異體字。		
s0104b809	s0104b807a	新22-89	v1#1	天部第一	天	◯	爾雅・釋天			
s0104b810	s0104b810b	新22-8A	v1#1	天部第一	長	◯	爾雅・釋天			
s0104b811	s0104b810b	新22-8B	v1#1	天部第一	嬴	羸	爾雅・釋天	字頭：原作「羸」，誤。當作「嬴」。		
s0105a101	s0105a101c	新23-11	v1#1	天部第一	朱	◯	爾雅・釋天			
s0105a102	s0105a101c	新23-12	v1#1	天部第一	明	◯	爾雅・釋天			
s0105a103	s0105a103d	新23-13	v1#1	天部第一	⿺辶⿱日必	◯	出所不詳			
s0105a104	s0105a103d	新23-14	v1#1	天部第一	⿱百疋	◯	出所不詳			
s0105a105	s0105a103d	新23-15	v1#1	天部第一	⿺辶⿱日兀	◯	出所不詳			
s0105a106	s0105a106	新23-16	v1#1	天部第一	夏λ	◯	出所不詳			
s0105a107	s0105a107a	新23-17	v1#1	天部第一	秋	◯	出所不詳			
s0105a108	s0105a107a	新23-18	v1#1	天部第一	良	◯	爾雅・釋天			
s0105a109	s0105a107a	新23-19	v1#1	天部第一	天	◯	爾雅・釋天			
s0105a110	s0105a107a	新23-1A	v1#1	天部第一	又	◯	出所不詳			
s0105a111	s0105a107a	新23-1B	v1#1	天部第一	曰	◯	爾雅・釋天	爾雅作「旻」。		
s0105a112	s0105a107a	新23-1C	v1#1	天部第一	父	◯	爾雅・釋天	爾雅作「旻」。		
s0105a201	s0105a107a	新23-21	v1#1	天部第一	天	◯	爾雅・釋天			
s0105a202	s0105a107a	新23-22	v1#1	天部第一	収	𠬧	爾雅・釋天	字頭：原作「𠬧」，「収(收)」之異體字。		
s0105a203	s0105a107a	新23-23	v1#1	天部第一	成	◯	爾雅・釋天			
s0105a204	s0105a204b	新23-24	v1#1	天部第一	白	◯	爾雅・釋天			
s0105a205	s0105a204b	新23-25	v1#1	天部第一	藏	◯	爾雅・釋天			
s0105a206	s0105a206	新23-26	v1#1	天部第一	秌	◯	爾雅・釋天			
s0105a207	s0105a207	新23-27	v1#1	天部第一	⿱⿰山水⿰巾几	◯	出所不詳			
s0105a208	s0105a208a	新23-28	v1#1	天部第一	冬	◯	爾雅・釋天			
s0105a209	s0105a208a	新23-29	v1#1	天部第一	上	◯	爾雅・釋天			
s0105a210	s0105a208a	新23-2A	v1#1	天部第一	天	◯	爾雅・釋天			
s0105a211	s0105a208a	新23-2B	v1#1	天部第一	安	◯	爾雅・釋天			
s0105a212	s0105a208a	新23-2C	v1#1	天部第一	寧	◯	爾雅・釋天			
s0105a301	s0105a301b	新23-31	v1#1	天部第一	玄	◯	爾雅・釋天			
s0105a302	s0105a301b	新23-32	v1#1	天部第一	英	◯	爾雅・釋天			
s0105a303	s0105a303c	新23-33	v1#1	天部第一	尖	◯	出所不詳			
s0105a304	s0105a303c	新23-34	v1#1	天部第一	⿳臼大口	◯	出所不詳			
s0105a305	s0105a303c	新23-35	v1#1	天部第一	〓	◯	出所不詳			
s0105a306	s0105a306d	新23-36	v1#1	天部第一	閼	◯	爾雅・釋天			
s0105a307	s0105a306d	新23-37	v1#1	天部第一	蓬	◯	爾雅・釋天			
s0105a308	s0105a308e	新23-38	v1#1	天部第一	旃	◯	爾雅・釋天			
s0105a309	s0105a308e	新23-39	v1#1	天部第一	蒙	◯	爾雅・釋天			
s0105a310	s0105a310f	新23-3A	v1#1	天部第一	柔	◯	爾雅・釋天			
s0105a401	s0105a310f	新23-41	v1#1	天部第一	兆	◯	爾雅・釋天			
s0105a402	s0105a402a	新23-42	v1#1	天部第一	強	◯	爾雅・釋天			
s0105a403	s0105a402a	新23-43	v1#1	天部第一	圉	◯	爾雅・釋天			
s0105a404	s0105a404b	新23-44	v1#1	天部第一	著	◯	爾雅・釋天			
s0105a405	s0105a404b	新23-45	v1#1	天部第一	廱	◯	爾雅・釋天	爾雅・釋天。次「在己曰屠維」脱。		
s0105a406	s0105a406c	新23-46	v1#1	天部第一	上	◯	爾雅・釋天			
s0105a407	s0105a406c	新23-47	v1#1	天部第一	章	◯	爾雅・釋天			
s0105a408	s0105a408d	新23-48	v1#1	天部第一	重	◯	爾雅・釋天			
s0105a409	s0105a408d	新23-49	v1#1	天部第一	光	◯	爾雅・釋天			
s0105a410	s0105a410e	新23-4A	v1#1	天部第一	玄	◯	爾雅・釋天			
s0105a411	s0105a410e	新23-4B	v1#1	天部第一	黓	⿰里戊	爾雅・釋天	字頭：原作「⿰里戊」，當作「黓」。		
s0105a501	s0105a501f	新23-51	v1#1	天部第一	昭	◯	爾雅・釋天			
s0105a502	s0105a501f	新23-52	v1#1	天部第一	陽	◯	爾雅・釋天			
s0105a503	s0105a503g	新23-53	v1#1	天部第一	攝	◯	爾雅・釋天			
s0105a504	s0105a503g	新23-54	v1#1	天部第一	提	◯	爾雅・釋天			
s0105a505	s0105a503g	新23-55	v1#1	天部第一	格	◯	爾雅・釋天			
s0105a506	s0105a506h	新23-56	v1#1	天部第一	單	◯	爾雅・釋天			
s0105a507	s0105a506h	新23-57	v1#1	天部第一	閼	◯	爾雅・釋天			
s0105a508	s0105a508i	新23-58	v1#1	天部第一	執	◯	爾雅・釋天			
s0105a509	s0105a508i	新23-59	v1#1	天部第一	徐	◯	爾雅・釋天			
s0105a510	s0105a510j	新23-5A	v1#1	天部第一	大	◯	爾雅・釋天			
s0105a511	s0105a510j	新23-5B	v1#1	天部第一	芒	◯	爾雅・釋天			
s0105a512	s0105a510j	新23-5C	v1#1	天部第一	洛	◯	爾雅・釋天			
s0105a601	s0105a601k	新23-61	v1#1	天部第一	敦	郭	爾雅・釋天	字頭：原作「郭」，誤。當作「敦」。		
s0105a602	s0105a601k	新23-62	v1#1	天部第一	牂	◯	爾雅・釋天			
s0105a603	s0105a603l	新23-63	v1#1	天部第一	忤	◯	出所不詳			
s0105a604	s0105a603l	新23-64	v1#1	天部第一	協	⿰⺖刕	爾雅・釋天	字頭：原作「⿰⺖刕」，「協」之異體字。爾雅・釋天「在未曰協洽」。		
s0105a605	s0105a603l	新23-65	v1#1	天部第一	洽	◯	爾雅・釋天			
s0105a606	s0105a606m	新23-66	v1#1	天部第一	涒	◯	爾雅・釋天			
s0105a607	s0105a606m	新23-67	v1#1	天部第一	灘	◯	爾雅・釋天			
s0105a608	s0105a608n	新23-68	v1#1	天部第一	作	◯	爾雅・釋天			
s0105a609	s0105a608n	新23-69	v1#1	天部第一	噩	◯	爾雅・釋天			
s0105a610	s0105a610o	新23-6A	v1#1	天部第一	閹	◯	爾雅・釋天			
s0105a611	s0105a610o	新23-6B	v1#1	天部第一	茂	◯	爾雅・釋天			
s0105a701	s0105a701p	新23-71	v1#1	天部第一	大	◯	爾雅・釋天	爾雅・釋天「在亥曰大淵獻」。		
s0105a702	s0105a701p	新23-72	v1#1	天部第一	渕	◯	爾雅・釋天			
s0105a703	s0105a701p	新23-73	v1#1	天部第一	獻	◯	爾雅・釋天			
