# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# Tenjibon Shinsen-Jikyo (TSJ) : Rikugokan edition, Rinsen shoten edition ,National Diet Library Digital Collections and Database of Pre-Modern Japanese Works
# Version: 1.1.3
# Date: 1 January 2022
# Last update : 27 March 2022
#
# Copyright (c) 2022 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# TSV format information
# ----------------------
# SJ_vol: 篇立次第, 巻1-12
# SJ_vol_leaf(svvwwx): Book(vv), leaf(ww) and recto-verso(x)
# SJ_Rinsen_p: Page(xxx) in Rinsen shoten edition
# NDL_URL_1916: 813.2-Sy968s, Rikugokan edition 1916
# NIJL_URL_micro:Database of Pre-Modern Japanese Works, National Institute of Japanese Literature, 宮内庁書陵部 書陵部蔵マイクロデジタル変換 DOI 10.20730/100290337
SJ_vol	SJ_vol_leaf	SJ_Rinsen_p	NDL_URL_813.2-Sy968s_1916	NIJL_Shoryobu_micro
篇立次第	s0005a	11	https://dl.ndl.go.jp/info:ndljp/pid/3438195/12	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/19
篇立次第	s0005b	12	https://dl.ndl.go.jp/info:ndljp/pid/3438195/13	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/20
巻1	s0100a	13	https://dl.ndl.go.jp/info:ndljp/pid/3438195/13	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/21
巻1	s0100b	14	https://dl.ndl.go.jp/info:ndljp/pid/3438195/14	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/22
巻1	s0101a	15	https://dl.ndl.go.jp/info:ndljp/pid/3438195/14	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/23
巻1	s0101b	16	https://dl.ndl.go.jp/info:ndljp/pid/3438195/15	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/24
巻1	s0102a	17	https://dl.ndl.go.jp/info:ndljp/pid/3438195/15	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/25
巻1	s0102b	18	https://dl.ndl.go.jp/info:ndljp/pid/3438195/16	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/26
巻1	s0103a	19	https://dl.ndl.go.jp/info:ndljp/pid/3438195/16	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/27
巻1	s0103b	20	https://dl.ndl.go.jp/info:ndljp/pid/3438195/17	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/28
巻1	s0104a	21	https://dl.ndl.go.jp/info:ndljp/pid/3438195/17	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/29
巻1	s0104b	22	https://dl.ndl.go.jp/info:ndljp/pid/3438195/18	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/30
巻1	s0105a	23	https://dl.ndl.go.jp/info:ndljp/pid/3438195/18	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/31
巻1	s0105b	24	https://dl.ndl.go.jp/info:ndljp/pid/3438195/19	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/32
巻1	s0106a	25	https://dl.ndl.go.jp/info:ndljp/pid/3438195/19	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/33
巻1	s0106b	26	https://dl.ndl.go.jp/info:ndljp/pid/3438195/20	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/34
巻1	s0107a	27	https://dl.ndl.go.jp/info:ndljp/pid/3438195/20	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/35
巻1	s0107b	28	https://dl.ndl.go.jp/info:ndljp/pid/3438195/21	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/36
巻1	s0108a	29	https://dl.ndl.go.jp/info:ndljp/pid/3438195/21	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/37
巻1	s0108b	30	https://dl.ndl.go.jp/info:ndljp/pid/3438195/22	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/38
巻1	s0109a	31	https://dl.ndl.go.jp/info:ndljp/pid/3438195/22	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/39
巻1	s0109b	32	https://dl.ndl.go.jp/info:ndljp/pid/3438195/23	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/40
巻1	s0110a	33	https://dl.ndl.go.jp/info:ndljp/pid/3438195/23	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/41
巻1	s0110b	34	https://dl.ndl.go.jp/info:ndljp/pid/3438195/24	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/42
巻1	s0111a	35	https://dl.ndl.go.jp/info:ndljp/pid/3438195/24	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/43
巻1	s0111b	36	https://dl.ndl.go.jp/info:ndljp/pid/3438195/25	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/44
巻1	s0112a	37	https://dl.ndl.go.jp/info:ndljp/pid/3438195/25	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/45
巻1	s0112b	38	https://dl.ndl.go.jp/info:ndljp/pid/3438195/26	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/46
巻1	s0113a	39	https://dl.ndl.go.jp/info:ndljp/pid/3438195/26	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/47
巻1	s0113b	40	https://dl.ndl.go.jp/info:ndljp/pid/3438195/27	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/48
巻1	s0114a	41	https://dl.ndl.go.jp/info:ndljp/pid/3438195/27	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/49
巻1	s0114b	42	https://dl.ndl.go.jp/info:ndljp/pid/3438195/28	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/50
巻1	s0115a	43	https://dl.ndl.go.jp/info:ndljp/pid/3438195/28	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/51
巻1	s0115b	44	https://dl.ndl.go.jp/info:ndljp/pid/3438195/29	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/52
巻1	s0116a	45	https://dl.ndl.go.jp/info:ndljp/pid/3438195/29	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/53
巻1	s0116b	46	https://dl.ndl.go.jp/info:ndljp/pid/3438195/30	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/54
巻1	s0117a	47	https://dl.ndl.go.jp/info:ndljp/pid/3438195/30	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/55
巻1	s0117b	48	https://dl.ndl.go.jp/info:ndljp/pid/3438195/31	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/56
巻1	s0118a	49	https://dl.ndl.go.jp/info:ndljp/pid/3438195/31	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/57
巻1	s0118b	50	https://dl.ndl.go.jp/info:ndljp/pid/3438195/32	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/58
巻1	s0119a	51	https://dl.ndl.go.jp/info:ndljp/pid/3438195/32	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/59
巻1	s0119b	52	https://dl.ndl.go.jp/info:ndljp/pid/3438195/33	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/60
巻1	s0120a	53	https://dl.ndl.go.jp/info:ndljp/pid/3438195/33	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/61
巻1	s0120b	54	https://dl.ndl.go.jp/info:ndljp/pid/3438195/34	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/62
巻1	s0121a	55	https://dl.ndl.go.jp/info:ndljp/pid/3438195/34	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/63
巻1	s0121b	56	https://dl.ndl.go.jp/info:ndljp/pid/3438195/35	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/64
巻1	s0122a	57	https://dl.ndl.go.jp/info:ndljp/pid/3438195/35	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/65
巻1	s0122b	58	https://dl.ndl.go.jp/info:ndljp/pid/3438195/36	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/66
巻1	s0123a	59	https://dl.ndl.go.jp/info:ndljp/pid/3438195/36	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/67
巻1	s0123b	60	https://dl.ndl.go.jp/info:ndljp/pid/3438195/37	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/68
巻1	s0124a	61	https://dl.ndl.go.jp/info:ndljp/pid/3438195/37	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/69
巻1	s0124b	62	https://dl.ndl.go.jp/info:ndljp/pid/3438195/38	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/70
巻1	s0125a	63	https://dl.ndl.go.jp/info:ndljp/pid/3438195/38	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/71
巻1	s0125b	64	https://dl.ndl.go.jp/info:ndljp/pid/3438195/39	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/72
巻1	s0126a	65	https://dl.ndl.go.jp/info:ndljp/pid/3438195/39	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/73
巻1	s0126b	66	https://dl.ndl.go.jp/info:ndljp/pid/3438195/40	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/74
巻1	s0127a	67	https://dl.ndl.go.jp/info:ndljp/pid/3438195/40	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/75
巻1	s0127b	68	https://dl.ndl.go.jp/info:ndljp/pid/3438195/41	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/76
巻1	s0128a	69	https://dl.ndl.go.jp/info:ndljp/pid/3438195/41	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/77
巻1	s0128b	70	https://dl.ndl.go.jp/info:ndljp/pid/3438195/42	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/78
巻1	s0129a	71	https://dl.ndl.go.jp/info:ndljp/pid/3438195/42	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/79
巻1	s0129b	72	https://dl.ndl.go.jp/info:ndljp/pid/3438195/43	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/80
巻1	s0130a	73	https://dl.ndl.go.jp/info:ndljp/pid/3438195/43	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/81
巻1	s0130b	74	https://dl.ndl.go.jp/info:ndljp/pid/3438195/44	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/82
巻1	s0131a	75	https://dl.ndl.go.jp/info:ndljp/pid/3438195/44	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/83
巻1	s0131b	76	https://dl.ndl.go.jp/info:ndljp/pid/3438195/45	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/84
巻1	s0132a	77	https://dl.ndl.go.jp/info:ndljp/pid/3438195/45	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/85
巻1	s0132b	78	https://dl.ndl.go.jp/info:ndljp/pid/3438195/46	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/86
巻1	s0133a	79	https://dl.ndl.go.jp/info:ndljp/pid/3438195/46	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/87
巻1	s0133b	80	https://dl.ndl.go.jp/info:ndljp/pid/3438195/47	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/88
巻1	s0134a	81	https://dl.ndl.go.jp/info:ndljp/pid/3438195/47	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/89
巻1	s0134b	82	https://dl.ndl.go.jp/info:ndljp/pid/3438195/48	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/90
巻1	s0135a	83	https://dl.ndl.go.jp/info:ndljp/pid/3438195/48	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/91
巻1	s0135b	84	https://dl.ndl.go.jp/info:ndljp/pid/3438195/49	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/92
巻1	s0136a	85	https://dl.ndl.go.jp/info:ndljp/pid/3438195/49	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/93
巻1	s0136b	86	https://dl.ndl.go.jp/info:ndljp/pid/3438195/50	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/94
巻2	#N/A	87	https://dl.ndl.go.jp/info:ndljp/pid/3438195/50	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/95
巻2	#N/A	88	https://dl.ndl.go.jp/info:ndljp/pid/3438195/51	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/96
巻2	s0201a	89	https://dl.ndl.go.jp/info:ndljp/pid/3438195/51	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/99
巻2	s0201b	90	https://dl.ndl.go.jp/info:ndljp/pid/3438195/52	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/100
巻2	s0202a	91	https://dl.ndl.go.jp/info:ndljp/pid/3438195/52	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/100
巻2	s0202b	92	https://dl.ndl.go.jp/info:ndljp/pid/3438195/53	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/101
巻2	s0203a	93	https://dl.ndl.go.jp/info:ndljp/pid/3438195/53	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/101
巻2	s0203b	94	https://dl.ndl.go.jp/info:ndljp/pid/3438195/54	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/102
巻2	s0204a	95	https://dl.ndl.go.jp/info:ndljp/pid/3438195/54	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/102
巻2	s0204b	96	https://dl.ndl.go.jp/info:ndljp/pid/3438195/55	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/103
巻2	s0205a	97	https://dl.ndl.go.jp/info:ndljp/pid/3438195/55	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/103
巻2	s0205b	98	https://dl.ndl.go.jp/info:ndljp/pid/3438195/56	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/104
巻2	s0206a	99	https://dl.ndl.go.jp/info:ndljp/pid/3438195/56	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/104
巻2	s0206b	100	https://dl.ndl.go.jp/info:ndljp/pid/3438195/57	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/105
巻2	s0207a	101	https://dl.ndl.go.jp/info:ndljp/pid/3438195/57	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/105
巻2	s0207b	102	https://dl.ndl.go.jp/info:ndljp/pid/3438195/58	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/106
巻2	s0208a	103	https://dl.ndl.go.jp/info:ndljp/pid/3438195/58	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/106
巻2	s0208b	104	https://dl.ndl.go.jp/info:ndljp/pid/3438195/59	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/107
巻2	s0209a	105	https://dl.ndl.go.jp/info:ndljp/pid/3438195/59	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/107
巻2	s0209b	106	https://dl.ndl.go.jp/info:ndljp/pid/3438195/60	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/108
巻2	s0210a	107	https://dl.ndl.go.jp/info:ndljp/pid/3438195/60	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/108
巻2	s0210b	108	https://dl.ndl.go.jp/info:ndljp/pid/3438195/61	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/109
巻2	s0211a	109	https://dl.ndl.go.jp/info:ndljp/pid/3438195/61	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/109
巻2	s0211b	110	https://dl.ndl.go.jp/info:ndljp/pid/3438195/62	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/110
巻2	s0212a	111	https://dl.ndl.go.jp/info:ndljp/pid/3438195/62	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/110
巻2	s0212b	112	https://dl.ndl.go.jp/info:ndljp/pid/3438195/63	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/111
巻2	s0213a	113	https://dl.ndl.go.jp/info:ndljp/pid/3438195/63	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/111
巻2	s0213b	114	https://dl.ndl.go.jp/info:ndljp/pid/3438195/64	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/112
巻2	s0214a	115	https://dl.ndl.go.jp/info:ndljp/pid/3438195/64	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/112
巻2	s0214b	116	https://dl.ndl.go.jp/info:ndljp/pid/3438195/65	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/113
巻2	s0215a	117	https://dl.ndl.go.jp/info:ndljp/pid/3438195/65	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/113
巻2	s0215b	118	https://dl.ndl.go.jp/info:ndljp/pid/3438195/66	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/114
巻2	s0216a	119	https://dl.ndl.go.jp/info:ndljp/pid/3438195/66	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/114
巻2	s0216b	120	https://dl.ndl.go.jp/info:ndljp/pid/3438195/67	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/115
巻2	s0217a	121	https://dl.ndl.go.jp/info:ndljp/pid/3438195/67	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/115
巻2	s0217b	122	https://dl.ndl.go.jp/info:ndljp/pid/3438195/68	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/116
巻2	s0218a	123	https://dl.ndl.go.jp/info:ndljp/pid/3438195/68	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/116
巻2	s0218b	124	https://dl.ndl.go.jp/info:ndljp/pid/3438195/69	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/117
巻2	s0218b	125	https://dl.ndl.go.jp/info:ndljp/pid/3438195/69	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/117
巻2	s0219b	126	https://dl.ndl.go.jp/info:ndljp/pid/3438195/70	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/118
巻2	s0220a	127	https://dl.ndl.go.jp/info:ndljp/pid/3438195/70	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/118
巻2	s0220b	128	https://dl.ndl.go.jp/info:ndljp/pid/3438195/71	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/119
巻2	s0220b	129	https://dl.ndl.go.jp/info:ndljp/pid/3438195/71	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/119
巻2	s0221a	130	https://dl.ndl.go.jp/info:ndljp/pid/3438195/72	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/120
巻2	s0222a	131	https://dl.ndl.go.jp/info:ndljp/pid/3438195/72	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/120
巻2	s0222b	132	https://dl.ndl.go.jp/info:ndljp/pid/3438195/73	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/121
巻2	s0223a	133	https://dl.ndl.go.jp/info:ndljp/pid/3438195/73	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/121
巻2	s0223b	134	https://dl.ndl.go.jp/info:ndljp/pid/3438195/74	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/122
巻2	s0224a	135	https://dl.ndl.go.jp/info:ndljp/pid/3438195/74	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/122
巻2	s0224b	136	https://dl.ndl.go.jp/info:ndljp/pid/3438195/75	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/123
巻2	s0225a	137	https://dl.ndl.go.jp/info:ndljp/pid/3438195/75	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/123
巻2	s0225b	138	https://dl.ndl.go.jp/info:ndljp/pid/3438195/76	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/124
巻2	s0226a	139	https://dl.ndl.go.jp/info:ndljp/pid/3438195/76	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/124
巻2	s0226b	140	https://dl.ndl.go.jp/info:ndljp/pid/3438195/77	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/125
巻2	s0227a	141	https://dl.ndl.go.jp/info:ndljp/pid/3438195/77	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/125
巻2	s0227b	142	https://dl.ndl.go.jp/info:ndljp/pid/3438195/78	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/126
巻2	s0228a	143	https://dl.ndl.go.jp/info:ndljp/pid/3438195/78	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/126
巻2	s0228b	144	https://dl.ndl.go.jp/info:ndljp/pid/3438195/79	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/127
巻2	s0229a	145	https://dl.ndl.go.jp/info:ndljp/pid/3438195/79	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/127
巻2	s0229b	146	https://dl.ndl.go.jp/info:ndljp/pid/3438195/80	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/128
巻2	s0230a	147	https://dl.ndl.go.jp/info:ndljp/pid/3438195/80	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/128
巻2	s0230b	148	https://dl.ndl.go.jp/info:ndljp/pid/3438195/81	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/129
巻2	#N/A	149	https://dl.ndl.go.jp/info:ndljp/pid/3438195/81	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/129
巻3	#N/A	150	https://dl.ndl.go.jp/info:ndljp/pid/3438196/2	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/131
巻3	s0301a	151	https://dl.ndl.go.jp/info:ndljp/pid/3438196/3	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/133
巻3	s0301b	152	https://dl.ndl.go.jp/info:ndljp/pid/3438196/4	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/134
巻3	s0302a	153	https://dl.ndl.go.jp/info:ndljp/pid/3438196/4	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/135
巻3	s0302b	154	https://dl.ndl.go.jp/info:ndljp/pid/3438196/5	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/136
巻3	s0303a	155	https://dl.ndl.go.jp/info:ndljp/pid/3438196/5	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/137
巻3	s0303b	156	https://dl.ndl.go.jp/info:ndljp/pid/3438196/6	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/138
巻3	s0304a	157	https://dl.ndl.go.jp/info:ndljp/pid/3438196/6	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/139
巻3	s0304b	158	https://dl.ndl.go.jp/info:ndljp/pid/3438196/7	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/140
巻3	s0305a	159	https://dl.ndl.go.jp/info:ndljp/pid/3438196/7	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/141
巻3	s0305b	160	https://dl.ndl.go.jp/info:ndljp/pid/3438196/8	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/142
巻3	s0306a	161	https://dl.ndl.go.jp/info:ndljp/pid/3438196/8	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/143
巻3	s0306b	162	https://dl.ndl.go.jp/info:ndljp/pid/3438196/9	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/144
巻3	s0307a	163	https://dl.ndl.go.jp/info:ndljp/pid/3438196/9	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/145
巻3	s0307b	164	https://dl.ndl.go.jp/info:ndljp/pid/3438196/10	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/146
巻3	s0308a	165	https://dl.ndl.go.jp/info:ndljp/pid/3438196/10	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/147
巻3	s0308b	166	https://dl.ndl.go.jp/info:ndljp/pid/3438196/11	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/148
巻3	s0309a	167	https://dl.ndl.go.jp/info:ndljp/pid/3438196/11	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/149
巻3	s0309b	168	https://dl.ndl.go.jp/info:ndljp/pid/3438196/12	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/150
巻3	s0310a	169	https://dl.ndl.go.jp/info:ndljp/pid/3438196/12	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/151
巻3	s0310b	170	https://dl.ndl.go.jp/info:ndljp/pid/3438196/13	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/152
巻3	s0311a	171	https://dl.ndl.go.jp/info:ndljp/pid/3438196/13	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/153
巻3	s0311b	172	https://dl.ndl.go.jp/info:ndljp/pid/3438196/14	https://kotenseki.nijl.ac.jp/biblio/100290337/viewer/154
