#	HDIC Project
#	HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
#	Songben Yupian (SYP) : (宋本玉篇) and
#			the copy in Imperial Household Agency Archives and Mausolea Department (宮内庁書陵部),
#			IIIF images provided through Keio Institute of Oriental Classics (慶應義塾大学附属研究所斯道文庫).
#
#	Version: 0.0.2
#	Date: 6 May 2024
#	Last update : 8 May 2024
#
#	Copyright (c) 2016-2024 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#	LI Yuan (Person in charge of text data proofreading)
#	LIU Guanwei (Person in charge of image database design and implementation)
#	Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#	This data is based on SYP.tsv (2023-08-29), compiled by suzuki toshiya and MORIOKA Tomohiko.
#
#	Data License Information and Access Rights
#	License: 
#	Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
#	Access Rights (Availability): 
#	Open access
#
#	TSV Format information:
#	----------------------
#	Vol_radical:	volume number & radical number separated by "#", both are not zero-padded.
#	Book:	SYP is bounded to 3 parts, upper (上) = a, middle (中) = b, and lower (下) = c.
#	Leaf:	Leaf number printed on the center of the leaf.
#	Recto-verso:	a is for the right side of the leaf, b is for the left side of the leaf (leaf, not in spread-view)
#	Radical:	UTF-8 single character of the radical
#	Keio_url:	URL of manifest.json, 3 manifest.json files are provided for each book
#	Page_iiif:	page number under specified IIIF manifest
#
#	Regular expression for each column:
#	----------------------
#	Vol_radical:	v[1-9][0-9]*{1,3}#[1-9][0-9]*{1,3}
#	Book:	[abc]
#	Leaf:	[0-9]{3}
#	Recto-verso:	[ab]
#	Radical:	.
#	Keio_url:	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-00[123]/manifest.json
#	Page_iiif:	[0-9]{3}
#
#	This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 22K12719.
#
Vol_radical	Book	Leaf	Recto-verso	Radical	Keio_url	Page_iiif
v1#7	a	011	a	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	014
v1#7	a	011	b	玉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	015
v1#8	a	011	b	珏	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	015
v2#9	a	012	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	015
v2#9	a	012	b	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	016
v2#9	a	013	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	016
v2#9	a	013	b	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	017
v2#9	a	014	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	017
v2#9	a	014	b	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	018
v2#9	a	015	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	018
v2#9	a	015	b	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	019
v2#9	a	016	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	019
v2#9	a	016	b	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	020
v2#9	a	017	a	土	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	020
v2#10	a	017	a	垚	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	020
v2#11	a	017	a	𡏳	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	020
v2#12	a	017	a	里	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	020
v2#12	a	017	b	里	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	021
v2#13	a	017	b	田	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	021
v2#13	a	018	a	田	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	021
v2#13	a	018	b	田	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#14	a	018	b	畕	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#15	a	018	b	黄	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#15	a	019	a	黄	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#16	a	019	a	丘	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#17	a	019	a	京	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#18	a	019	a	冂	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	022
v2#19	a	019	b	𩫏	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	023
v2#20	a	019	b	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	023
v2#20	a	020	a	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	023
v2#20	a	020	b	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	024
v2#20	a	021	a	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	024
v2#20	a	021	b	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	025
v2#20	a	022	a	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	025
v2#20	a	022	b	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	026
v2#20	a	023	a	邑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	026
v2#21	a	023	a	司	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	026
v2#22	a	023	b	士	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	027
v3#23	a	023	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	027
v3#23	a	024	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	027
v3#23	a	024	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	028
v3#23	a	025	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	028
v3#23	a	025	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	029
v3#23	a	026	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	029
v3#23	a	026	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	030
v3#23	a	027	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	030
v3#23	a	027	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	031
v3#23	a	028	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	031
v3#23	a	028	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	032
v3#23	a	029	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	032
v3#23	a	029	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	033
v3#23	a	030	a	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	033
v3#23	a	030	b	人	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#24	a	030	b	儿	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#24	a	031	a	儿	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#25	a	031	a	父	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#26	a	031	a	臣	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#27	a	031	a	男	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	034
v3#28	a	031	b	民	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#29	a	031	b	夫	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#30	a	031	b	予	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#31	a	031	b	我	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#32	a	031	b	身	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#32	a	032	a	身	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#33	a	032	a	兄	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#34	a	032	a	弟	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#35	a	032	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	035
v3#35	a	032	b	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	036
v3#35	a	033	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	036
v3#35	a	033	b	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	037
v3#35	a	034	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	037
v3#35	a	034	b	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	038
v3#35	a	035	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	038
v3#35	a	035	b	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	039
v3#35	a	036	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	039
v3#35	a	036	b	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	040
v3#35	a	037	a	女	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	040
v4#36	a	037	a	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	040
v4#36	a	037	b	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	041
v4#36	a	038	a	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	041
v4#36	a	038	b	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	042
v4#36	a	039	a	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	042
v4#36	a	039	b	頁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#37	a	039	b	頻	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#37	a	040	a	頻	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#38	a	040	a	𦣻	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#39	a	040	a	𩠐	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#40	a	040	a	𥄉	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	043
v4#41	a	040	b	面	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#42	a	040	b	色	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#42	a	041	a	色	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#43	a	041	a	囟	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#44	a	041	a	𦣝	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#45	a	041	a	亢	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#46	a	041	a	鼻	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	044
v4#46	a	041	b	鼻	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	045
v4#47	a	041	b	自	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	045
v4#48	a	041	b	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	045
v4#48	a	042	a	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	045
v4#48	a	042	b	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	046
v4#48	a	043	a	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	046
v4#48	a	043	b	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	047
v4#48	a	044	a	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	047
v4#48	a	044	b	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	048
v4#48	a	045	a	目	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	048
v4#49	a	045	a	盾	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	048
v4#50	a	045	a	䀠	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	048
v4#50	a	045	b	䀠	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	049
v4#51	a	045	b	𥄎	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	049
v4#52	a	045	b	見	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	049
v4#52	a	046	a	見	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	049
v4#52	a	046	b	見	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	050
v4#53	a	046	b	覞	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	050
v4#54	a	046	b	𥄕	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	050
v4#55	a	046	b	耳	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	050
v4#55	a	047	a	耳	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	050
v4#55	a	047	b	耳	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	051
v4#55	a	048	a	耳	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	051
v5#56	a	048	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	051
v5#56	a	048	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	052
v5#56	a	049	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	052
v5#56	a	049	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	053
v5#56	a	050	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	053
v5#56	a	050	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	054
v5#56	a	051	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	054
v5#56	a	051	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	055
v5#56	a	052	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	055
v5#56	a	052	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	056
v5#56	a	053	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	056
v5#56	a	053	b	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	057
v5#56	a	054	a	口	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	057
v5#57	a	054	a	𠔌	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	057
v5#58	a	054	a	舌	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	057
v5#59	a	054	a	齒	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	057
v5#59	a	054	b	齒	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	058
v5#59	a	055	a	齒	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	058
v5#60	a	055	a	牙	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	058
v5#60	a	055	b	牙	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#61	a	055	b	須	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#62	a	055	b	彡	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#63	a	055	b	彣	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#64	a	056	a	文	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#65	a	056	a	髟	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	059
v5#65	a	056	b	髟	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	060
v5#65	a	057	a	髟	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	060
v6#66	a	057	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	060
v6#66	a	057	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	061
v6#66	a	058	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	061
v6#66	a	058	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	062
v6#66	a	059	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	062
v6#66	a	059	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	063
v6#66	a	060	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	063
v6#66	a	060	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	064
v6#66	a	061	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	064
v6#66	a	061	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	065
v6#66	a	062	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	065
v6#66	a	062	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	066
v6#66	a	063	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	066
v6#66	a	063	b	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	067
v6#66	a	064	a	手	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	067
v6#67	a	064	a	𠬞	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	067
v6#68	a	064	a	𠬜	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	067
v6#69	a	064	b	舁	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#70	a	064	b	𦥑	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#71	a	064	b	爪	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#72	a	064	b	丮	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#73	a	064	b	鬥	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#73	a	065	a	鬥	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#74	a	065	a	屮	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#75	a	065	a	又	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	068
v6#75	a	065	b	又	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	069
v7#76	a	065	b	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	069
v7#76	a	066	a	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	069
v7#76	a	066	b	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	070
v7#76	a	067	a	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	070
v7#76	a	067	b	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	071
v7#76	a	068	a	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	071
v7#76	a	068	b	足	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	072
v7#77	a	068	b	疋	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	072
v7#78	a	068	b	乖	https://db2.sido.keio.ac.jp/iiif/manifests/kanseki/043739/043739-001/manifest.json	072
