#	HDIC Project
#	HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
#	Kosanjibon Tenrei Bansho Meigi (KTB) : Subun Sosho edition (崇文叢書版) and National Diet Library Digital Collections
#
#	Kosanjibon Tenrei bansho meigi 篆隷萬象名義, Kosanji copy 高山寺本.
#	monk Kukai of the Heian period 空海, c. 827-835.
#	A Hanzi (Chinese character) dictionary.
#
#	Version: 1.1.1
#	Date published : 4 September 2016
#	Last modified : 5 January 2022
#
#   Copyright (c) 2016-2021 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
#   Data License Information and Access Rights
#   License: 
#   Creative Commons Attribution-NonCommercial 4.0 International License (CC BY-NC 4.0)
#   Access Rights (Availability): 
#   Open access
#
#	TSV Format information:
#	----------------------
#	Vol_radical (xx#yyy)	: Volume(xx) and radical number(yyy) of Yuanben Yupian
#   KTB_vol : Gensen(G, the original part)-Zokusen(Z, the sequel part) and volume(xx) of KTB
#	Radical	: Radical of Chinese character 
#	Book_leaf (v_www_x) 	: Book(v), leaf(www), recto-verso(x) of KTB
#	NDL_url		: URL of National Diet Library Digital Collections
#
#	This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526.
#
Vol_radical	KTB_vol Radical	Book_leaf	NDL_url
v2#19	G05	𩫏	1_041_A	null
v2#20	G06	邑	1_041_B	null
v2#20	G06	邑	1_042_A	null
v2#20	G06	邑	1_042_B	null
v2#20	G06	邑	1_043_A	null
v2#20	G06	邑	1_043_B	null
v2#20	G06	邑	1_044_A	null
v2#20	G06	邑	1_044_B	null
v2#20	G06	邑	1_045_A	null
v2#20	G06	邑	1_045_B	null
v2#20	G06	邑	1_046_A	null
v2#20	G06	邑	1_046_B	null
v2#20	G06	邑	1_047_A	null
v2#20	G06	邑	1_047_B	null
v2#20	G06	邑	1_048_A	null
v2#20	G06	邑	1_048_B	null
v2#20	G06	邑	1_049_A	null
v2#20	G06	邑	1_049_B	null
v2#21	G06	司	1_049_B	null
v2#22	G06	士	1_049_B	null
v3#23	G07	人	1_049_B	null
v3#23	G07	人	1_050_A	null
v3#23	G07	人	1_050_B	null
v3#23	G07	人	1_051_A	null
v3#23	G07	人	1_051_B	null
v3#23	G07	人	1_052_A	null
v3#23	G07	人	1_052_B	null
v3#23	G07	人	1_053_A	null
v3#23	G07	人	1_053_B	null
v3#23	G07	人	1_054_A	null
v3#23	G07	人	1_054_B	null
v3#23	G07	人	1_055_A	null
v3#23	G07	人	1_055_B	null
v3#23	G07	人	1_056_A	null
v3#23	G07	人	1_056_B	null
v3#23	G07	人	1_057_A	null
v3#23	G07	人	1_057_B	null
v3#23	G07	人	1_058_A	null
v3#23	G07	人	1_058_B	null
v3#23	G07	人	1_059_A	null
v3#23	G07	人	1_059_B	null
v3#23	G07	人	1_060_A	null
v3#23	G07	人	1_060_B	null
v3#23	G07	人	1_061_A	null
v3#23	G07	人	1_061_B	null
v3#23	G07	人	1_062_A	null
v3#23	G07	人	1_062_B	null
v3#23	G07	人	1_063_A	null
v3#23	G07	人	1_063_B	null
v3#23	G07	人	1_064_A	null
v3#23	G07	人	1_064_B	null
v3#23	G07	人	1_065_A	null
v3#23	G07	人	1_065_B	null
v3#23	G07	人	1_066_A	null
v3#23	G07	人	1_066_B	null
v3#24	G09	儿	1_066_B	null
v3#24	G09	儿	1_067_A	null
v3#25	G09	父	1_067_A	null
v3#26	G09	臣	1_067_A	null
v3#27	G09	男	1_067_B	null
v3#28	G09	民	1_067_B	null
v3#29	G09	夫	1_067_B	null
v3#30	G09	予	1_067_B	null
v3#30	G09	予	1_068_A	null
v3#31	G09	我	1_068_A	null
v3#32	G09	身	1_068_A	null
v3#32	G09	身	1_068_B	null
v3#33	G09	兄	1_068_B	null
v3#34	G09	弟	1_068_B	null
v3#35	G09	女	1_068_B	null
v3#35	G09	女	1_069_A	null
v3#35	G09	女	1_069_B	null
v3#35	G09	女	1_070_A	null
v3#35	G09	女	1_070_B	null
v3#35	G09	女	1_071_A	null
v3#35	G09	女	1_071_B	null
v3#35	G09	女	1_072_A	null
v3#35	G09	女	1_072_B	null
v3#35	G09	女	1_073_A	null
v3#35	G09	女	1_073_B	null
v3#35	G09	女	1_074_A	null
v3#35	G09	女	1_074_B	null
v3#35	G09	女	1_075_A	null
v3#35	G09	女	1_075_B	null
v3#35	G09	女	1_076_A	null
v3#35	G09	女	1_076_B	null
v3#35	G09	女	1_077_A	null
v3#35	G09	女	1_077_B	null
v3#35	G09	女	1_078_A	null
v3#35	G09	女	1_078_B	null
v3#35	G09	女	1_079_A	null
v3#35	G09	女	1_079_B	null
v3#35	G09	女	1_080_A	null
v3#35	G09	女	1_080_B	null
v3#35	G09	女	1_081_A	null
v4#36	G11	頁	1_081_B	null
v4#36	G11	頁	1_082_A	null
v4#36	G11	頁	1_082_B	null
v4#36	G11	頁	1_083_A	null
v4#36	G11	頁	1_083_B	null
v4#36	G11	頁	1_084_A	null
v4#36	G11	頁	1_084_B	null
v4#36	G11	頁	1_085_A	null
v4#36	G11	頁	1_085_B	null
v4#36	G11	頁	1_086_A	null
v4#36	G11	頁	1_086_B	null
v4#36	G11	頁	1_087_A	null
v4#36	G11	頁	1_087_B	null
v4#37	G11	頻	1_088_A	null
v4#38	G11	𦣻	1_088_A	null
v4#39	G11	𩠐	1_088_A	null
v4#39	G11	𩠐	1_088_B	null
v4#40	G11	𥄉	1_088_B	null
v4#41	G12	面	1_088_B	null
v4#41	G12	面	1_089_A	null
v4#42	G12	色	1_089_B	null
v4#43	G12	囟	1_090_A	null
v4#44	G12	𦣝	1_090_A	null
v4#44	G12	𦣝	1_090_B	null
v4#45	G12	亢	1_090_B	null
v4#46	G12	鼻	1_090_B	null
v4#46	G12	鼻	1_091_A	null
v4#47	G12	自	1_091_B	null
v4#48	G12	𦣹	1_091_B	null
v4#48	G12	𦣹	1_092_A	null
v4#49	G04	目	1_092_A	null
v4#49	G04	目	1_092_B	null
v4#49	G04	目	1_093_A	null
v4#49	G04	目	1_093_B	null
v4#49	G04	目	1_094_A	null
v4#49	G04	目	1_094_B	null
v4#49	G04	目	1_095_A	null
v4#49	G04	目	1_095_B	null
v4#49	G04	目	1_096_A	null
v4#49	G04	目	1_096_B	null
v4#49	G04	目	1_097_A	null
v4#49	G04	目	1_097_B	null
v4#49	G04	目	1_098_A	null
v4#49	G04	目	1_098_B	null
v4#49	G04	目	1_099_A	null
v4#49	G04	目	1_099_B	null
v4#49	G04	目	1_100_A	null
v4#49	G04	目	2_001_A	null
v4#49	G04	目	2_001_B	null
v4#50	G13	省	2_001_B	null
v4#51	G13	䀠	2_001_B	null
v4#51	G13	䀠	2_002_A	null
v4#52	G13	𥄎	2_002_A	null
v4#53	G13	見	2_002_A	null
v4#53	G13	見	2_002_B	null
v4#53	G13	見	2_003_A	null
v4#53	G13	見	2_003_B	null
v4#53	G13	見	2_004_A	null
v4#53	G13	見	2_004_B	null
v4#53	G13	見	2_004B	null
v4#54	G13	覞	2_004_B	null
v4#55	G13	𥄕	2_004_B	null
v4#55	G13	𥄕	2_005_A	null
v4#56	G13	耳	2_005_A	null
v4#56	G13	耳	2_005_B	null
v4#56	G13	耳	2_005B	null
v4#56	G13	耳	2_006_A	null
v4#56	G13	耳	2_006_B	null
v4#56	G13	耳	2_006B	null
v4#56	G13	耳	2_007_A	null
v4#56	G13	耳	2_007_B	null
v4#56	G13	耳	2_008_A	null
v5#57	G14	口	2_008_A	null
v5#57	G14	口	2_008_B	null
v5#57	G14	口	2_009_A	null
v5#57	G14	口	2_009_B	null
v5#57	G14	口	2_010_A	null
v5#57	G14	口	2_010_B	null
v5#57	G14	口	2_011_A	null
v5#57	G14	口	2_011_B	null
v5#57	G14	口	2_012_A	null
v5#57	G14	口	2_012_B	null
v5#57	G14	口	2_013_A	null
v5#57	G14	口	2_013_B	null
v5#57	G14	口	2_014_A	null
v5#57	G14	口	2_014_B	null
v5#57	G14	口	2_015_A	null
v5#57	G14	口	2_015_B	null
v5#57	G14	口	2_016_A	null
v5#57	G14	口	2_016_B	null
v5#57	G14	口	2_017_A	null
v5#57	G14	口	2_017_B	null
v5#57	G14	口	2_018_A	null
v5#57	G14	口	2_018_B	null
v5#57	G14	口	2_019_A	null
v5#57	G14	口	2_019_B	null
v5#57	G14	口	2_020_A	null
v5#57	G14	口	2_020_B	null
v5#57	G14	口	2_021_A	null
v5#57	G14	口	2_021_B	null
v5#58	G16	𠔌	2_021_B	null
v5#59	G16	舌	2_021_B	null
v5#59	G16	舌	2_022_A	null
v5#60	G16	齒	2_022_A	null
v5#60	G16	齒	2_022_B	null
v5#60	G16	齒	2_023_A	null
v5#60	G16	齒	2_023_B	null
v5#60	G16	齒	2_024_A	null
v5#60	G16	齒	2_024_B	null
v5#61	G16	牙	2_024_B	null
v5#61	G16	牙	2_025_A	null
v5#62	G16	須	2_025_A	null
v5#63	G16	彡	2_025_A	null
v5#63	G16	彡	2_025_B	null
v5#64	G16	彣	2_025_B	null
v5#65	G16	文	2_025_B	null
v5#65	G16	文	2_026_A	null
v5#66	G16	髟	2_026_B	null
v5#66	G16	髟	2_027_A	null
v5#66	G16	髟	2_027_B	null
v5#66	G16	髟	2_028_A	null
v5#66	G16	髟	2_028_B	null
v5#66	G16	髟	2_029_A	null
v5#66	G16	髟	2_029_B	null
v6#67	G17	手	2_029_B	null
v6#67	G17	手	2_030_A	null
v6#67	G17	手	2_030_B	null
v6#67	G17	手	2_031_A	null
v6#67	G17	手	2_031_B	null
v6#67	G17	手	2_032_A	null
v6#67	G17	手	2_032_B	null
v6#67	G17	手	2_033_A	null
v6#67	G17	手	2_033_B	null
v6#67	G17	手	2_034_A	null
v6#67	G17	手	2_034_B	null
v6#67	G17	手	2_035_A	null
v6#67	G17	手	2_035_B	null
v6#67	G17	手	2_036_A	null
v6#67	G17	手	2_036_B	null
v6#67	G17	手	2_037_A	null
v6#67	G17	手	2_037_B	null
v6#67	G17	手	2_038_A	null
v6#67	G17	手	2_038_B	null
v6#67	G17	手	2_039_A	null
v6#67	G17	手	2_039_B	null
v6#67	G17	手	2_040_A	null
v6#67	G17	手	2_040_B	null
v6#67	G17	手	2_041_A	null
v6#67	G17	手	2_041_B	null
v6#67	G17	手	2_042_A	null
v6#67	G17	手	2_042_B	null
v6#67	G17	手	2_043_A	null
v6#67	G17	手	2_043_B	null
v6#67	G17	手	2_044_A	null
v6#67	G17	手	2_044_B	null
v6#67	G17	手	2_045_A	null
v6#67	G17	手	2_045_B	null
v6#67	G17	手	2_046_A	null
v6#67	G17	手	2_046_B	null
v6#67	G17	手	2_047_A	null
v6#67	G17	手	2_047_B	null
v6#67	G17	手	2_048_A	null
v6#67	G17	手	2_048_B	null
v6#68	G20	𠬞	2_048_B	null
v6#68	G20	𠬞	2_049_A	null
v6#68	G20	𠬞	2_049_B	null
v6#69	G20	𠬜	2_049_B	null
v6#70	G20	舁	2_050_A	null
v6#70	G20	舁	2_051_A	null
v6#71	G20	𦥑	2_050_A	null
v6#72	G20	爪	2_050_A	null
v6#73	G20	丮	2_050_A	null
v6#73	G20	丮	2_050_B	null
v6#74	G20	鬥	2_050_B	null
v6#74	G20	鬥	2_051_A	null
v6#75	G20	屮	2_051_A	null
v6#76	G20	又	2_051_A	null
v6#76	G20	又	2_051_B	null
v6#76	G20	又	2_052_A	null
v7#77	G21	足	2_052_B	null
v7#77	G21	足	2_053_A	null
v7#77	G21	足	2_053_B	null
v7#77	G21	足	2_054_A	null
v7#77	G21	足	2_054_B	null
v7#77	G21	足	2_055_A	null
v7#77	G21	足	2_055_B	null
v7#77	G21	足	2_056_A	null
v7#77	G21	足	2_056_B	null
v7#77	G21	足	2_057_A	null
v7#77	G21	足	2_057_B	null
v7#77	G21	足	2_058_A	null
v7#77	G21	足	2_058_B	null
v7#77	G21	足	2_059_A	null
v7#77	G21	足	2_059_B	null
v7#77	G21	足	2_060_A	null
v7#77	G21	足	2_060_B	null
v7#78	G22	疋	2_060_B	null
v7#78	G22	疋	2_061_A	null
v7#79	G22	乖	2_061_A	null
v7#80	G22	骨	2_061_A	null
v7#80	G22	骨	2_061_B	null
v7#80	G22	骨	2_062_A	null
v7#80	G22	骨	2_062_B	null
v7#80	G22	骨	2_063_A	null
v7#80	G22	骨	2_063_B	null
v7#81	G22	血	2_063_B	null
v7#81	G22	血	2_064_A	null
v7#82	G22	肉	2_064_A	null
v7#82	G22	肉	2_064_B	null
v7#82	G22	肉	2_065_A	null
v7#82	G22	肉	2_065_B	null
v7#82	G22	肉	2_066_A	null
v7#82	G22	肉	2_066_B	null
v7#82	G22	肉	2_067_A	null
v7#82	G22	肉	2_067_B	null
v7#82	G22	肉	2_068_A	null
v7#82	G22	肉	2_068_B	null
v7#82	G22	肉	2_069_A	null
v7#82	G22	肉	2_069_B	null
v7#82	G22	肉	2_070_A	null
v7#82	G22	肉	2_070_B	null
v7#82	G22	肉	2_071_A	null
v7#82	G22	肉	2_071_B	null
v7#82	G22	肉	2_072_A	null
v7#82	G22	肉	2_072_B	null
v7#82	G22	肉	2_073_A	null
v7#82	G22	肉	2_073_B	null
v7#82	G22	肉	2_074_A	null
v7#82	G22	肉	2_074_B	null
v7#82	G22	肉	2_075_A	null
v7#82	G22	肉	2_075_B	null
v7#82	G22	肉	2_076_A	null
v7#82	G22	肉	2_076_B	null
v7#83	G24	筋	2_077_A	null
v7#84	G24	力	2_077_A	null
v7#84	G24	力	2_077_B	null
v7#84	G24	力	2_078_A	null
v7#84	G24	力	2_078_B	null
v7#84	G24	力	2_079_A	null
v7#84	G24	力	2_079_B	null
v7#85	G24	劦	2_079_B	null
v7#86	G24	呂	2_079_B	null
v7#86	G24	呂	2_080_A	null
v7#87	G24	㝱	2_080_A	null
v7#87	G24	㝱	2_080_B	null
v8#88	G25	心	2_080_B	null
v8#88	G25	心	2_081_A	null
v8#88	G25	心	2_081_B	null
v8#88	G25	心	2_082_A	null
v8#88	G25	心	2_082_B	null
v8#88	G25	心	2_083_A	null
v8#88	G25	心	2_083_B	null
v8#88	G25	心	2_084_A	null
v8#88	G25	心	2_084_B	null
v8#88	G25	心	2_085_A	null
v8#88	G25	心	2_085_B	null
v8#88	G25	心	2_086_A	null
v8#88	G25	心	2_086_B	null
v8#88	G25	心	2_087_A	null
v8#88	G25	心	2_087_B	null
v8#88	G25	心	2_088_A	null
v8#88	G25	心	2_088_B	null
v8#88	G25	心	2_089_A	null
v8#88	G25	心	2_089_B	null
v8#88	G25	心	2_090_A	null
v8#88	G25	心	2_090_B	null
v8#88	G25	心	2_091_A	null
v8#88	G25	心	2_091_B	null
v8#88	G25	心	2_092_A	null
v8#88	G25	心	2_092_B	null
v8#88	G25	心	3_001_A	null
v8#88	G25	心	3_001_B	null
v8#88	G25	心	3_002_A	null
v8#88	G25	心	3_002_B	null
v8#88	G25	心	3_003_A	null
v8#88	G25	心	3_003_B	null
v8#88	G25	心	3_004_A	null
v8#88	G25	心	3_004_B	null
v8#88	G25	心	3_005_A	null
v8#88	G25	心	3_005_B	null
v8#88	G25	心	3_006_A	null
v8#88	G25	心	3_006_B	null
v8#88	G25	心	3_007_A	null
v8#89	G27	思	3_007_B	null
v8#90	G27	惢	3_007_B	null
v9#91	G27	言	3_007_B	null
v9#91	G27	言	3_008_A	null
v9#91	G27	言	3_008_B	null
v9#91	G27	言	3_009_A	null
v9#91	G27	言	3_009_B	null
v9#91	G27	言	3_010_A	null
v9#91	G27	言	3_010_B	null
v9#91	G27	言	3_011_A	null
v9#91	G27	言	3_011_B	null
v9#91	G27	言	3_012_A	null
v9#91	G27	言	3_012_B	null
v9#91	G27	言	3_013_A	null
v9#91	G27	言	3_013_B	null
v9#91	G27	言	3_014_A	null
v9#91	G27	言	3_014_B	null
v9#91	G27	言	3_015_A	null
v9#91	G27	言	3_015_B	null
v9#91	G27	言	3_016_A	null
v9#91	G27	言	3_016_B	null
v9#91	G27	言	3_017_A	null
v9#91	G27	言	3_017_B	null
v9#91	G27	言	3_018_A	null
v9#91	G27	言	3_018_B	null
v9#91	G27	言	3_019_A	null
v9#91	G27	言	3_019_B	null
v9#91	G27	言	3_020_A	null
v9#91	G27	言	3_020_B	null
v9#91	G27	言	3_021_A	null
v9#91	G27	言	3_021_B	null
v9#91	G27	言	3_022_A	null
v9#91	G27	言	3_022_B	null
v9#92	G29	誩	3_022_B	null
v9#92	G29	誩	3_023_A	null
v9#93	G29	曰	3_023_A	null
v9#93	G29	曰	3_023_B	null
v9#94	G29	乃	3_023_B	null
v9#95	G29	丂	3_023_B	null
v9#96	G29	可	3_024_A	null
v9#97	G29	兮	3_024_A	null
v9#97	G29	兮	3_024_B	null
v9#98	G29	号	3_024_B	null
v9#99	G30	于	3_024_B	null
v9#99	G30	于	3_025_A	null
v9#100	G30	云	3_025_A	null
v9#101	G30	音	3_025_A	null
v9#101	G30	音	3_025_B	null
v9#101	G30	音	3_026_A	null
v9#102	G30	告	3_026_A	null
v9#103	G30	凵	3_026_A	null
v9#104	G30	吅	3_026_A	null
v9#104	G30	吅	3_026_B	null
v9#105	G30	品	3_026_B	null
v9#105	G30	品	3_027_A	null
v9#106	G30	喿	3_027_A	null
v9#107	G30	龠	3_027_A	null
v9#107	G30	龠	3_027_B	null
v9#108	G30	册	3_027_B	null
v9#109	G30	㗊	3_027_B	null
v9#109	G30	㗊	3_028_A	null
v9#110	G30	只	3_028_A	null
v9#111	G30	㕯	3_028_B	null
v9#112	G30	欠	3_028_B	null
v9#112	G30	欠	3_029_A	null
v9#112	G30	欠	3_029_B	null
v9#112	G30	欠	3_030_A	null
v9#112	G30	欠	3_030_B	null
v9#112	G30	欠	3_031_A	null
v9#112	G30	欠	3_031_B	null
v9#112	G30	欠	3_032_A	null
v9#112	G30	欠	3_032_B	null
v9#113	G31	食	3_032_B	null
v9#113	G31	食	3_033_A	null
v9#113	G31	食	3_033_B	null
v9#113	G31	食	3_034_A	null
v9#113	G31	食	3_034_B	null
v9#113	G31	食	3_035_A	null
v9#113	G31	食	3_035_B	null
v9#113	G31	食	3_036_A	null
v9#113	G31	食	3_036_B	null
v9#113	G31	食	3_037_A	null
v9#113	G31	食	3_037_B	null
v9#114	G31	甘	3_038_A	null
v9#115	G31	旨	3_038_B	null
v9#116	G31	㳄	3_038_B	null
v9#117	G31	㚔	3_038_B	null
v9#117	G31	㚔	3_039_A	null
v9#118	G31	𠦍	3_039_A	null
v9#118	G31	𠦍	3_039_B	null
v9#119	G31	夰	3_039_B	null
v10#120	G32	彳	3_048_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/3
v10#120	G32	彳	3_048_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/4
v10#120	G32	彳	3_049_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/4
v10#120	G32	彳	3_049_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/5
v10#120	G32	彳	3_050_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/5
v10#120	G32	彳	3_050_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/6
v10#121	G32	行	3_050_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/6
v10#121	G32	行	3_051_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/6
v10#122	G32	冘	3_051_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/6
v10#123	G32	夂	3_051_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/7
v10#124	G32	久	3_051_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/7
v10#125	G32	夊	3_051_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/7
v10#125	G32	夊	3_052_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/7
v10#126	G32	舛	3_052_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/8
v10#127	G32	走	3_052_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/8
v10#127	G32	走	3_053_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/8
v10#127	G32	走	3_053_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/9
v10#127	G32	走	3_054_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/9
v10#127	G32	走	3_054_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/10
v10#127	G32	走	3_055_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/10
v10#127	G32	走	3_055_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/11
v10#127	G32	走	3_056_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/11
v10#127	G32	走	3_056_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/12
v10#127	G32	走	3_057_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/12
v10#128	G33	辵	3_040_A	null
v10#128	G33	辵	3_040_B	null
v10#128	G33	辵	3_041_A	null
v10#128	G33	辵	3_041_B	null
v10#128	G33	辵	3_042_A	null
v10#128	G33	辵	3_042_B	null
v10#128	G33	辵	3_043_A	null
v10#128	G33	辵	3_043_B	null
v10#128	G33	辵	3_044_A	null
v10#128	G33	辵	3_044_B	null
v10#128	G33	辵	3_045_A	null
v10#128	G33	辵	3_045_B	null
v10#128	G33	辵	3_046_A	null
v10#128	G33	辵	3_046_B	null
v10#128	G33	辵	3_047_A	null
v10#128	G33	辵	3_047_B	null
v10#129	G34	廴	3_057_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/13
v10#130	G34	癶	3_057_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/13
v10#130	G34	癶	3_058_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/13
v10#131	G34	歩	3_058_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/13
v10#132	G34	止	3_058_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/13
v10#132	G34	止	3_058_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/14
v10#132	G34	止	3_059_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/14
v10#133	G34	處	3_059_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/14
v10#133	G34	處	3_059_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/15
v10#134	G34	立	3_059_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/15
v10#134	G34	立	3_060_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/15
v10#134	G34	立	3_060_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/16
v10#134	G34	立	3_061_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/16
v10#135	G34	竝	3_061_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/16
v10#136	G34	此	3_061_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/16
v10#137	G34	正	3_061_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/17
v10#138	G34	是	3_061_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/17
v11#139	G35	宀	3_062_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/17
v11#139	G35	宀	3_062_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/18
v11#139	G35	宀	3_063_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/18
v11#139	G35	宀	3_063_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/19
v11#139	G35	宀	3_064_A	http://dl.ndl.go.jp/info:ndljp/pid/1243006/19
v11#139	G35	宀	3_064_B	http://dl.ndl.go.jp/info:ndljp/pid/1243006/20
