#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   KTB: Kosanjibon Tenrei Bansho Meigi database -- Full text version
#   =================================================================
#
#   Kosanjibon Tenrei bansho meigi 篆隸萬象名義, Kosanji copy 高山寺本.
#   Buddhist monk Kukai of the Heian period 空海, c. 827-835.
#   A Hanzi (Chinese character) dictionary.
#
#   Version: 1.0.112
#   Date published: 1 September 2016
#   Last modified: 6 April 2019
#
#   Copyright (c) 2016-2019 HDIC project, IKEDA Shoju (Chair)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#   North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#   Contact: hdic_info@let.hokudai.ac.jp
#
#   Feel free to copy and distribute.
#   Send bug reports and feature requests via email.
#
#   TSV Format information
#   ----------------------
#   TBID (v_www_xyz)          Book(v), leaf(www), recto-verso(x), line(y) and number(z)
#   TB_vol_radical (xx#yyy)   Volume(xx) and radical number(yyy)
#   TB_radical                Radical of Chinese character 
#   Entry                     Headword
#   Entry_type                For details, refer to the following section
#   Entry_diff                Differences of transliteration with other scholars
#   TB_def                    Definition of pronunciation, meaning and variant(s)
#   SYID (vwwwxyyz)           Book(v), leaf(www), recto-verso(x), line(yy) and number(z)
#   YYID (Ywwxxxyyy-z)        Volume(ww), leaf(xxx), line(yyy) and number(z)
#   TB_remarks                Editor's notes
#
#   Entry_type
#   ----------
#   Group a   --- Regular headword
#   1 Regular                 隸書掲出字 (= Regular_clerical)
#   2 Regular_seal            隸書掲出字 篆書併存
#
#   Group b -- Embedded headword
#   3 Embedded_clerical       埋字 隸書字體
#   4 Embedded_omitted        埋字 脫落
#   5 Embedded_seal           埋字 篆書字體
#
#   Group c -- Omitted headword
#   6 Omitted                 脫字 項目全體 脫落
#   7 Omitted_regular         脫字 隸書掲出字 脫落
#
#   Group d -- Variant of the Songben Yupian
#   8 Songben-Yupian          宋本《玉篇》增補之異體字
#
#   cf. Li 2015.
#   ＊6 Omitted               項目全體脱落
#                            《説文解字》、《玉篇》殘卷・佚文、《新撰字鏡》玉篇引用部分等、本文存
#
#   Abbreviations
#   -------------
#   TB: Tenrei Bansho Meigi 篆隸萬象名義, Kosanji copy 高山寺本
#   YY: Yuanben Yupian 原本玉篇, fragments of vol.8, 9, 18, 19, 22, 24 and 27
#   SY: Songben Yupian 宋本玉篇, Zecuntang edition 澤存堂本
#
#   白: Shirafuji's transliteration 
#   宮: Miyazawa's transliteration
#   上: Ueda's transliteration
#   呂: Lv's transliteration
#
#   References
#   ----------
#   Shirafuji Noriyuki 白藤禮幸, An Index of Headwords in the Tenrei Bansho Meigi 掲出字索引, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: Uiversity of Tokyo Press 東京大学出版会, 1977.
#   Miyazawa Toshimasa 宮澤俊雅, A List of Headwords with Notes in the Tenrei Bansho Meigi 掲出字一覽表, Materials from Ancient Glossaries in the Kosanji Temple Collection 1 高山寺古辭書資料第一, Tokyo: University of Tokyo Press 東京大学出版会, 1977.
#   Ueda Tadashi 上田正, A Complete List of Fanqie in the Original Yupian 玉篇反切總覽, Kobe: Private edition, 1986.
#   Lv Hao 呂浩, Zhuanli Wanxiang Mingyi: A Transliteration and Text-critical Notes 篆隸萬象名義校釋, Shanghai: Xuelin Press 學林出版社, 2007.
#   Li Yuan 李媛, Embedded and Omitted Headword: Issues Regarding Entry Counts in Tenrei-Bansho-Meigi 埋字と脫字―篆隸象名義の掲出字數をめぐる問題―, Kuntengo to Kunten-Shiryo 訓點語と訓點資料 135: 60-78, 2015.
#
#   Acknowledgments
#   ---------------
#   We are grateful to Kosanji Temple authorities Ogawa Chie (the previous chief priest) and Ishizuka Harumichi (the representative director) for permission to publish the decipherment text of KTB.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
TBID	TB_vol_radical	TB_radical	Entry	Entry_type	Entry_diff	TB_def	SYID	YYID	TB_remarks
1_017_A22	v1#3	示	齋	Regular_seal		側階反。洗心曰齋、防患曰戒、敬也、㽵(莊)也。〔𥜷：古文。〕〔𪗒：齋文也。〕	a006a101		有埋字Bニ字。
1_017_A23	v1#3	示	𥜷	Embedded_clerical		𥜷：古文。	a006a102		埋字B。
1_017_A24	v1#3	示	𪗒	Embedded_clerical		𪗒：齋文也。			埋字B。掲出字：原作⿰⿱⿰丿示⿵冂示⿱巛真。齋：呂作籀。
1_017_A31	v1#3	示	祕	Regular_seal		鄙冀反。神也、視也、勞也、察也。	a006b001		
1_017_A32	v1#3	示	祗	Regular_seal		諸時反。敬也。〔祗β：古文。〕	a006b002		有埋字B。
1_017_A33	v1#3	示	祗β	Embedded_clerical		祗β：古文。			埋字B。宮澤無此字。祇β：原作⿰⿱水幵⿱入⿰｜𡿨。
1_017_A41	v1#3	示	祭	Regular_seal		子裔反。察也、至也、薦也、享也、祀也。〔祭λ：古文。〕	a006b013		有埋字B。裔：原文似𧜟。
1_017_A411	v1#3	示	祭λ	Embedded_clerical		祭λ：古文。			埋字B。祭λ：呂作⿰月𡭕、臧作䏡。
1_017_A43	v1#3	示	祀	Regular_seal		徐理反。祭也、歳也。〔裸衣(禩β)：上文。〕〔䃾：俾利反。〕〔又祼大(禩γ)。〕	a006b022		有埋字A・B。裸衣(禩β)、祼大(禩γ):一字誤作二字歟。祼大(禩γ)。
1_017_A44	v1#3	示	禩	Embedded_clerical		裸衣(禩β)：上文。	a006b023		埋字B(禩β)。裸衣：禩之誤。
1_017_A45	v1#3	示	䃾	Embedded_clerical		䃾：俾利反。	a006b021		埋字A。次項同。宮澤無△印。
1_017_A46	v1#3	示	禩	Embedded_clerical		裸大(禩γ)：上文。	a006b023		埋字B(禩γ)。裸大：禩之誤。
1_017_A51	v1#3	示	䃾	Regular_seal		俾利反。祭伺命名也。	△(a006b021)		伺：當作祠。
1_017_A52	v1#3	示	祏	Regular_seal		殊亦反。宗廟以石為主也。	a006b024		
1_017_A61	v1#3	示	禋	Regular_seal		於神反。燎柴、祭也、敬也。〔𥛛：古文。〕	a006b025		有埋字B。
1_017_A62	v1#3	示	𥛛	Embedded_clerical		𥛛：古文。	a006b031		埋字B。
1_017_A62-Shirafuji	v1#3	示	𡫚	Regular	白		a006b031		
1_017_A63	v1#3	示	祡	Regular_seal		仕佳反。祭天曰焚祡也。〔柴：仕佳反。燔。〕〔𥚨：柴文。〕	a006b032		有埋字A・B。柴文：呂按「即指柴字又作𥚨」。
1_017_A631	v1#3	示	柴	Embedded_clerical		柴：仕佳反。燔。	▽		埋字A。
1_017_A64	v1#3	示	𥚨	Embedded_clerical		𥚨：祡文。	a006b033		埋字B。
1_017_B11	v1#3	示	祖	Regular_seal		子魯反。始也、轉也、居也、上也、揺也、本也、解也、法也。	a006b041		
1_017_B12	v1#3	示	祊	Regular_seal		補衡反。門祭也。〔𥛱：上文。〕〔𥛻：上文。〕	a006b043		有埋字B二字。
1_017_B13	v1#3	示	𥛱	Embedded_clerical		𥛱：上文。	a006b042		埋字B。
1_017_B14	v1#3	示	𥛻	Embedded_clerical		𥛻：上文。	△		埋字B。
1_017_B14-Shirafuji	v1#3	示	𥚧	Regular	白		△		
1_017_B21	v1#3	示	祠	Regular_seal		似滋反。食也、祭也、嗣也。	a006b044		
1_017_B22	v1#3	示	礿	Regular_seal		餘灼反。夏祭也。〔禴：上文。〕	a006b051		有埋字B。
1_017_B23	v1#3	示	禴	Embedded_clerical		禴：上文。	a006b052		埋字B。
1_017_B23-Shirafuji	v1#3	示	𧆆	Regular	白		a006b052		
1_017_B31	v1#3	示	祫	Regular_seal		衡夾反。大祭大祖也。	a006b053		
1_017_B32	v1#3	示	禘	Regular_seal		徒計反。大祭。〔禘β：古文。〕	a006b054		有埋字B。
1_017_B321	v1#3	示	禘β	Embedded_clerical		禘β：古文。			埋字B。禘β：呂作祶。
1_017_B41	v1#3	示	祜	Regular_seal		胡古反。福也、厚也、乱也。	a006b055		
1_017_B42	v1#3	示	禧	Regular_seal		虚之反。福也、吉也。	a006b062		
1_017_B51	v1#3	示	祐	Regular_seal		胡救反。助也、從也、信也。〔𨳾：古文。〕作佑字。	a006b063		有埋字B。
1_017_B511	v1#3	示	𨳾	Embedded_clerical		𨳾：古文。			埋字B。𨳾：據呂《校釋》。佑：原作估。
1_017_B52	v1#3	示	祺	Regular_seal		勤基反。祥也、吉也。〔祺β(seal)・禥：上文。〕	a006b064		有埋字B二字。祺β：篆書字形。
1_017_B53	v1#3	示	禥	Embedded_clerical		禥：上文。	a006b071		埋字B。
1_017_B61	v1#3	示	福	Regular_seal		甫伏反。昨也、羸也。〔福λ：古文。〕五福：一壽、二富、三康寧、四彼徳、五孝終命、鬼神所祐也、三人道所吉、又二天所貴二。	a006b061		有埋字B。注文上下二段。昨：當作胙。
1_017_B611	v1#3	示	福λ	Embedded_clerical		福λ：古文。			埋字B。掲出字：臧作𤔜。
1_018_A11	v1#3	示	祿	Regular_seal		旅穀反。福也、録也。〔祿β：古文。〕	a006b072		有埋字B。
1_018_A111	v1#3	示	祿β	Embedded_seal		祿β：古文。			埋字B。篆書字形。
1_018_A12	v1#3	示	禛	Regular_seal		之仁反。以真受福也。	a006b073		
1_018_A21	v1#3	示	祉	Regular_seal		勅理反。福也、禄也。	a006b074		
1_018_A22	v1#3	示	禔	Regular_seal		之移反。福也、祚也、喜也、安也、善也。	a006b075		
1_018_A31	v1#3	示	祥	Regular_seal		似陽反。善也、象也、吉也、告也、恠也。〔祥β：古文。〕	a006b081		有埋字B。
1_018_A311	v1#3	示	祥β	Embedded_clerical		祥β：古文。			埋字B。祥β：原作⿱⿰入入⿱干勿、呂作⿰羊示。似𢒑字。
1_018_A32	v1#3	示	禎	Regular_seal		忠平反。祥也、善也。	a006b082		
1_018_A41	v1#3	示	禨	Regular_seal		居依反。祥也。又〔禠：思離反。福也。〕	a006b084		有埋字A。次項同。
1_018_A42	v1#3	示	禠	Embedded_clerical		禠：思離反。福也。	△(a006b083)		埋字A、参看次項。掲出字：原作⿰礻𧆞。
1_018_A43	v1#3	示	禠	Regular_seal		思離反。福也。	a006b083		掲出字：原作⿰礻⿸𠂆⿱冖巾。
1_018_A51	v1#3	示	祪	Regular_seal		居毀反。祖也、廣也。	a006b085		廣：當作庿。
1_018_A52	v1#3	示	禰	Regular_seal		那礼反。祢也、父庿也。	a006b086		
1_018_A61	v1#3	示	祰	Regular_seal		口老公篤二反。禱也、吉祭也。	a006b092		吉：當作告。
1_018_A62	v1#3	示	祼	Regular_seal		古換反。灌也。〔祼β：古文。〕	a006b093		有埋字B。
1_018_A621	v1#3	示	祼β	Embedded_seal		祼β：古文。			埋字B。篆書字形。掲出字：呂作𥚌。
1_018_B11	v1#3	示	祝	Regular		之育反。断也、織也、属也、融也、纉也。	a006b095		
1_018_B12	v1#3	示	祈	Regular		渠依反。禱也、求也、報也、告也、叫也。	a006b096		
1_018_B21	v1#3	示	禷	Regular		力季反。禡祀神也。	a006b101		
1_018_B22	v1#3	示	禱	Regular_seal		都道反。請也、謝也。〔又作𥜹。〕〔又作𥛇。〕	a006b102		篆書掲出字三字有埋字B二字。據宮澤。
1_018_B23	v1#3	示	𥜹	Embedded_clerical		又作𥜹。	a006b103		埋字B。
1_018_B24	v1#3	示	𥛇	Embedded_clerical		又作𥛇。	a006b104		埋字B。
1_018_B31	v1#3	示	䄟	Regular		齒芮反。謝也、重禱也。	a006b105		
1_018_B32	v1#3	示	禮	Regular_seal		力底反。履也、理也。〔豊：古文。〕〔𠃞：古文。〕〔礼：上文。〕	a007a011		有埋字B三字。篆書掲出字二字禮和其重文。
1_018_B321	v1#3	示	豊	Embedded_clerical		豊：古文。	△		埋字B。
1_018_B322	v1#3	示	𠃞	Embedded_clerical		𠃞：古文。	△		埋字B。
1_018_B33	v1#3	示	礼	Embedded_clerical		礼：上文。	a007a012		埋字B。
1_018_B41	v1#3	示	祔	Regular		扶賦反。属也、祖。	a007a013		
1_018_B42	v1#3	示	𥛅	Regular		徐留反。祝𥛅也。〔袖：古文。〕	a007a014		有埋字B。
1_018_B43	v1#3	示	䄂	Embedded_clerical		䄂：古文。	a006b094		埋字B。
1_018_B51	v1#3	示	禖	Regular		莫荄反。吉祥也。	a007a022		
1_018_B52	v1#3	示	禪	Regular		時戰反。傳也、定也、闡也。	a007a023		
1_018_B61	v1#3	示	禜	Regular		胡命反。祭星也、營也、災不生也。	a007a024		
1_018_B62	v1#3	示	䄆	Regular		胡栝反。祠也、法也、謝也。	a007a025		
1_019_A11	v1#3	示	禳	Regular		讓章反。謝也、衆也、多也。	a007a031		
1_019_A12	v1#3	示	禬	Regular		胡憒胡鱠二反。除也、刮去也。	a007a032		
1_019_A21	v1#3	示	禕	Regular		於宜反。美也、美盛也。	a007a033		
1_019_A22	v1#3	示	禦	Regular		魚擧反。禁也、當也、侮也、止、應也、祠也。	a007a034		
1_019_A31	v1#3	示	祓	Regular		甫物反、甫穢二反。掃除也、福也、潔也。	a007b095		
1_019_A32	v1#3	示	祴	Regular		古来反。戒也、祴。	a007a035		
1_019_A321	v1#3	示	禶	Songben-Yupian		#	a007a041		
1_019_A322	v1#3	示	𥜲	Songben-Yupian		#	a007a042		
1_019_A41	v1#3	示	禡	Regular		莫賀反。師祭也。	a007a043		
1_019_A42	v1#3	示	社	Regular		時野反。封也、母也、稷也。〔𥙲：古文。〕	a007a015		有埋字B。
1_019_A43	v1#3	示	𥙲	Embedded_clerical		𥙲：古文。	a007a021		埋字B。
1_019_A51	v1#3	示	祳	Regular		時軫反。祭社稷之肉也。	a007a044		
1_019_A52	v1#3	示	祚	Regular		伹故反。報也、位也、禄也、福也。祚β。	a007a051		祚β：疑當為埋字B歟。
1_019_A61	v1#3	示	祾	Regular		力矜反。祭也、福也。	a007a045		
1_019_A62	v1#3	示	祱	Regular		始鋭反。祭也。〔祽：力内反。月祭也。〕	a007a052		有埋字A。次項同。
1_019_A63	v1#3	示	祽	Embedded_clerical		祽：子内反。月祭也。	△(a007a053)		埋字A。次項同。
1_019_B11	v1#3	示	祽	Regular_seal		子内反。月祭也。	a007a053		
1_019_B12	v1#3	示	䄛	Regular_seal		力侯反。八月祭也。	a007a054		
1_019_B21	v1#3	示	䄍	Regular_seal		仕駕反。祭也、索也、祭臘。	a007a061		
1_019_B22	v1#3	示	禂	Regular_seal		都道[反]。禱也、馬祭也。	a007a062		
1_019_B31	v1#3	示	䄚	Regular_seal		似勞反。祭也。	a007b084		
1_019_B32	v1#3	示	祧	Regular_seal		吐堯反。遠祖之廟也。〔𥜔：古文。祧字。〕	a007a063		有埋字B。
1_019_B321	v1#3	示	𥜔	Embedded_clerical		𥜔：古文。祧字。	a007a064		埋字B。
1_019_B33	v1#3	示	𥜔	Embedded_clerical		𥜔：古文。	a007a064		埋字B。
1_019_B41	v1#3	示	禊	Regular_seal		何計反。祓除也、三月三日祭名。	a007a072		
1_019_B42	v1#3	示	禓	Regular_seal		舒章反。道上祭也、逐強鬼也。	a007a065		
1_019_B42-Shirafuji	v1#3	示	𥛙	Regular	白		a007a065		
1_019_B51	v1#3	示	祲	Regular_seal		子鴿反。妭氣也。	a007a071		
1_019_B52	v1#3	示	𥚩	Regular_seal		使旅反。祠神米也。作糈字。	a007a083		作糈字：《新撰字鏡》為義注字。
1_019_B61	v1#3	示	禍	Regular_seal		胡果反。害也、神不福也。	a007a081		
1_019_B611	v1#3	示	𥙯	Songben-Yupian		#	a007a082		
1_019_B62	v1#3	示	祟	Regular_seal		思遂反。神禍也。〔𥜱：同文。〕	a007a091		有埋字B。
1_019_B63	v1#3	示	𥜱	Embedded_clerical		𥜱：同文。	a007a092		埋字B。
1_020_A11	v1#3	示	祙	Regular_seal		靡愧反。魅字也。	a007a094		
1_020_A12	v1#3	示	𥛜	Regular_seal		側據反。詛也。	a007a093		詛也：《新撰字鏡》疑作字體注。
1_020_A21	v1#3	示	禁	Regular_seal		記林反。制也、謹也、止也。	a007a095		
1_020_A22	v1#3	示	䄏	Regular_seal		於驕反。殀、害物也。〔祅：同上。〕	▽		有埋字B。
1_020_A23	v1#3	示	祅	Embedded_clerical		祅：同上。	a007a101		埋字B。
1_020_A31	v1#3	示	禫	Regular_seal		徒感反。祭名。	a007a102		
1_020_A32	v1#3	示	禲	Regular_seal		力滯反。鬼也、疫也。作㾐。	a007a096		
1_020_A41	v1#3	示	祩	Regular_seal		丈瑜反。詛也。	a007a103		
1_020_A42	v1#3	示	䄤	Regular_seal		力帶反。堕壊也。	a007b011		
1_020_A51	v1#3	示	祤	Regular_seal		于矩反。縣名。	a007b012		
1_020_A52	v1#3	示	䄐	Regular_seal		丘弁反。祠也。	a007b013		
1_020_A61	v1#3	示	䄌	Regular_seal		竹芮反。祭也。	a007b014		
1_020_A62	v1#3	示	𥜦	Regular_seal		思踐反。煞也。〔𥙮：同上。〕	▽		有埋字B。
1_020_A63	v1#3	示	𥙮	Embedded_clerical		𥙮：同上。	a007b015		埋字B。𥙮：呂按「𥙮字原訛」。
1_020_B11	v1#3	示	禉	Regular_seal		翼九反。祭天柴也。	a007b041		
1_020_B12	v1#3	示	𥛳	Regular_seal		欣居反。耗鬼也。	a007b043		
1_020_B21	v1#3	示	䄃	Regular_seal		於𡑆反。禍也、凶也、咎也、敗也。	a007b021		
1_020_B22	v1#3	示	礽	Regular_seal		如承反。仍字也。就也、因也、數也、重也、厚也。	a007b022		
1_020_B31	v1#3	示	𥛲	Regular_seal		咨肖反。醮也、祭酒酬酢也。	a007b023		醮也：宋本《玉篇》字体注。
1_020_B32	v1#3	示	𥛰	Regular_seal		力弔反。柴。尞、祭天也。	a007b024		
1_020_B41	v1#3	示	䄉	Regular_seal		我多反。好也。為娥字。	a007b025		為娥字：《新撰字鏡》為義注字。
1_020_B42	v1#3	示	𥙰	Regular_seal		時柳反。久也。壽字也。〔𥙰β(空白)：古文。〕〔𥙰γ(seal)：古文。〕〔𥙰δ(空白)：古文。〕	a007b032		有埋字B三字。掲出字：原作𡎺、呂同作。
1_020_B421	v1#3	示	𥙰β	Embedded-omitted		𥙰β(空白)：古文。			埋字B。
1_020_B422	v1#3	示	𥙰γ	Embedded_seal		𥙰γ(seal)：古文。			埋字B。篆書字形。
1_020_B423	v1#3	示	𥙰δ	Embedded-omitted		𥙰δ(空白)：古文。			埋字B。
1_020_B51	v1#3	示	𥜃	Regular_seal		以石反。䭞字也。祭之明日也。	a007b031		䭞字也：《新撰字鏡》為義注字。
1_020_B52	v1#3	示	禗	Regular_seal		息慈反。不安欲去之意也。	a007b033		
1_020_B61	v1#3	示	祘	Regular_seal		蘇換反。筭字、古文也。	a007b034		筭字、古文也：说文「明視以筭之。从二示。《逸周書》曰：“士分民之祘。均分以祘之也。”讀若筭。蘇貫切」。G01尾
1_021_A31	v1#4	二	二	Regular_seal		耳異反。〔𢛢：恒字。常也。〕	a007b101		有埋字A。G02首。
1_021_A311	v1#4	二	弍	Omitted		Omitted	a007b102		
1_021_A32	v1#4	二	𢛢	Embedded_clerical		𢛢：恒字。常也。	a007b104		埋字A。
1_021_A33	v1#4	二	恒	Regular_seal		何登反。久也、猛也、常也。〔𠄨：古文。〕〔恒β：同上。〕〔𠄢：求宣也。〕	a007b103		有埋字A一字和埋字B二字。
1_021_A331	v1#4	二	𠄨	Embedded_clerical		𠄨：古文。	a008a011		埋字B。
1_021_A332	v1#4	二	恒β	Embedded_clerical		恒β：同上。			埋字B。
1_021_A333	v1#4	二	𠄢	Embedded_clerical		𠄢：求宣也。	a008a012		埋字A。
1_021_A34	v1#4	二	𠄨	Embedded_clerical		𠄨：古文。	a008a011		埋字B。
