# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本. 
# anonymous Buddhist monk, the latter half of the 12th century.
#
# Version: 1.1.302
# Date: 11 March 2022
# Last update : 2 June 2024
#
# Copyright (c) 2022-2024 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# KRM Format information:
#   KRID_n            Item serial number
#   KRID_sn           Entry serial number
#   KR2ID             Kazama edition item ID number, K, Book(ww), page(xxx),line(y) and column(zz), in the case of plural items appeared in column, entry rankings are also recorded as 1,2,…,n.
#   KRID              Kazama edition entry ID number, K, Book(ww), page(xxx),line(y) and column(zz), in occasion of the headword with single character form, entry ranking is recorded as 0. While, in occasion of the headword with plural character form, entry rankings are recorded as 1,2,…,n. Moreover, in the case of plural items appeared in column, entry rankings are also recorded as 1,2,…,n.
#   KR_Tenri_p        Tenri editon item ID number, T, volume(a/b/c), page(xxx),line(y) and column(zz)
#   KR_vol_name       Volume name, from 仏上 to 僧下
#   KR_radical        Radical name, from 人 to 雑
#   KR_vol_radical    Volune and radical number, from v1#1(第1帖第1) to v10#120(第10帖第120)
#   Entry             Headword
#   Entry_original    Original character form
#   Def               Definition of pronunciation, meaning and variant(s)
#   Remarks           Editor's notes
#
#   Abbreviations:
#   正宗索引: 正宗敦夫編『類聚名義抄 仮名索引』日本古典全集刊行会，1939-1940
#   望月和訓集成: 望月郁子編『類聚名義抄：四種声点付和訓集成』(笠間索引叢刊44)笠間書院，1974
#   草川和訓集成: 草川昇編『五本対照類聚名義抄和訓集成』汲古書院，2000
#   西端誤写考察: 西端幸雄「類聚名義抄における誤写の考察」『訓点語と訓点資料』45，1971
#   西端誤写諸例: 西端幸雄「類聚名義抄における誤写の諸例」『訓点語と訓点資料』52，1973
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500.
#
KRID_n	KRID_sn	KR2ID	KRID	KR_Tenri_p	KR_vol_name	KR_radical	KR_vol_radical	Entry	Entry_original	Def	Remarks
F00018	S00033	K0100181	K01001811	Ta023811	仏上	人	v1#1	仿／佛	〇／〇	ホノカナリ　上芳往反　*ホノカナリ　ヲホツカナシ　ナラフ　カタヒク　イカル　下音費	高山寺本の記載法、「佛」の熟字訓の後に「仿ー」とあり「乱暴な遣り方」。岡田研究186頁。
F00019	S00035	K0100184	K01001840	Ta023840	仏上	人	v1#1	㑂	〇	或作髣正	
F00020	S00036	K0100211	K01002111	Ta024111	仏上	人	v1#1	仿／像	〇／〇	ホノカナリ　下在下	
F00021	S00038	K0100212	K01002120	Ta024120	仏上	人	v1#1	㐻	〇	内(R)「タイ」納二音	
F00022	S00039	K0100213	K01002130	Ta024130	仏上	人	v1#1	僧	〇	蘇曽(F)反　カハラク(HHHL")　ネムコロ　サトル　和音ソウ(LL-N)	「カハラク」、蓮成院本「ヤハラク」、高山寺本「ヤハラク(HHHS")」。正宗索引「カハラク」に「ヤハラクの誤か」、「やはらぐ」に「カハラクを訂す」。西端幸誤写諸例36頁①誤字203。
F00023	S00040	K0100221	K01002210	Ta024210	仏上	人	v1#1	傮	〇	遭(L)「サウ」曹(L)「サウ」二音　終也	
F00024	S00041	K0100222	K01002220	Ta024220	仏上	人	v1#1	⿰亻胃	〇	音謂(R)「ヰ」　胃也　サソフ	
F00025	S00042	K0100223	K01002230	Ta024230	仏上	人	v1#1	倡	〇	音昌(H)　ウタヽヽヒ(HH@@L)　ウタメ　ウタフ　イサナウ(LL"@@)　アソフ　マフ　ワサウタ(HH"@@)	
F00026	S00043	K0100231	K01002311	Ta024311	仏上	人	v1#1	ー（倡）／導	〇／〇	イサナヒミチヒク(LL"HH@@@@)	原文「イサナヒ(改行)ミチヒク」。正宗索引補正「イサナヒ」に「下のミチヒクにつゞくか」。蓮成院本「ー導　イサナヒミチヒク」と一行に書写。観智院本と高山寺本は「イサナヒ」と「ミチヒク」に分離して書写。西端誤写考察48-49頁。望月和訓集成「イサナヒ」で採録、草川和訓集成「イサナヒミチヒク」で採録。漢書・王莽伝「倡導在位」。
F00027	S00045	K0100232	K01002321	Ta024321	仏上	人	v1#1	ー（倡）／女	〇／〇	ウタメ	
F00028	S00047	K0100233	K01002330	Ta024330	仏上	人	v1#1	侶	〇	音呂(H)　トモ(HH)　トモカラ　和音リヨ(HH)又ロ	
F00029	S00048	K0100241	K01002410	Ta024410	仏上	人	v1#1	㐰	〇	古文信字　マコト	
F00030	S00049	K0100242	K01002420	Ta024420	仏上	人	v1#1	伿	〇	音易(R)　コヽロ　モノウシ　憤也	
F00031	S00050	K0100243	K01002430	Ta024430	仏上	人	v1#1	佋	〇	音韶「セウ」　テラス　カロヽヽシ　〻動廟尊卑之次也	
F00032	S00051	K0100251	K01002511	Ta024511	仏上	人	v1#1	偘／侃	〇／〇	上俗下正　詳視也　空旱(H)反　強直也　𥬇〻　音看(L)之去聲　又苦寒(L)反　如也　正也　大也　タヽ　ノトモ　	西端誤写考察40頁に考証あり。「大也」は「太也」の誤写か。
F00033	S00053	K0100261	K01002610	Ta024610	仏上	人	v1#1	仁	〇	音人(L")「ニン」「シム」　キミ(HH)　ナムチ(HHH")　ヒト(HL)　ウツクシフ(LL@@@)　メクム　ムツマシ　ヨシ　ヨロコフ　ユルス　シノフ　タフトシ	
F00034	S00054	K0100264	K01002641	Ta024641	仏上	人	v1#1	不／ー（仁）	〇／〇	カタネ(LLL)　アシタヽス(LLLHL")	
F00035	S00056	K0100271	K01002710	Ta024710	仏上	人	v1#1	仜	〇	音紅(L)　肥也	
F00036	S00057	K0100272	K01002720	Ta024720	仏上	人	v1#1	〓	〇	未詳	
F00037	S00058	K0100273	K01002730	Ta024730	仏上	人	v1#1	仕	〇	音士　ツカフ(HHL)　ツカマツル(HL@@@)　ミヤツカヘ　ツモム	
F00038	S00059	K0100281	K01002810	Ta024810	仏上	人	v1#1	任	〇	音壬(L")「シム」「ニム」　タヘタリ(LR@@、ヘ-フ)　ヲホキナリ(LLHLL)　マカス(LLL)　マヽ(H@)　ホシイマヽ(LLH@@)　タモツ(HHL)　ハラム(LLH)　アタル(HH@)　タツ　ヒテ　ヲフ(L@)　マサ　モチイテ　イタク　アツ　又去声	
F00039	S00060	K0100311	K01003110	Ta025110	仏上	人	v1#1	俇	〇	渠往反　遠行〻	
F00040	S00061	K0100312	K01003120	Ta025120	仏上	人	v1#1	住	〇	雉具反　スム(LH)　ハシム　タツ　和地音(L)	
F00041	S00062	K0100313	K01003130	Ta025130	仏上	人	v1#1	𠌃	〇	スミカ　トヽマル(HH"@@)　タハフル　タマフ　ツク	
F00042	S00063	K0100321	K01003210	Ta025210	仏上	人	v1#1	佳	〇	音家(L)　ヨシ　ヲホイナリ　カス　ミナ　フカシ　フサヌ　和クヱ(LH)　ケイ(LH)	「カス」、蓮成院本「ヤスシ」高山寺本「カスシ」。正宗索引「カス」に「やすしカ」、「やすし」に「底本カス、高山寺本今カスシと見ゆ。ヤスシの誤か、字鏡集ヤスシとあり」。草川和訓集成「カス」「ヤスシ」で立項。西端誤写諸例36頁①誤字184。
F00043	S00064	K0100323	K01003230	Ta025230	仏上	人	v1#1	位	〇	胡愧反　クラヰ　イカタ(HHH)　鑄器　タヽ　ヒラ　ヨシ　和ヰ(L)	
F00044	S00065	K0100331	K01003311	Ta025311	仏上	人	v1#1	版／ー（位）	■／〇	◎版「ヘム」　シルシノキ(HH@@@)	
F00045	S00067	K0100332	K01003320	Ta025320	仏上	人	v1#1	倚	倚	音猗(H)「イ」　ヨル(H@)　ヨリタテリ　タノム(LLH)　カタフタ　ヨセタツ　ヨリイル　ヒヽム　ヨリフス	「ヒヽム」は「ヨヽム」の誤り。
F00046	S00068	K0100341	K01003411	Ta025411	仏上	人	v1#1	徒／ー（倚）	〇／〇	タヽスム(LHH"L)　ヨロホフ	
F00047	S00070	K0100342	K01003421	Ta025421	仏上	人	v1#1	ー（倚）／子	〇／〇	イシ	
F00048	S00072	K0100343	K01003430	Ta025430	仏上	人	v1#1	倍	〇	薄乃(H")「タイ」反　マサル-ス(@@L-@)　マスヽヽ　ソムク(LLH)　ヘク(LH")　イカタ　イハフ　ハムヘリ　ツカフ　アト　イラヽヽ　*アツヽカへ　マヽ　和ハイ(@R)　ヘ　ソムク	
F00049	S00073	K0100352	K01003521	Ta025521	仏上	人	v1#1	ー（倍）／羅／麼	〇／〇／〇	ホロノハ　鳥棭羽	
F00050	S00076	K0100353	K01003530	Ta025530	仏上	人	v1#1	佞	侒	音濘(R)　ヘツラフ　カタマシ(マ-ム)　ミタリカハシ　オコツル　アサムク　イツハル	
F00051	S00077	K0100361	K01003611	Ta025611	仏上	人	v1#1	佞／倿	⿰亻⿱亠女／〇	二俗	
F00052	S00079	K0100362	K01003620	Ta025620	仏上	人	v1#1	偣	〇	俗懕字　於占反　靜也	
F00053	S00080	K0100363	K01003630	Ta025630	仏上	人	v1#1	億	〇	音憶「ヨク」　ヲク　十万　ヲモフ　ヲモハカル　カナラス	
F00054	S00081	K0100371	K01003710	Ta025710	仏上	人	v1#1	僮	〇	音童(R")　ヤツカレ　ヤツコ　ワラへ(LL@)　カタイナシ　ツカヒ人　ツク　マツ	
F00055	S00082	K0100373	K01003731	Ta025731	仏上	人	v1#1	停／ー（僮）	〇／〇	マトヤカナリ(LLHL@@)　上音庭　トヽマル(HH"@@、マ-ム)　トヽコホル　ヤム　ヤスム　ヤトル　ヒトシ　ツヽヰル	
F00056	S00084	K0100381	K01003810	Ta025810	仏上	人	v1#1	⿰亻享	〇	俗停字	
F00057	S00085	K0100382	K01003820	Ta025820	仏上	人	v1#1	傍	〇	音房(L)　カタハラ(LL@@)　ソフ(HL)　カタヽヽ(HH@@)　ソハ　アマネシ-ク　チカシ　ホトリ　ナラフ　ヨル　ツク	
F00058	S00086	K0100411	K01004111	Ta026111	仏上	人	v1#1	傍／偟	〇／〇	ーートタチモトホル(@@HHLHL)	
F00059	S00088	K0100412	K01004121	Ta026121	仏上	人	v1#1	仿／ー（偟）	〇／〇	同　下音皇　タチモトホル　*タチマチ　ホトコス	
F00060	S00090	K0100414	K01004140	Ta026140	仏上	人	v1#1	偙	〇	音帝　催問	
F00061	S00091	K0100421	K01004211	Ta026211	仏上	人	v1#1	㒒／僕	〇／〇	上俗下正　ヤツカレ(LHHL)　ヤツコ　ロレ(HH、ロ-ワ)　ツカフ　ツク　ユルナリ　蒲木反　ツフネ　マツ　マメス　和ホク(N@)　	
F00062	S00093	K01004241	K01004241	Ta026241	仏上	人	v1#1	僕β	〇	俗　俗	
F00063	S00094	K01004242	K01004242	Ta026242	仏上	人	v1#1	僕γ	〇	或	
F00064	S00095	K0100431	K01004310	Ta026310	仏上	人	v1#1	僕δ	〇	正	
F00065	S00096	K0100432	K01004320	Ta026320	仏上	人	v1#1	栠	⿰亻⿱七木	女懍リム反　弱也	
F00066	S00097	K0100433	K01004330	Ta026330	仏上	人	v1#1	𡜟	倭	俗妊字	
F00067	S00098	K0100434	K01004340	Ta026340	仏上	人	v1#1	⿰亻⿱壬下	〇	俗弄字	
F00068	S00099	K0100441	K01004410	Ta026410	仏上	人	v1#1	𡔟	⿰亻儿𡈼	皮水反	
F00069	S00100	K0100442	K01004420	Ta026420	仏上	人	v1#1	凭	⿰亻⿱𡈼儿	俗　*ヨル	
F00070	S00101	K0100443	K01004430	Ta026430	仏上	人	v1#1	䋕	⿰亻⿱壬糸	又絍　如針反　又如鴆反	
F00071	S00102	K0100444	K01004440	Ta026440	仏上	人	v1#1	⿰亻⿱王⿱冖夗	〇	ナツマシ　オハフ	
F00072	S00103	K0100451	K01004510	Ta026510	仏上	人	v1#1	僀	〇	俗帶字	
F00073	S00104	K0100452	K01004520	Ta026520	仏上	人	v1#1	傡	〇	蒲迸「ヘイ」反　並也　又並音	
F00074	S00105	K0100453	K01004530	Ta026530	仏上	人	v1#1	𠊧	〇	今　ナホシ　トモ　トモシ	
F00075	S00106	K0100454	K01004540	Ta026540	仏上	人	v1#1	併	〇	蒲鼎(H)「テイ」反　ナラフ(@H@)　シカシナカラ　ソフ　トモ　アハス(LLH)　カクス　スフ　クロシ〈黒〉　カス　*ツラヌ　*アツマル　*スミ	
F00076	S00107	K0100463	K01004630	Ta026630	仏上	人	v1#1	𠋈	⿰亻弈	俗弈字	
F00077	S00108	K0100464	K01004640	Ta026640	仏上	人	v1#1	㑊	〇	肌及(S)反　又亦音	
F00078	S00109	K0100471	K01004710	Ta026710	仏上	人	v1#1	㑞	⿰亻⿱大廾	垂(L)音　又孕音　送(R)音	
F00079	S00110	K0100472	K01004721	Ta026721	仏上	人	v1#1	⿰亻𠳮／僑／⿰亻⿱有冋	〇／〇／〇	中下正　喬音　ヨル　高也	
F00080	S00113	K0100474	K01004740	Ta026740	仏上	人	v1#1	𠆧	〇	俗徒字	
F00081	S00114	K0100481	K01004810	Ta026810	仏上	人	v1#1	以	〇	音苡「イ」　モチヰル(LHHL)　コレヲモテ(HHH@@)　モツ(LH)　モテス(LH@)　ヰテアリク(@L@@@)　トモニ(HH@)　ヲモフ　ヲモンミレハ(ミレ-ミル)　ユへ(HL)　モチウ(LHL)　タメニ　不ス我トー□(ト)モ二セ　モテシケラシ(@@L@LL)　ステニ　*アタフ　アフ　オモヘラク　和イ　モテスト云ナラシ(@@@@@HHL)	
F00082	S00115	K0100512	K01005121	Ta027121	仏上	人	v1#1	㪽／ー（以）	〇／〇	ユヘ(LL)　コノユヘニ(HHHL@)	
F00083	S00117	K0100513	K01005130	Ta027130	仏上	人	v1#1	是／[以]	〇／〇	コヽヲモテ(HH@@@)	高山寺本は小字にて「是以」を記入（岡田研究182頁）。池田按：高山寺本が「分註式」「小書」の例。「以」脱。
F00084	S00118	K0100514	K01005140	Ta027140	仏上	人	v1#1	㐺	〇	音吟(L")　又牛飲反	
F00085	S00119	K0100521	K01005210	Ta027210	仏上	人	v1#1	众	〇	俗　トモ	
F00086	S00120	K0100522	K01005220	Ta027220	仏上	人	v1#1	从	〇	從字　シタカフ	
F00087	S00121	K0100523	K01005230	Ta027230	仏上	人	v1#1	仌	〇	冫字也　鄙淩反	
F00088	S00122	K0100524	K01005240	Ta027240	仏上	人	v1#1	仍	〇	如陵反　又䚮　呉音乘　ナヲ-ホ　ヨル　スナハチ(LL@@)　シキリニ　*アツシ　カサヌル　チナヒ　ツイテ　サラニ　マサ	
F00089	S00123	K0100533	K01005330	Ta027330	仏上	人	v1#1	⿰亻⿱乃人	〇	未詳	
F00090	S00124	K0100534	K01005340	Ta027340	仏上	人	v1#1	⿰亻盈	〇	音盈	
F00091	S00125	K0100541	K01005410	Ta027410	仏上	人	v1#1	𠆵	⿰亻孑	五奚(L)反　陽不知也	
F00092	S00126	K0100542	K01005420	Ta027420	仏上	人	v1#1	仔	〇	音子(H)　克也　タフ(LH)	
F00093	S00127	K0100543	K01005430	Ta027430	仏上	人	v1#1	𠊩	〇	[音]撰(H)　ツフサニ(LL"@@)　ソナフ(LLH)　シリソク　ソネム　ミル　シメス(HLH)	
F00094	S00128	K0100551	K01005510	Ta027510	仏上	人	v1#1	僝	〇	ヒトシ	
F00095	S00129	K0100552	K01005520	Ta027520	仏上	人	v1#1	𠆵	〇	烏計反　佯不知也	
F00096	S00130	K0100553	K01005530	Ta027530	仏上	人	v1#1	伋	〇	音急(S)　人名　カタフク(LLH"@)	
F00097	S00131	K0100554	K01005540	Ta027540	仏上	人	v1#1	仮	〇	カタフク　タル	
F00098	S00132	K0100561	K01005610	Ta027610	仏上	人	v1#1	仅	〇	乃都(L)反　奴也　古好(奴)字	
F00099	S00133	K0100562	K01005620	Ta027620	仏上	人	v1#1	⿰亻叒	〇	ツヽル	
F00100	S00134	K0100563	K01005630	Ta027630	仏上	人	v1#1	㐸	〇	アイヒス(HHH"@)	
F00101	S00135	K0100564	K01005640	Ta027640	仏上	人	v1#1	似	〇	徐姉反　和音シ　ニタリ　ノル-レリ　コトシ　アエタリ　チカシ　トモカラ　ナラフ　ノリ　ミノトコロ　辰巳之巳　ツク	
F00102	S00136	K0100573	K01005731	Ta027731	仏上	人	v1#1	佀／⿰亻⿱吅九	〇／〇	上或下俗	
F00103	S00138	K0100574	K01005741	Ta027741	仏上	人	v1#1	如／似	〇／〇	ニタリ	
F00104	S00140	K0100581	K01005811	Ta027811	仏上	人	v1#1	不／ー（似）	〇／〇	シカシ	
F00105	S00142	K0100582	K01005820	Ta027820	仏上	人	v1#1	佽	〇	音次　トシ	
F00106	S00143	K0100583	K01005830	Ta027830	仏上	人	v1#1	攸	〇	音由　トコロ(HHH)　事也　辤也	
F00107	S00144	K0100584	K01005840	Ta027840	仏上	人	v1#1	修	〇	可見彳部　ヲサム　ヲコナフ　ツクル　カサル　カキル	
F00108	S00145	K0100612	K01006121	Ta028121	仏上	人	v1#1	ー（修）／理	〇／〇	ツクロフ(LLH@)	
F00109	S00147	K0100613	K01006130	Ta028130	仏上	人	v1#1	修	〇	ヲサム　カキル	
F00110	S00148	K0100614	K01006140	Ta028140	仏上	人	v1#1	脩	〇	可見彳部　ナカシ(@L"@)　*ホシヽ　サカナ　アフク	
F00111	S00149	K0100622	K01006220	Ta028220	仏上	人	v1#1	偱	⿲亻亻百	俗⿲彳亻頁字　音巡　シタカフ　メクル　ツフサニ	
F00112	S00150	K0100624	K01006240	Ta028240	仏上	人	v1#1	⿰亻⿱佰心	〇	ミナキハム	
F00113	S00151	K0100631	K01006310	Ta028310	仏上	人	v1#1	⿰亻⿱有心	〇	同歟	
F00114	S00152	K0100632	K01006321	Ta028321	仏上	人	v1#1	翛／倐／倏／翛β	〇／〇／〇／〇	上二俗　下二正　又儵字　音叔　和宿　《漢書》蕭音　速　疾也　*キユ	
F00115	S00156	K0100641	K01006411	Ta028411	仏上	人	v1#1	⿱翛立／𢢱	〇／〇	二或	
F00116	S00158	K0100642	K01006420	Ta028420	仏上	人	v1#1	𨁀	⿰亻⿰｜⿱攵豆	俗歟或歟	
F00117	S00159	K0100643	K01006431	Ta028431	仏上	人	v1#1	倐／忽	〇／〇	*アカラシマニ	
F00118	S00161	K0100644	K01006440	Ta028440	仏上	人	v1#1	儵	〇	今⿱𨤨灬字　音同上　タチマチ　シハシ　アカラサマ　スミヤカニ　シハラク　トシ　黒繒發色	
F00119	S00162	K01006531	K01006531	Ta028531	仏上	人	v1#1	⿲亻❘𤋱	〇	同	
F00120	S00163	K01006532	K01006532	Ta028532	仏上	人	v1#1	儵	⿲亻❘⿱攴黒	正	
F00121	S00164	K0100654	K01006541	Ta028541	仏上	人	v1#1	絛／𠍞	〇／〇	今正　他力反　絲繩反歟　物ノカミヲオホウ	
F00122	S00166	K0100662	K01006620	Ta028620	仏上	人	v1#1	鯈	〇	音條　魚如鷄赤尾六足四首音如鵲	
F00123	S00167	K0100664	K01006640	Ta028640	仏上	人	v1#1	條	〇	ヱタ(HH")　ナカシ(LL"@)	
F00124	S00168	K0100671	K01006710	Ta028710	仏上	人	v1#1	䖺	〇	音條　ー䗤火虫	
F00125	S00169	K0100672	K01006720	Ta028720	仏上	人	v1#1	鞗	〇	クツワツラ	
F00126	S00170	K0100673	K01006730	Ta028730	仏上	人	v1#1	𠏤	⿰亻⿰丨⿱攵⿱玉貝	渠往(H)反　貝載戴噐	
F00127	S00171	K0100674	K01006740	Ta028740	仏上	人	v1#1	㒠	〇	下介(R)「カイ」反　《揚雄反》　陿也　陌也　隘也	
F00128	S00172	K0100681	K01006810	Ta028810	仏上	人	v1#1	𠎷	〇	先盍反　惡也	掲出字、観智院本・西念寺本「𠎷」に作る。蓮成院本・高山寺本「㒎」に作る。草川昇「類聚名義抄和訓小考」42頁例2。
F00129	S00173	K0100682	K01006820	Ta028820	仏上	人	v1#1	㚢	〇	古好(奴)字	
F00130	S00174	K0100683	K01006830	Ta028830	仏上	人	v1#1	侞	〇	而招(L)反　又如上(音)　*ニキハフ	
F00131	S00175	K0100684	K01006840	Ta028840	仏上	人	v1#1	倁	〇	俗知字	
F00132	S00176	K0100711	K01007110	Ta029110	仏上	人	v1#1	俰	〇	呼卧反　ヤハラク	
F00133	S00177	K0100712	K01007120	Ta029120	仏上	人	v1#1	伽	〇	音迦　ヨル　ユタカニ　和カ(N)	
F00134	S00178	K0100713	K01007130	Ta029130	仏上	人	v1#1	俐	〇	俗利字	
F00135	S00179	K0100714	K01007140	Ta029140	仏上	人	v1#1	𠎆	〇	俗發字	
F00136	S00180	K0100721	K01007210	Ta029210	仏上	人	v1#1	僜	〇	俗隆字歟	
F00137	S00181	K0100722	K01007220	Ta029220	仏上	人	v1#1	僊	⿰亻⿱西令	音鮮　ヒシリ(HH"L)　ヒト　マフ	
F00138	S00182	K01007231	K01007231	Ta029231	仏上	人	v1#1	仙	〇	俗	
F00139	S00183	K01007232	K01007232	Ta029232	仏上	人	v1#1	〓／〓	〇／〇	二或	
F00140	S00185	K01007241	K01007241	Ta029241	仏上	人	v1#1	⿰亻⿱西令	〇	今	高山寺本・蓮成院本にあり西念寺本になし。西念寺本の脱漏（小林恭治「観智院本から見た項目の有無」53–55頁例1）。
F00141	S00186	K01007242	K01007242	Ta029242	仏上	人	v1#1	𠑗	〇	正	
F00142	S00187	K0100731	K01007311	Ta029311	仏上	人	v1#1	神／仙	〇／〇	ノイキホトケ(@LLH"HH)	
F00143	S00189	K0100732	K01007320	Ta029320	仏上	人	v1#1	⿰亻𢙣	〇	俗涴字　烏卧反　汙也　ニクシ	
F00144	S00190	K0100733	K01007330	Ta029330	仏上	人	v1#1	偠	〇	音杳　細要	
F00145	S00191	K0100734	K01007340	Ta029340	仏上	人	v1#1	価	〇	ユク	
F00146	S00192	K0100741	K01007410	Ta029410	仏上	人	v1#1	𫣗	⿰亻⿱覀𢌿	無兖反	
F00147	S00193	K0100742	K01007420	Ta029420	仏上	人	v1#1	⿰亻⿱覀𤰞	〇	（無）	
F00148	S00194	K0100743	K01007430	Ta029430	仏上	人	v1#1	僄	〇	漂音　カロシ　*ナメシ　ウカフ	
