#	HDIC Project
#	Integrated Database of Hanzi Dictionaries in Early Japan
#
#	SYP: Songben Yupian 宋本玉篇 database
#
#	Version: 1.1.3
#	Date: 20 October 2015
#	Last update : 12 January 2020
#
#	Copyright (c) 2014-2019 HDIC project, IKEDA Shoju (Chair)
#	LI Yuan (Person in Charge)
#	Department of Linguistic Sciences, Hokkaido University Graduate School of Letters
#	North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
#	Contact: hdic_info@let.hokudai.ac.jp
#
#	Feel free to copy and distribute.
#	Send bug reports and feature requests via email.
#
#	TSV Format information:
#
#	SYID	: Book, leaf, recto-verso, line and number (Zecuntang edition)
#	SY_vol_radical	: Volume and radical number
#	SY_radical	: Radical of Chinese character
#	Entry		: Headword
#	Entry_original	: Original headword (option)
#	SY_def		: Definition of pronunciation, meaning and variant(s)
#	Zang_page	: Zhong gu Han zi liu bian
#	KSY_diff	: Differences of SYID with Kunaicho Shoryobu edition
#	SY_remarks	: Editor's notes
#
#   References:
#
#   臧克和著, 中古漢字流變, 華東師範大學出版社, 2008. Zang Kehe, Zhong gu Han zi liu bian, Shanghai : Hua dong shi fan da xue chu ban she, 2008.
#
#   Primary Sources:
#
#       宮内廳書陵部藏本(南宋版)：大廣益會玉篇 (box 515, no.106, photographic images).
#       澤存堂本：〔梁〕顧野王著, 大廣益會玉篇, 北京：中華書局, 1987.
#
#	This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	SY_def	Zang_page	KSY_diff	SY_remarks
a006a011	v1#2	上	丄		古文。	2		
a006a012	v1#2	上	帝		丁計切。《說文》云：諦也、王天下之號也。《爾雅》曰：君也。《白虎通》曰：德合天者稱帝。《商書》云：惟皇上帝。孔安國曰：上帝天帝也。《周禮》曰：兆五帝於四郊。鄭玄曰：五帝、蒼曰靈威仰、太昊食焉、赤曰赤熛怒、炎帝食焉、黃曰含樞紐、黃帝食焉、白曰白招拒少昊食焉、黑曰汁光紀、顓頊食焉。	2		
a006a031	v1#2	上	𢂇		古文。	2		
a006a032	v1#2	上	旁		歩郎切。旁猶側也、邊也、非一方也。《說文》作㫄溥也。	3		
a006a041	v1#2	上	雱		籀文。	3		
a006a042	v1#2	上	𣃟		（並古文。）	3		
a006a043	v1#2	上	𣃙		並古文。	3		
a006a044	v1#2	上	下		何雅切。《易》曰：化成天下下者對上之稱也。《說文》曰：底也。《詩》云：下武維周。《箋》云：下猶後也。《禮記》曰：揖讓而升下而飲。鄭玄曰：下降也。杜預注《左傳》云：下猶賤也。《爾雅》曰：下落也。又何稼切。行下也。《易》曰：以貴下賤是也。	3		
a006a071	v1#3	示	示		時至切。《說文》云：天垂象見吉凶所以示人也。《易》曰：夫乾確然示人易矣夫坤隤然示人簡矣示者語也、以事告人曰示也。	3		
a006a081	v1#3	示	𥘅		古文。	3		
a006a082	v1#3	示	神		市人切。神祇。《說文》曰：天神、引出萬物者也。《夏書》曰：乃聖乃神。孔安國云：聖無所不通、神妙無方。《易》曰：隂陽不測之謂神。王弼云：神也者變化之極大。《戴禮》云：陽之精氣曰神、隂之精氣曰靈。《爾雅》云：神重也、治也、愼也。《廣雅》云：神弘也。	3		
a006a091	v1#3	示	祇		巨支切。地之神也。《易》曰：無祇悔、韓康伯云：祇、大也。《周禮》：亦作示。	4		
a006a101	v1#3	示	齋		側皆切。《易》曰：聖人以此齋戒。韓康伯曰：洗心曰齋、防患曰戒、又敬也。	4		
a006a102	v1#3	示	𪗓		籀文。	4		
a006b011	v1#3	示	祕		悲冀切。《說文》云：神也。《廣雅》曰：勞也、蜜也、藏也。	4		
a006b012	v1#3	示	祗		諸時切。敬也。俗作袨。	4		
a006b013	v1#3	示	祭		子滯切。薦也、祭祀也。又側界切。周大夫邑名。	4		
a006b021	v1#3	示	䃾		必利切。《說文》云：以豚祠司命也。	5		
a006b022	v1#3	示	祀		徐里切。《周書》：八政三曰祀。《爾雅》云：祭也。又年也。	5		
a006b023	v1#3	示	禩		同上。	5		
a006b024	v1#3	示	祏		殊亦切。廟主石室也。	5		
a006b025	v1#3	示	禋		於神切。敬也。《說文》：絜祀也、一曰精意以亨爲禋。	5		
a006b031	v1#3	示	𥛛		同上。	5		
a006b032	v1#3	示	祡		仕佳切。《說文》云：燒祡樊燎以祭天神。亦作柴。《爾雅》曰：祭天曰燔柴。	5		
a006b033	v1#3	示	𥚨		古文。	5		
a006b041	v1#3	示	祖		子古切。父之父也、道祭也、始也。	5		
a006b042	v1#3	示	𥛱		布庚切。祭。《說文》曰：門内祭先祖、所以徬徨也。亦作𥛻。	6		
a006b043	v1#3	示	祊		同上。	6		
a006b044	v1#3	示	祠		似司切。《公羊傳》云：春祭曰祠、祠猶食也。	6		
a006b051	v1#3	示	礿		餘灼切。《公羊傳》云：夏祭曰礿。	6		
a006b052	v1#3	示	禴		同上。	6		
a006b053	v1#3	示	祫		何夾切。合祭也。	6		
a006b054	v1#3	示	禘		徒計切。大祭也、諦也。	6		
a006b055	v1#3	示	祜		胡古切。《詩》云：受天之祜。《箋》云：祜福也。	6		
a006b061	v1#3	示	福		方伏切。禄命也。《說文》：祐也。	6		
a006b062	v1#3	示	禧		許其切。福也。	7		
a006b063	v1#3	示	祐		于救切。助也。《易》曰：自天祐之吉無不利。或作佑。	7		
a006b064	v1#3	示	祺		巨基切。吉也。又徴祥也。	7		
a006b071	v1#3	示	禥		籀文。	7		
a006b072	v1#3	示	祿	禄	音鹿。賞賜也。又福祿也。	7		
a006b073	v1#3	示	禛		之仁切。以眞受福也。	7		
a006b074	v1#3	示	祉		丑理切。福也。	7		
a006b075	v1#3	示	禔		之移切。福也、安也。又音匙。	7		
a006b081	v1#3	示	祥		似羊切。妖怪也。又福也、善也。	8		
a006b082	v1#3	示	禎		音貞。吉祥也。	8		
a006b083	v1#3	示	禠		息離切。福也。	8		
a006b084	v1#3	示	禨		居衣切。祥也。	8		
a006b085	v1#3	示	祪		居毀切。毀廟之祖也。	8		
a006b086	v1#3	示	禰		年禮切。父廟也。	8		
a006b091	v1#3	示	𥙄		同上。	8		
a006b092	v1#3	示	祰		口老公䔍二切。禱也、告祭也。	8		
a006b093	v1#3	示	祼		古換切。裸鬯告神也。	9		
a006b094	v1#3	示	䄂		恥霤切。古文𥛅。	9		
a006b095	v1#3	示	祝		之六切。祭詞也。	9		
a006b096	v1#3	示	祈		巨衣切。禱也、報也、告也。	9		
a006b101	v1#3	示	禷		力季切。祭也。《爾雅》曰：是禷是禡師祭也。或作𦝭。	9		
a006b102	v1#3	示	禱		丁老切。請也、謝也、求福也。	9		
a006b103	v1#3	示	𥜹		籀文。	9		
a006b104	v1#3	示	𥛇		古文。	9		
a006b105	v1#3	示	䄟		昌芮切。數祭也、重祭也。又此芮切。	10		
a007a011	v1#3	示	禮		力底切。體也、理也。	10		
a007a012	v1#3	示	礼		古文。	10		
a007a013	v1#3	示	祔		扶付切。視也、合葬也。	10		
a007a014	v1#3	示	𥛅		除霤切。祝𥛅也。又力救切。	10		
a007a015	v1#3	示	社		市者切。土地神主也。	10		
a007a021	v1#3	示	𥙲		古文。	10		
a007a022	v1#3	示	禖		莫回切。求子祭。	11		
a007a023	v1#3	示	禪		市戰切。祭名。又市然切。靜也。	11		
a007a024	v1#3	示	禜		音詠。風雨不時祭名。	11		
a007a025	v1#3	示	䄆		胡括切。《說文》云：祀也。又法也。	11		
a007a031	v1#3	示	禳		而羊切。卻變異也。	11		
a007a032	v1#3	示	禬		胡外古外二切。除災害也、會福祭也。	12		
a007a033	v1#3	示	禕		於宜切。美皃。又歎辝。	12		
a007a034	v1#3	示	禦		魚舉切。禁也。又當也。	12		
a007a035	v1#3	示	祴		古來切。祴夏樂章名。	12		
a007a041	v1#3	示	禶		昨坦切。祭也。	13		
a007a042	v1#3	示	𥜲		古典切。祇也。	13		
a007a043	v1#3	示	禡		莫駕切。師祭也。又馬上祭也。	13		
a007a044	v1#3	示	祳		時忍切。祭社生肉也、俎實也。	13		
a007a045	v1#3	示	祾		力矜力登二切。祭名神靈之威福也。	13		
a007a051	v1#3	示	祚		才故切。禄也、保也。	13		
a007a052	v1#3	示	祱		始銳切。《博雅》云：祭也。	13		
a007a053	v1#3	示	祽		子内切。祭名。	13		
a007a054	v1#3	示	䄛		力侯切。飲食祭也、冀州八月、楚俗二月。亦作膢、從簍亦同。	14		
a007a061	v1#3	示	䄍		仕駕切。報祭也、古之臘曰䄍。亦作蜡。	14		
a007a062	v1#3	示	禂		丁道切。馬祭也。	14		
a007a063	v1#3	示	祧		他幺切。遠廟也。	14		
a007a064	v1#3	示	𥜔		古文。	14		
a007a065	v1#3	示	禓		與章書羊二切。強鬼也、道上祭也。	14		
a007a071	v1#3	示	祲		子鴆切。《周禮》：有㫝祲。鄭玄曰：祲陰陽氣相侵漸成祥者。《左氏傳》曰：吾見赤黑之祲。杜預曰：妖氣也。	14		
a007a072	v1#3	示	禊		胡計切。《史記》云：漢武帝禊霸上。徐廣曰：三月上巳臨水祓除謂之禊也。	14		
a007a081	v1#3	示	禍		胡果切。害也、神不福也。	15		
a007a082	v1#3	示	𥙯	𥚁	同上。	15		
a007a083	v1#3	示	𥚩		私呂切。祭具也。	15		
a007a091	v1#3	示	祟		思遂切。神禍也。	15		
a007a092	v1#3	示	𥜱		籀文。	15		
a007a093	v1#3	示	𥛜		側慮切。祝也。亦作詛。	15		
a007a094	v1#3	示	祙		音媚。即鬼魅也。	16		
a007a095	v1#3	示	禁		記鴆切。止也、錮也。又記林切。	16		
a007a096	v1#3	示	禲		音厲。無後、鬼也、鬼有所歸乃不爲禲。	16		
a007a101	v1#3	示	祅		於驕切。天反時爲災、地反物爲祅。《說文》作䄏。	16		
a007a102	v1#3	示	禫		徒感切。祭名也。《說文》曰：除服祭也。	16		
a007a103	v1#3	示	祩		之俞切。呪詛也。又音注。	16		
a007b011	v1#3	示	䄤		力大切。墮壞也。	16		
a007b012	v1#3	示	祤		于矩切。祋祤縣名、在馮翊。又音詡。	17		
a007b013	v1#3	示	䄐		丘倦切。祀也。	17		
a007b014	v1#3	示	䄌		竹芮切。祭名。亦作醊。	17		
a007b015	v1#3	示	𥙮		思淺切。秋田祭也。与獮同。	17		
a007b021	v1#3	示	䄃		於畺切。禍也。古文殃。	17		
a007b022	v1#3	示	礽		而凌切。福也。又就也。亦作仍。	17		
a007b023	v1#3	示	𥛲		子誚切。祭名。或作醮。	17		
a007b024	v1#3	示	𥛰		力弔切。与𤊽同。	17		
a007b025	v1#3	示	䄉		音俄。盛皃。或作娥。	17		
a007b031	v1#3	示	𥜃		音亦。祭之明日。又祭殷曰肜、周曰𥜃。亦作繹。	18		
a007b032	v1#3	示	𥙰		市救切。久年也。	18		
a007b033	v1#3	示	禗		息茲切。不安也、欲去意也。	18		
a007b034	v1#3	示	祘		蘇換切。明視也。	18		
a007b041	v1#3	示	禉		以久以州二切。燎也、祡祭天也。	18		
a007b042	v1#3	示	䄎		乞喜切。好貌。	18		
a007b043	v1#3	示	𥛳		欣居切。耗鬼也。與魖同。	18		
a007b044	v1#3	示	𥜚		於柳切。福也。	19		
a007b045	v1#3	示	祣		力煑切。祭名。《論語》作旅。	19		
a007b051	v1#3	示	䄄		音因。成就也。	19		
a007b052	v1#3	示	𥜒		於琰切。𥜒禳也。	19		
a007b053	v1#3	示	䃽		質夷切。福也。	19		
a007b054	v1#3	示	䄅		居倦切。祭名也。本作飬。	19		
a007b055	v1#3	示	䄁	⿰礻丗	翌制切。祭也。	19		
a007b056	v1#3	示	𥛯		古穴切。不祥也。	19		
a007b061	v1#3	示	𥛚		丑歷切。福也。	19		
a007b062	v1#3	示	𥙎		莫伯切。神也。	19		
a007b063	v1#3	示	䃿		方無切。祭䟽也。	20		
a007b064	v1#3	示	䄓		戶光切。䄘䄓祭也。	20		
a007b065	v1#3	示	䄜		力之切。福祥也。	20		
a007b066	v1#3	示	𥜰		所宜切。祭名。	20		
a007b067	v1#3	示	禯		尼龍切。厚祭也。	20		
a007b071	v1#3	示	𥙬		所交切。祜也。	20		
a007b072	v1#3	示	祹		徒勞切。福也。	20		
a007b073	v1#3	示	禑		音吳。福也。	20		
a007b074	v1#3	示	䄝		丑江切。祭壇不毀也。	20		
a007b075	v1#3	示	禟		徒郎切。祐也。	20		
a007b076	v1#3	示	𥜴		去言切。祭也。	20		
a007b081	v1#3	示	祌		音仲。神也。	20		
a007b082	v1#3	示	禭		詞類切。祭名。	21		
a007b083	v1#3	示	𥛝		符容切。神名。	21		
a007b084	v1#3	示	䄚		才刀切。豕祭也。	21		
a007b085	v1#3	示	祆		阿憐切。胡神也。	21		
a007b086	v1#3	示	祻		音固。祭也。	21		
a007b087	v1#3	示	𥘬		音弗。除殃祭也。	21		
a007b091	v1#3	示	禚		之若切。齊地名。	21		
a007b092	v1#3	示	祦		音吳。福也。	21		
a007b093	v1#3	示	𥛟		匹角切。久視。	21		
a007b094	v1#3	示	𥛘		音畢。竈上祭也。	21		
a007b095	v1#3	示	祓		孚物切。除災求福也。又方吠切。福也。	21		
a007b101	v1#4	二	二		而至切。《說文》曰：地之數也。《易》曰：天一地二。	22		
a007b102	v1#4	二	弍		古文。	22		
a007b103	v1#4	二	恒	𢘆	何登切。常也。《易》曰：恒久也。	22		
a007b104	v1#4	二	𢛢		同上。	22		
a008a011	v1#4	二	𠄨		古文。	22		
a008a012	v1#4	二	𠄢		思縁切。求𠄢也。今宣從亘同。	22		
a008a013	v1#4	二	亟		居力切。急也、疾也。又丘致切。數也。	22		
a008a014	v1#4	二	亝		徂兮切。古文齊。	23		
a008a015	v1#4	二	竺		丁沃切。厚也。又音竹。	23		
a008a016	v1#4	二	亖		古文、四。	23		
a008a021	v1#4	二	凡		扶嚴切。凡計數也。又非一也。《說文》云：最括也。《廣雅》云：輕也、皆也。	24		
a008a022	v1#4	二	𠄱		弋之切。陽氣也。	24		
a008a023	v1#4	二	𠄿		音圍。	24		
a008a024	v1#4	二	𠄰		力擣切。古文老。	24		
a008a031	v1#5	三	三		思甘切。《說文》云：天地人之道也。《老子》曰：道生一、一生二、二生三、三生萬物。	24		
a008a032	v1#5	三	弎		古文。	24		
a008a041	v1#6	王	王		禹方切。《說文》云：天下所歸往也。董仲舒曰：古之造文者三畫而連其中謂之王、三者天地人也、而參通之者王也。孔子曰：一貫三爲王。《蔡邕・獨斷》云：皇子爲王。	24		
a008a051	v1#6	王	𠙻		古文。	24		
a008a052	v1#6	王	皇		胡光切。大也、匡也。《爾雅》云：君也。《論語》曰：皇皇后帝。注謂大夫帝也。《儀禮》：賔入門皇自莊盛也。	25		
a008a061	v1#6	王	𦤍		古文。	25		
a008a062	v1#6	王	閏		如舜切。閏餘也。《說文》云：餘分之月、五歲再閏、告朔之禮、天子居宗廟、閏月居門中。《周禮》云：閏月詔王、居門終月。	25		
a008a081	v1#7	玉	玉		魚録切。《禮記》曰：君子比德於玉焉、温潤而澤仁也、縝密以栗知也、廉而不劌義也、垂之如隊禮也、叩之其聲清越而長其終詘然樂也、瑕不揜瑜、瑜不揜瑕、忠也、孚筠旁達信也、氣如白虹天也、精神見于山川地也、圭璋特達德也、故君子貴之也。	26		
a008a101	v1#7	玉	𤣪		古文。	26		
a008a102	v1#7	玉	玊		欣救思六二切。玉工也。亦姓也。	26		
a008a103	v1#7	玉	璙		力弔力小二切。玉名。	26		
a008a104	v1#7	玉	瓘		古喚切。玉名。	26		
a008a105	v1#7	玉	璥		居影切。玉名。	26		
a008a106	v1#7	玉	琠		他典切。玉名。	27		
a008b011	v1#7	玉	𤩴		古文。	27		
a008b012	v1#7	玉	玘		去里切。玉名。	27		
a008b013	v1#7	玉	瓕		弭規切。玉名。	27		
a008b014	v1#7	玉	𤫕		奴刀切。玉名。	27		
a008b015	v1#7	玉	𤩮	⿰⺩𣪠	郎敵切。玉名。	27		
a008b016	v1#7	玉	瑾		奇鎭切。瑾瑜美玉也。	27		
a008b017	v1#7	玉	瑜		弋朱切。瑜玉不揜瑕玉中美也。《禮記》：丗子佩瑜玉也。	27		
a008b021	v1#7	玉	璵		弋居切。璵璠美玉皃。	27		
a008b022	v1#7	玉	璠		方袁房袁二切。美玉皃。	28		
a008b023	v1#7	玉	玒		古邦古紅二切。玉名。	28		
a008b024	v1#7	玉	璐		力故切。美玉也。	28		
a008b031	v1#7	玉	瓊		渠營切。《說文》云：赤玉也。《莊子》云：積石爲樹名曰瓊枝、其高一百二十仭、大三十圍、以琅玕爲之寳。	28		
a008b032	v1#7	玉	璚		同上。	28		
a008b033	v1#7	玉	瓗		同上。又音畦、又羊水切。美皃。	28		
a008b041	v1#7	玉	璇		似宣切。美石次玉。亦作琁。	28		
a008b042	v1#7	玉	琁		同上。又徐宣切。	28		
a008b043	v1#7	玉	𤦃		力才切。玉屬也。	28		
a008b044	v1#7	玉	珦		虛亮切。玉名。	28		
a008b045	v1#7	玉	㻝		力達切。玉名。	28		
a008b051	v1#7	玉	瓄		徒木切。《史記》云：崐山出瓄玉也。	29		
a008b052	v1#7	玉	珵		除荆切。美玉也、埋六寸光自輝。	29		
a008b053	v1#7	玉	琳		力金切。玉名。	29		
a008b054	v1#7	玉	璿		似縁切。《山海經》云：有沃之國沃民是處爰璿瑰瑙碧。《虞書》曰：璿璣玉衡。《孔傳》云：璿美玉穆天子傳春山之寳有璿珠也。	29		
a008b061	v1#7	玉	𤫀		籀文。	29		
a008b062	v1#7	玉	𤩅		古文。	29		
a008b063	v1#7	玉	球		巨周切。《虞書》曰：戛擊鳴球。《孔傳》云：球玉磬也。	29		
a008b071	v1#7	玉	璆		奇樛切。美玉也。	29		
a008b072	v1#7	玉	㻒		奇殞切。齊玉也。	29		
a008b073	v1#7	玉	瑅		大兮切。玉名。	29		
a008b074	v1#7	玉	瑭		徒郎切。玉也。	29		
a008b075	v1#7	玉	珙		居容居勇二切。大璧也。	30		
a008b076	v1#7	玉	㻽		似睡切。玉名。	30		
a008b081	v1#7	玉	琛		敕今切。琛寳也。	30		
a008b082	v1#7	玉	環		下關切。繞也。又玉環。《爾雅》曰：肉好若一謂之環。	30		
a008b083	v1#7	玉	璧		俾亦切。瑞玉圜以象天也。	30		
a008b084	v1#7	玉	瑗		爲眷切。玉名。	30		
a008b085	v1#7	玉	琮		才宗切。琮玉八角象地。《說文》云：瑞玉大八寸似車釭。	30		
a008b091	v1#7	玉	瓏		力恭切。禱旱之玉爲龍文也。又音聾。玲瓏玉聲。	31		
a008b092	v1#7	玉	璜		胡光切。半璧也。	31		
a008b093	v1#7	玉	瓃		力追切。玉器。又力回切。	31		
a008b101	v1#7	玉	琥		呼古切。瑞玉也。《說文》云：發兵瑞玉爲虎文。	31		
a008b102	v1#7	玉	珪		古攜切。古文圭。	31		
a008b103	v1#7	玉	琰		弋冉切。璧上起美色也。	31		
a008b104	v1#7	玉	璋		之陽切。半珪也。又明也。	31		
a009a011	v1#7	玉	玠		音界。珪長尺二寸也。	32		
a009a012	v1#7	玉	琬		於遠切。琬珪也。	32		
a009a013	v1#7	玉	瑒		雉杏切。珪尺二寸有瓉以祀宗廟。又音暢。	32		
a009a014	v1#7	玉	瓛		胡官切。《周禮》：公執瓛珪也。	32		
a009a015	v1#7	玉	珽		他鼎切。《說文》云：大圭長三尺、抒上終葵首。《禮》：天子搢珽方正於天下也。	32		
a009a021	v1#7	玉	瑁		莫到切。珪長四寸、天子執之。又莫對切。瑇瑁也。	32		
a009a022	v1#7	玉	𤣽		古文。	32		
a009a023	v1#7	玉	瑇		徒戴切。瑇瑁。或作蝳蝐。	32		
a009a031	v1#7	玉	琡		齒育切。《爾雅》云：璋大八寸謂之琡也。	33		
a009a032	v1#7	玉	瑞		市惴切。信節也、諸侯之珪也。	33		
a009a033	v1#7	玉	瑱		他見切。以玉充耳也。	33		
a009a034	v1#7	玉	珥		仁志切。珠在耳。	33		
a009a041	v1#7	玉	琫		布孔切。佩刀下飾也。	33		
a009a042	v1#7	玉	珌		卑密切。佩刀上飾。	33		
a009a043	v1#7	玉	㻫		古文。	33		
a009a044	v1#7	玉	璏		雉例切。劔鼻也。又音衞。	33		
a009a045	v1#7	玉	㺲		女乆切。印鼻。本作鈕。	34		
a009a051	v1#7	玉	璫		多郎切。穿耳、施珠也。	34		
a009a052	v1#7	玉	瑑		持轉切。珪有折鄂也。	34		
a009a053	v1#7	玉	瓚		才但才旦二切。珪頭也、爲器可以挹鬯灌祭。鄭玄注《禮記》云：瓉形如槃容五升以大圭爲柄也。	34		
a009a061	v1#7	玉	玦		居穴切。玉佩也、如環而缺不連。	34		
a009a062	v1#7	玉	𤪌		巨基切。飾弁也。	35		
a009a063	v1#7	玉	璂		同上、見《說文》。	35		
a009a064	v1#7	玉	琪		巨基切。玉屬。	35		
a009a065	v1#7	玉	珩		下庚切。《說文》云：佩玉所以節行步也。	35		
a009a071	v1#7	玉	璬		公了切。玉佩也。	35		
a009a072	v1#7	玉	珮		步輩切。玉珮也。本作佩。或从玉。	35		
a009a073	v1#7	玉	玩		五貫切。玩戲也、弄也。或作貦也。	35		
a009a074	v1#7	玉	瑬		力牛切。《說文》云：垂玉也、冕飾。又美金也。亦作鏐。	35		
a009a081	v1#7	玉	𤩈		市六切。《說文》云：玉器也。	35		
a009a082	v1#7	玉	璹		同上。	35		
a009a083	v1#7	玉	珤		補抱切。《聲類》云：古文寶字。	36		
a009a084	v1#7	玉	珍		張陳切。寶也、貴也、美也。又重也。	36		
a009a085	v1#7	玉	珎		同上、俗。	36		
a009a091	v1#7	玉	琚		紀余切。玉名。	36		
a009a092	v1#7	玉	琖		側簡切。《說文》曰：玉爵也、夏曰琖、殷曰斚、周曰爵。亦作盞𧣴。	36		
a009a093	v1#7	玉	珈		古遐切。《詩》云：副笄六珈。《傳》曰：珈笄飾之最盛者所以別尊卑。	36		
a009a101	v1#7	玉	璲		徐醉切。玉璲以玉爲佩也。	37		
a009a102	v1#7	玉	瑵		壯巧切。《說文》云：車蓋玉瑵也。	37		
a009a103	v1#7	玉	璪		作道切。《說文》云：玉飾如水藻也。	37		
a009a104	v1#7	玉	瑚		何孤切。《論語注》云：瑚璉黍稷之器。夏曰瑚、殷曰璉。或作鍸。	37		
a009b011	v1#7	玉	璉		力展切。瑚璉也。或作槤也。	37		
a009b012	v1#7	玉	琩		尺羊切。琩玩蠻夷充耳也。	37		
a009b013	v1#7	玉	瑋		禹鬼以貴二切。《埤蒼》曰：瑰瑋珍琦。或作偉。	37		
a009b021	v1#7	玉	璩		其於切。玉名。	38		
a009b022	v1#7	玉	琦		渠羇切。《埤蒼》云：琦瑋也。	38		
a009b023	v1#7	玉	璺		亡奮切。《方言》云：秦晉器破而未離謂之璺。《廣雅》云：裂也。	38		
a009b031	v1#7	玉	𤣻		莫骨切。《穆天子傳》云：采石之山有𤣻瑤。郭璞曰：玉名。	38		
a009b032	v1#7	玉	玷		丁簟切。《詩傳》云：玷缺也。或作㓠䍄也。	38		
a009b033	v1#7	玉	琄		胡犬切。玉皃。	38		
a009b034	v1#7	玉	璽		思此切。天子諸侯印也。籀文作璽也。	38		
a009b041	v1#7	玉	𤩂		力高切。玉名。	38		
a009b042	v1#7	玉	瑹		式餘切。《廣雅》云：瑹珽並笏也。又美玉。	38		
a009b043	v1#7	玉	璞		普角切。玉未治者。《老子》曰：璞散則爲器。王弼曰：璞眞也。	39		
a009b051	v1#7	玉	琢		陟角切。治玉也。《禮記》曰：玉不琢不成器也。	39		
a009b052	v1#7	玉	琱		多幺切。治玉也。一曰石似玉者。	39		
a009b053	v1#7	玉	玼		且禮切。玉色鮮也。	39		
a009b054	v1#7	玉	理		力紀切。治玉也、正也、事也、道也、從也、治獄官也。	39		
a009b061	v1#7	玉	瑳		且我切。玉色鮮白也。　《詩傳》曰：瑳巧笑貌。又七河切。	39		
a009b062	v1#7	玉	璱		所乙切。清淨鮮絜也。《說文》云：玉英華相帶如瑟弦也。	39		
a009b071	v1#7	玉	琗		《廣蒼》：同上。	39		
