#   HDIC Project
#   Integrated Database of Hanzi Dictionaries in Early Japan
#
#   TSJ: Tenjibon Shinsen Jikyo database -- Wakun (Japanese readings)
#
#   Tenjibon Shinsen Jikyo 新撰字鏡, Tenji copy 天治本.
#   A complete manuscript of 1124 is held by the Imperial Household Archives.
#   Buddhist monk Shoju 昌住, c. 898-901.
#   A Hanzi (Chinese character) dictionary.
#
#   TSJ_wakun.tsv
#   Version: 1.1.5
#   Date published: January 17, 2026
#   Last modified: June 25, 2026
#
#   Copyright (c) 2018-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
#   LI Yuan (Person in charge of text data proofreading)
#   LIU Guanwei (Person in charge of image database design and implementation)
#   Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#   License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
#
#   Column Definitions:
# 1. tsj_id: Location in the Tenji-bon manuscript (Vol/Leaf/Side/Line/Char).
# 2. sj_w_id: Unique permanent reference ID (format: sj_w00001). 'sj' = Shinsen Jikyō, 'w' = wakun. Designed for scalability and cross-dictionary comparative research.
# 3. rinsen_loc: Reference to the Rinsen Shoten Shinsen Jikyō facsimile edition (1967).
# 4. entry_text: Headword as it appears in the Tenji-bon, including single characters, compounds, and variant forms.
# 5. entry_type: Classification of the headword based on its structure (single_char, compound, or variant).
# 6. def_manyogana: Wakun in Man'yōgana (Tenji-bon). Marks: □ (illegible), ( ) (supplement), # (Kyōwa-bon variant). Blank if absent in Tenji-bon.
# 7. reading_kana_kanji: Katakana and Kanji notation (historical orthography) based on the Kyoto University Index (1975).
# 8. kyowa_entry_text: Headword as it appears in the Kyōwa-bon manuscript.
# 9. kyowa_manyogana: Wakun in Man'yōgana (Kyōwa-bon). Marked with '#' for word form differences from Tenji-bon. Blank if absent in Kyōwa-bon.
# 10. kyowa_loc: Location identifier in the Kyōwa-bon manuscript (Folio/Side/Line/Char).
# 11. zhang_page: Page reference in Zhang & Wu, "Xin zhuan zi jing xiao zhu" 新撰字鏡校注 (Zhejiang University Press, 2024).
# 12. reading_historical_kana: Wakun in Hiragana (historical orthography) based on the Kyoto University Index (1975).
# 13. nikkoku_example_check: Status in Nikkoku (2nd Ed.).
#     ✓            = Tenji cited as example in Nikkoku; Shinsen Jikyō listed in 表記 field.
#     ✓享和本       = Kyowa cited as example in Nikkoku; Shinsen Jikyō listed in 表記 field.
#     日国表記未収   = Nikkoku entry exists but Shinsen Jikyō not listed in 表記 field.
#     listed        = Shinsen Jikyō listed in 表記 field but not cited as example.
#     pending       = presence of corresponding entry in Nikkoku under investigation.
#     no entry      = confirmed absent from Nikkoku (nikkoku_id = N/A).
#     (Note: Additional reference notes, specific contexts, or textual variants may be appended to these classifications.)
# 14. nikkoku_id: Reference ID for the Nikkoku 2nd Ed. entry. Note that an ID does not guarantee the verification of citation status in Col 13.
# 15. remarks: Research notes on textual variants, reading normalization, and comments on Zhang's commentary.
# 16. pos: Part-of-speech classification of the wakun (e.g., 名詞, 動詞, 形容詞, 形容動詞, 副詞, 連語).
#
#   Abbreviations & References:
#   国語索引: 京都大学文学部国語学国文学研究室編『新撰字鏡国語索引』1958、再版臨川書店、1975.
#     (Kyoto Index): "Shinsen Jikyō Kokugo Sakuin" (Index of Japanese Readings) compiled by Kyoto University, 1975.
#   張磊校注: 張磊・吴美富『新撰字鏡校注』浙江大学出版社、2024.
#     (Zhang Lei): Zhang Lei & Wu Meifu, "Xin zhuan zi jing xiao zhu" 新撰字鏡校注 (Zhejiang University Press, 2024).
#   山田索引: 山田孝雄『新撰字鏡攷異并索引』六合館、1916.
#     (Yamada Index): Yamada Yoshio, "Shinsen Jikyō Kōi narabini Sakuin" (1916).
#   山田攷異: 山田孝雄『新撰字鏡攷異并索引』六合館、1916.
#     (Yamada Kōi): Yamada Yoshio, "Shinsen Jikyō Kōi narabini Sakuin" (1916).
#   日国: 『日本国語大辞典 第二版』小学館、2000-2002.
#     (Nikkoku): "Nihon Kokugo Daijiten" (Comprehensive Dictionary of the Japanese Language), 2nd Ed.
#
#   Acknowledgments:
#   We are grateful to the Imperial Household Archives 宮内庁書陵部 for permission to publish the decipherment text of TSJ.
#   This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526, 23K17500 and 25K00466.
#
#   Changelog:
#   v1.1.2 (2026-05-22):
#     - Updated col 13 (nikkoku_example_check): expanded value set with detailed descriptions (listed, pending, no entry).
#     - Revised col 15 (remarks): additional research notes incorporated from tsj_wakun20260522.xlsx.
#   v1.1.1 (2026-05-21):
#     - Added col 16 (pos): part-of-speech classification added for 3,420 of 3,828 entries.
#     - Expanded col 15 (remarks): morphological and etymological analysis notes added to 267 entries.
#     - Corrected col 7 (reading_kana_kanji) in 25 entries and col 12 (reading_historical_kana) in 8 entries.
#     - Updated col 14 (nikkoku_id) in 19 entries and col 13 (nikkoku_example_check) in 6 entries.
#     - Normalized col 11 (zhang_page): replaced 42 "#N/A" string values with blank.
#     - Corrected col 1 (tsj_id) in 3 entries (e.g., s1222a711 -> s1242a711 for sj_w03408-03409).
#     - Corrected col 4 (entry_text) and col 8 (kyowa_entry_text) in 4 entries each (e.g., 𧥶 -> 䚾 for sj_w00800-00801).
#     - Cleared all fields of sj_w00146 (reading reassigned; previously recorded as 腡 テノアヤ).
#   v1.0.1 (2026-02-10): Minor corrections to nikkoku data and textual variants.
#
tsj_id	sj_w_id	rinsen_loc	entry_text	entry_type	def_manyogana	reading_kana_kanji	kyowa_entry_text	kyowa_manyogana	kyowa_loc	zhang_page	reading_historical_kana	nikkoku_example_check	nikkoku_id	remarks	pos
s0106b302	sj_w00025	新26-32	㬒	単字	加久須	カクス（㬒）				7	かくす	listed	200200c71445ummUiEjd		動詞
s0106b302	sj_w00026	新26-32	㬒	単字	久良志	クラシ（㬒）				7	くらし	✓	2002014700fcgWtVOHD5		形容詞
s0106b403	sj_w00027	新26-43	暇	単字		イトマ（暇）	暇	伊止万	01b41	7	いとま	listed	2002004a9fdc4zQKlBC9		名詞
s0106b505	sj_w00028	新26-55	昱	単字	阿支良加尓	アキラカニ（昱）	昱		01b51	7	あきらかに	✓	2002000bd3ab14YB8jV2		形容動詞
s0106b505	sj_w00029	新26-55	昱	単字	弖留	テル（昱）	昱	氐留	01b51	7	てる	listed	200202ea8ffe688xDT0y		動詞
s0106b601	sj_w00030	新26-61	曛	単字	由不戸	ユフヘ（曛）				7	ゆふへ	listed	200204451298hwOk547Z		名詞
s0106b603	sj_w00031	新26-63	晟	単字	加〻也久	カカヤク（晟）	晟	加〻也久	01b52	7	かかやく	listed	200200c2102eKuiCBV02		動詞
s0106b603	sj_w00032	新26-63	晟	単字	弖留	テル（晟）	晟	氐留	01b52	7	てる	listed	200202ea8ffe688xDT0y		動詞
s0106b802	sj_w00033	新26-82	昇	単字	須〻牟	ススム（昇）	昇	須〻牟	01b61	8	すすむ	✓	20020249ae273wf5sHJZ		動詞
s0106b803	sj_w00034	新26-83	晷	単字		カゲ（晷）	晷	加介	01b62	8	かげ	listed	200200c9a8e5z1D85ZL1		名詞
s0107a103	sj_w00035	新27-13	⿰日䨱	単字	豆支己毛利	ツキゴモリ（⿰日䨱）	⿰日䨱	豆支己毛利	01b71	8	つきごもり	✓	200202cfca02cJuN504E		名詞
s0107a204a	sj_w00036	新27-24	暉暈	異体字	弖良須	テラス（暉暈）	暉暈輝煇	氐良須	01b81	8	てらす	listed	200202ea18d8PviloTP4		動詞
s0107b205	sj_w00037	新28-25	曠	単字	久毛留	クモル（曠）	曠	久毛留	02a11	10	くもる	日国表記未収	200201467f38JAeGONwd		動詞
s0107b501	sj_w00038	新28-51	𣅊	単字	豆久己毛利	ツクゴモリ（𣅊）				10	つくごもり	no entry	N/A		名詞
s0107b504	sj_w00039	新28-54	曜	単字	加久須	カクス（曜）	曜耀	加久須	02a21	10	かくす	listed	200200c71445ummUiEjd		動詞
s0107b504	sj_w00040	新28-54	曜	単字		ツクゴモリ（曜）	曜耀	豆久己毛利	02a21	10	つくごもり	no entry	N/A		名詞
s0107b504	sj_w00041	新28-54	曜	単字	弖良須	テラス（曜）	曜耀	氐良須	02a21	10	てらす	listed	200202ea18d8PviloTP4		動詞
s0108a102	sj_w00042	新29-12	昢	単字	阿加止支	アカトキ（昢）	昢	阿加止支	02a12	11	あかとき	listed	200200088b24HV93s76P		名詞
s0108a103	sj_w00043	新29-13	旭	単字		アカトキ（旭）	旭	阿加止支	02a31	11	あかとき	listed	200200088b24HV93s76P		名詞
s0108a103	sj_w00044	新29-13	旭	単字	日乃弖留	ヒノテル（旭）	旭	日乃氐留	02a31	11	ひのてる	no entry	N/A	名詞（ヒ）＋格助詞（ノ）＋動詞（テル）；Head: テル；	連語（定義・主従関係）
s0108a301	sj_w00045	新29-31	昕	単字	阿志太	アシタ（昕）	昕	阿志太	02a41	11	あした	listed	200200133911kMJ8202E		名詞
s0108a301	sj_w00046	新29-31	昕	単字	於保阿加止支	オホアカトキ（昕）	昕	於保安加止支	02a41	11	おほあかとき	✓（あか‐とき 【暁】にもあり）	2002008c7bf4E83J8be0		名詞
s0108a401	sj_w00047	新29-41	晛	単字	比乃加佐	ヒノカサ（晛）	晛㬗	比乃加佐	02a42	12	ひのかさ	✓	2002037bcb06rF3O2S92	名詞（ヒ、日）＋格助詞（ノ）＋名詞（カサ）；Head: カサ；「晛」は注に「日見、暉也」とあるが、「日見」は説文に同文あり、日があらわれる意。「暉」はひかる意（説文「光也」）で類義だが、「暈」は宋本玉篇「日月旁氣也」とあるように日月の周囲に出る光の環のこと。和訓「ヒノカサ」は「暈」の字義に対応。	連語（名詞句）
s0108a703	sj_w00048	新29-73	㬤	単字	志保牟	シボム（㬤）	𠼱	志保牟	02a51	12	しぼむ	日国表記未収	200201f4a5f8lKcQIT57	【校勘・誤写】原文「𪱀」は「㬤」の誤写。万象名義「㬤：丘及反。欲乾也」とある。	動詞
s0108a704	sj_w00049	新29-74	暍	単字	阿豆加布	アツカフ（暍）	暍	阿豆加布	02a51	12	あつかふ	✓	20020018877aG6u5n3H6		動詞
s0108a801	sj_w00050	新29-81	晡	単字	由不佐利	ユフサリ（晡）	晡	由不佐利	02a52	12	ゆふさり	✓	20020442de1d4y95oVXW		名詞
s0108a802	sj_w00051	新29-82	暾	単字	阿志太	アシタ（暾）	暾⿰日泉旽	阿志太	02a71	12	あした	✓	200200133911kMJ8202E		名詞
s0108a802	sj_w00052	新29-82	暾	単字	豆止女天	ツトメテ（暾）	暾⿰日泉旽	豆止女天	02a71	12	つとめて	✓	200202d5dcd6G5Z602lA		名詞
s0108b403	sj_w00053	新30-43	曇	単字	久毛礼利	クモレリ（曇）	曇	久毛礼利	02a62	13	くもれり	日国「くもる」	200201467f38JAeGONwd		動詞
s0108b602	sj_w00054	新30-62	景	単字	テラス	テラス（景）				14	てらす	listed	200202ea18d8PviloTP4		動詞
s0109a602	sj_w00055	新31-62	㫡	単字		アカトキ（㫡）	㫡	阿加止支	02a32	15	あかとき	listed	200200088b24HV93s76P	天治本・享和本ともに「⿱日各」に作るを改める。「アカトキ（曉）」は「冬」の字義に合わず。「⿱日各」は「𭥵」「㫥」と同字とすれば、「㫥」に「日暗」（集韻）の字義あり、これに対応する。	名詞
s0109b503	sj_w00056	新32-53	期	単字	阿比牟須比波加留	アヒムスビハカル（期）	期	阿比牟須比波加留	02b11	17	あひむすびはかる	no entry	N/A	動詞（アヒムスブ、四段連用形）＋動詞（ハカル）；Head: ハカル；	連語（動詞句）
s0110a204	sj_w00057	新33-24	胡	単字	太加不	タガフ（胡）	胡	太加不	02b21	17	たがふ	listed	2002029679a5fkKcmK1s		動詞
s0110a601	sj_w00058	新33-61	榺	単字	支奴於留戸	キヌオルヘ（榺）	榺	支奴於留戸	02b22	18	きぬおるへ	✓へ	200203c0aa0bKfAM0JxT	名詞（キヌ）＋動詞（オル、連体形）＋名詞（ヘ、綜）；Head: ヘ；機（はた）の経（たていと）をひきのばしてかけておくもの。	連語（名詞句）
s0110a602	sj_w00059	新33-62	縢	単字	牟加波支	ムカバキ（縢）	縢	牟加波支	02b31	18	むかばき	✓	2002040ff29153S0f0EM		名詞
s0110b103	sj_w00060	新34-13	腨	単字	古牟良	コムラ（腨）	腨	古牟良	02b51	19	こむら	listed	200201a2891eAndljo7f		名詞
s0110b103	sj_w00061	新34-13	腨	単字	波支	ハギ（腨）	腨	波支	02b51	19	はぎ	listed	20020356a6273A3gpYSz		名詞
s0110b306	sj_w00062	新34-36	股	単字	宇豆毛〻	ウツモモ（股）	股	宇豆毛〻	02b61	19	うつもも	✓	2002006acbd9nkSpne2e		名詞
s0110b402	sj_w00063	新34-42	膁	単字	馬乃志不支	ウマノシブキ（膁）	膁	鳥乃志不支	02b62	20	うまのしぶき	no entry	N/A	名詞（ウマ）＋格助詞（ノ）＋名詞（シブキ）；Head: シブキ；	連語（名詞句）
s0110b503	sj_w00064	新34-53	肬	単字	伊比保	イヒボ（肬）	肬疣	伊比保	02b71	20	いひぼ	listed	2002002f3d91U1Q78n8U		名詞
s0110b801	sj_w00065	新34-81	𦙠	単字	手豆牟	テツム（𦙠）	胝	#牟豆牟	02b81	20	てつむ			名詞（テ、手）＋動詞（ツム、積・詰・連用形名詞化）；Head: ツム；「𦙠」は「胝（たこ・まめ）」の異体字。「テツム」の「テ」は「手」。「ツム」は「積む（堆積する）」あるいは「詰む（硬く締まる）」の意。「手の皮膚が積み重なって厚く硬くなったもの」を指す。享和本の「ムツム」は、「テ（手）」を「ム（牟）」と誤写したものと考えられる。『日国』が「睦む」とするのは不適切である。	名詞（複合名詞）
s0110b801	sj_w00066	新34-81	𦙠	単字	#手豆牟	ムツム（𦙠）	胝	牟豆牟	02b81	20	むつむ	✓享和本	20020415d3d93U6tA6a7	「𦙠」は「胝（たこ・まめ）」の異体字。「テツム」の「テ」は「手」。「ツム」は「積む（堆積する）」あるいは「詰む（硬く締まる）」の意。「手の皮膚が積み重なって厚く硬くなったもの」を指す。享和本の「ムツム」は、「テ（手）」を「ム（牟）」と誤写したものと考えられる。『日国』が「睦む」とするのは不適切である。	動詞（誤訓）
s0111a202	sj_w00067	新35-22	腭	単字	波之志	ハシシ（腭）	腭齶	波志之	03a11	21	はしし	listed	2002035c7fc4bx37Yel3		名詞
s0111a301	sj_w00068	新35-31	胴	単字	波良布止志	ハラフトシ（胴）	胴	波良布止志	03a12	21	はらふとし	no entry	N/A	名詞（ハラ）＋形容詞（フトシ）；Head: フトシ；宋本玉篇・広韻「大腸」とあるが、篆隷万象名義「腹也」、新撰字鏡「大腹」とあり、これによる和訓。	連語（定義・主従関係）
s0111a302	sj_w00069	新35-32	脾	単字	牟〻	ムム（脾）	脾⿰肉畀髀䠋	#毛〻	03a21	21	むむ	no entry	N/A	「モモ（股）」のことと思われるが、未勘。	名詞
s0111a302	sj_w00070	新35-32	脾	単字	#牟〻	モモ（脾）	脾⿰肉畀髀䠋	毛〻	03a21	21	もも	listed	2002042cc0346S7LHiBM		名詞
s0111a303	sj_w00071	新35-33	䏶	単字	母〻	モモ（䏶）	䏶	毛〻	03a22	21	もも	listed	2002042cc0346S7LHiBM		名詞
s0111a402	sj_w00072	新35-42	肛	単字	波良加太久波留	ハラカタクハル（肛）	肛	波良加太久波留	03a31	22	はらかたくはる	no entry	N/A	名詞（ハラ、腹）＋形容詞（カタク、連用形）＋動詞（ハル、張・四段終止形）；Head: ハル；「肛」は現代では肛門を指すが、古くは「胮肛（脹大）」の意で用いられた。『新撰字鏡』の注「腹堅也」を翻訳した定義訓。「ハル（張）」だけでなく「カタク（堅）」を補うことで、腹部が硬く張り詰めた状態（鼓脹など）を的確に描写している。	連語（定義・主述関係）
s0112b404	sj_w00073	新38-44	膷	単字	牛羹	ウシノアツモノ（膷）				27	うしのあつもの			名詞（ウシ）＋格助詞（ノ）＋名詞（アツモノ）；Head: アツモノ；	名詞
s0112b603	sj_w00074	新38-63	膀	単字	加太保祢	カタホネ（膀）	膀	加太保祢	03a51	28	かたほね	✓享和本	200200d8cc2bH2p29iJv		名詞
s0112b604	sj_w00075	新38-64	胲	単字	#足乃豆万毛止	アシノオホユビノツマモト（胲）	胲	足乃大指乃豆万毛止	03a41	28	あしのおほゆびのつまもと			名詞（アシ）＋格助詞（ノ）＋名詞（オホユビ）＋格助詞（ノ）＋名詞（ツマモト）；Head: ツマモト；	名詞
