# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本. 
# anonymous Buddhist monk, the latter half of the 12th century.
#
# Version: 1.1.97
# Date: 2024-06-11
# Last update : 2025-03-17
#
# Copyright (c) 2024-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# KRM Format information:
# KRID_wakun_no: Serial number assigned to each Japanese reading (wakun) annotation within an item (item serial No. + wakun serial No.). A suffix (b, c, …) is added for branching Japanese reading annotations.
# KR2ID: The ID number assigned based on its location in the Kazama edition
# Entry: Hanzi glyph of the headword
# Def: Definitional annotation through Japanese reading (wakun)
# Word_form: Normalized form of a Japanese reading annotation (wakun)
# Wakun_Hanzi: Wakun in katakana, with its Hanzi form parenthesized
# Wakun_variant: Katakana wakun variation added to the primary form (usually added to the left or right side). If incorrect wakun are corrected, an arrow (←) is precedes the incorrect reading.
# Hanzi_variant: Hanzi variant glyphs
# JK_ID: ID in the Nihon Kokugo Daijiten (2e), The Shogakukan Japanese dictionary, Japanknowledge edition
# Remarks: Editor's notes
#
# Abbreviations:
# 正宗索引: 正宗敦夫編, 類聚名義抄 仮名索引, 日本古典全集刊行会, 1939-1940
# 岡田研究: 岡田希雄, 類聚名義抄の研究, 一条書房, 1944
# 望月和訓集成: 望月郁子編, 類聚名義抄: 四種声点付和訓集成, 笠間書院, 1974
# 中村文選: 中村宗彦, 九条本文選古訓集, 風間書房, 1983
# 草川和訓集成: 草川昇編, 五本対照類聚名義抄和訓集成, 汲古書院, 2000
# 西端誤写考察: 西端幸雄, 類聚名義抄における誤写の考察, 訓点語と訓点資料45, 1971
# 西端誤写諸例: 西端幸雄, 類聚名義抄における誤写の諸例, 訓点語と訓点資料52，1973
# 略注: 佐藤喜代治，色葉字類抄略注，明治書院，1995
# 群書治要: 小林芳規・原卓志・山本秀人・山本真吾・佐々木勇編, 宮内庁書陵部蔵本群書治要経部語彙索引, 汲古書院, 1996
# 毛詩鄭箋: 毛詩鄭箋（一）（二）（三）, 古典研究会叢書漢籍之部１～３, 原本所蔵静嘉堂文庫, 汲古書院, 1992
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publishment of the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500.
#
KRID_wakun_no	KR2ID	Entry	Def	Word_form	Wakun_Hanzi	Wakun_variant	Hanzi_variant	JK_ID	Remarks
F00010_01	K0100153	盗／ー（人）	ヌスヒト	ぬすびと	ヌスビト（盗人）			2002033d2fca41n2IweW	高山寺本(3オ6)「ヌルヒト(LLL"L)」。中村文選(629頁・上書)「盗[ヌスヒトニ]」。草川和訓集成「ヌスヒト」で立項、高山寺本の挙例に(ママ)を付す。
F00011_01	K0100154	不／良／人	同上	ぬすびと	ヌスビト（不良人）			2002033d2fca41n2IweW	日国「あから‐さま」の補注(2)に「地」は助字で、本来明らかなさまを表し、平安時代以降、記録体に多用されるとする。順徳天皇撰禁秘抄「白地アカラサマニモ」（佐藤色葉略注114頁）は、巻上禁中事・賢所に見える。舩城俊太郎「三巻本色葉字類抄に見いだされる唐時代の白話語の熟語」白氏文集に用例ない例⑳、金沢文庫本白氏文集「白地蔵」に「カクレアソヒ・アラハナルトコロヘ」、白氏文集に副詞「白地」は存しないか、誤読解による訓かとする。
F00012_01	K0100161	毛／ー（人）	ヱヒス	えびす	エビス（毛人）			2002007f6800iDQ6vrjW	
F00013_01	K0100162	白／ー（人）	シレモノ	しれもの	シレモノ（白人）			2002022ef48ecJNS9dGp	
F00014_01	K0100163	桃／ー（人）	モヽノサネ(@@@LL)	もものさね	モモノサネ（桃人）			2002042cc7489Zi7S429	高山寺本(3オ6)「モヽノサネ(HHHLL)」。「ネ」は原文「尒」。声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、32頁、2017年）。
F00015_01	K0100164	ー（人）／參	カノニケクサ(LLLL"H"L)	かのにげぐさ	カノニゲグサ（人參）			200200e2fa196d6M4v4k	蓮成院本(上1・1オ2)「カノニケクサ(LLHL"H"L)」。
F00016_02	K0100171	佛	ホノカナリ	ほのかなり	ホノカ（佛）			200203e19b0aS2G72RmI	新撰字鏡「保乃加尓」。「ホノカナリは次条仿佛に応ずる訓であろうからこの位置は適当ではない」（中村宗彦「類聚名義抄和訓の定位」14頁）。
F00016_04	K0100171	佛	ホトケ	ほとけ	ホトケ（佛）			200203e0a05bBOUIZvTu	蓮成院本(ウ1・1オ2)「ホトケ(LLL)」。
F00016_05	K0100171	佛	ヲホキニス-ナリ(LLHHH-@@)	おほきにす	オホキニス（佛）	オホキ（佛）		2002008dedc90gl611c8	高山寺本(3オ3)「オホキニス(LLHLH)」。詩経・周頌・敬之「佛時仔肩、示我顯德行」が典拠（伝・佛、大也。箋、佛、輔也」。「『詩』のこの箇所のみにおいて成立する特殊訓であるから到底一般的な通用訓とはなり難い」（中村宗彦「類聚名義抄和訓の定位」14頁）。声点の位置に言及（佐藤栄作「カタカナの字体から見た声点とその位置」『論集』13、32頁、2017年）。
F00016_05b	K0100171	佛	ヲホキニス-ナリ(LLHHH-@@)	おほきなり	オホキ（佛）	オホキニス（佛）		2002008dedc90gl611c8	
F00016_06	K0100171	佛	タチマチ	たちまち	タチマチ（佛）			200202a0983d122VnbUN	
F00016_08	K0100171	佛	タスク(LLH)	たすく	タスク（佛）			2002029da95edAdXmZf1	字類抄同訓「助タスク」、詩・周頌・敬之「佛タスケテ時コノ仔肩」注「佛。輔也」（タ・人事、略注431頁）。
F00018_01	K0100181	仿／佛	ホノカナリ	ほのかなり	ホノカ（仿佛）			200203e19b0aS2G72RmI	中村文選(353頁・海)「仿佛(ト)[ホノカニシ]」。日国「ほの‐か 【仄─・側─】」の表記に未収。
F00018_03	K0100181	仿／佛	*ホノカナリ	ほのかなり	ホノカ（仿佛）			200203e19b0aS2G72RmI	中村文選(353頁・海)「仿佛(ト)[ホノカニシ]」。日国「ほの‐か 【仄─・側─】」の表記に未収。
F00018_04	K0100181	仿／佛	ヲホツカナシ	おぼつかなし	オボツカナシ（仿佛）			200200a8b0d2pI94aB1E	和文語の例（築島裕「平安時代の訓点資料に見える「和文特有語」について」著作集6、167頁）。
F00018_05	K0100181	仿／佛	ナラフ	ならふ	ナラフ（仿佛）			200203292aa3on5zihjq	
F00018_06	K0100181	仿／佛	カタヒク	かたひく	カタヒク（仿佛）			200200d88d0e08XQc094	
F00018_07	K0100181	仿／佛	イカル	いかる	イカル（仿佛）			200200324792M186e57i	
F00020_01	K0100211	仿／像	ホノカナリ	ほのかなり	ホノカ（仿像）			200203e19b0aS2G72RmI	字類抄「像」に「ホノカ」、文選・海賦（古訓）「希世之所聞。悪イツクンソ審其名。故可仿像ホノカニシ其色靉靆ホノカニス其形」（略注154頁、162頁）。日国「ほの‐か 【仄─・側─】」の表記に未収。
F00022_02	K0100213	僧	カハラク(HHHL")	やはらぐ	ヤハラグ（僧）			20020440290cyq0Lt2Jf	蓮成院本(上1・1オ4)「ヤハラク」・高山寺本(3オ7)「ヤハラク(HHHS")」。正宗索引「カハラク」に「ヤハラクの誤か」、「やはらぐ」に「カハラクを訂す」。西端幸誤写諸例36頁①誤字203。日国「やわら・ぐ［やはらぐ］ 【和】」の表記に未収。
F00022_03	K0100213	僧	ネムコロ	ねむころ	ネムコロ（僧）			200203457f5bvL1U5kd9	「ネムコロ」の「ムコ」虫損だが判読容易。草川昇「五本対照類聚名義抄和訓集成全四巻を出版して」59頁に言及あり。日国「ねんごろ 【懇】」の表記「憎」で収録。
F00022_04	K0100213	僧	サトル	さとる	サトル（僧）			200201c1ec8f8QrKR7OQ	
F00024_03	K0100222	⿰亻胃	サソフ	さそふ	サソフ（⿰亻胃）			200201be9384h55fEFad	日国「さそ・う［さそふ］ 【誘】」の表記「𢔥」で収録か。
F00025_02	K0100223	倡	ウタヽヽヒ(HH@@L)	うたうたひ	ウタウタヒ（倡）			200200659b85saNOLzJ1	高山寺本(3ウ1)「ウタヽヽヒ(HHHHL)」。
F00025_03	K0100223	倡	ウタメ	うため	ウタメ（倡）			200200663157YZbxNrg7	高山寺本(3ウ1)「ウタメ(HHH)」。山本秀人「改編本類聚名義抄における増補された和訓の色葉字類抄との関係について」『高知大国文』31の例8。鄭按：金澤文庫本白氏文集巻12・334琵琶引に「ウタメ」あり
F00025_04	K0100223	倡	ウタフ	うたふ	ウタフ（倡）			200200659929M7R29NmF	中村文選(613頁・騒)「倡ウタフ」。
F00025_05	K0100223	倡	イサナウ(LL"@@)	いざなふ	イザナフ（倡）			20020037031c4z3E0udw	日国「イサナフ」の表記で採録。
F00025_06	K0100223	倡	アソフ	あそぶ	アソブ（倡）			200200167b1b771K8OcV	
F00025_07	K0100223	倡	マフ	まふ	マフ（倡）			200203e9addaTQu4xy4H	
F00025_08	K0100223	倡	ワサウタ(HH"@@)	わざうた	ワザウタ（倡）			200204804573Wh63vkK3	中村文選(272頁・上)「唱ワサウタ／(寛文)倡ワサウタ／(寛永)ワサヒト・ウタ」。字類抄同訓「倡ワサウタ」（略注267頁）。
F00026_01	K0100231	ー（倡）／導	イサナヒミチヒク(LL"HH@@@@)	いざなひみちびく	イザナヒミチビク（倡導）			N/A	原文「イサナヒ(改行)ミチヒク」正宗索引補正「イサナヒ」に「下のミチヒクにつゞくか」。蓮成院本「ー導　イサナヒミチヒク」と一行に書写。観智院本と高山寺本は「イサナヒ」と「ミチヒク」に分離して書写。西端誤写考察48-49頁。望月和訓集成「イサナヒ」で採録、草川和訓集成「イサナヒミチヒク」で採録。漢書王莽伝に「倡導在位」あり。日国未収。
F00027_01	K0100232	ー（倡）／女	ウタメ	うため	ウタメ（倡女）			200200663157YZbxNrg7	
F00028_02	K0100233	侶	トモ(HH)	とも	トモ（侶）			2002031002b9ETM8BTpF	
F00028_03	K0100233	侶	トモカラ	ともがら	トモガラ（侶）			20020310456028YOr4aT	中村文選(389頁・鸚)「侶トモカラヲ／(寛文)トモカラヲ」。字類抄「伿」に「伴トモカラ」の訓あるは、他字との混同か（略注198頁）。
F00029_02	K0100241	㐰	マコト	まこと	マコト（㐰）			200203edde30X8qz21S1	
F00030_02	K0100242	伿	コヽロ	こころ	ココロ（伿）			2002018ab915n56uC8Fy	正宗索引・草川和訓集成「コヽロモノウシ」で採録。日国「こころ 【心・情・意】」の表記に未収。
F00030_03	K0100242	伿	モノウシ	ものうし	モノウシ（伿）			2002042a78d9Xah0weT2	日国「もの‐う・い 【物憂・懶・慵】」の表記に未収。万象名義・広韻「惰也」。
F00031_02	K0100243	佋	テラス	てらす	テラス（佋）			200202ea18d8PviloTP4	「佋」は万象名義「昭也」とあるが、説文「廟佋穆。父為佋、南面。子為穆、北面」とあり廟の席次のこと、転じて父子長幼の序列の意。広韻「廟佋穆也。或作昭」とあり、「昭」に通じ「テラス」と読んだのであろう。
F00031_03	K0100243	佋	カロヽヽシ	かろがろし	カロガロシ（佋）			200200f27670Zy2s96W7	出所不審。日国「かろがろ‐し・い 【軽軽】」の表記に未収。
F00032_11	K0100251	偘／侃	タヽノトモ	たたのとも	タタノトモ（侃）		タタノトモ（偘）		原文「タヽ　ノトモ」。蓮成院本(上1・1オ6)「トモタヽ〈イ〉」。高山寺本(3ウ4)「トモ　タヽ」・。
F00033_02	K0100261	仁	キミ(HH)	きみ	キミ（仁）			20020116e6d1U1lXFc66	
F00033_03	K0100261	仁	ナムチ(HHH")	なむぢ	ナムヂ（仁）			2002032bfb6dgbzi7wU2	高山寺本(3ウ4)「ナムチ(LHH")」。
F00033_04	K0100261	仁	ヒト(HL)	ひと	ヒト（仁）			2002038b2b0dSG3SH587	
F00033_05	K0100261	仁	ウツクシフ(LL@@@)	うつくしぶ	ウツクシブ（仁）			20020069debbusdGkn21	高山寺本(3ウ4)「ウツクシフ(LLLHL")」。日国「うつくし‐・ぶ 【慈・愛】」の表記に未収。説文「親也」。
F00033_06	K0100261	仁	メクム	めぐむ	メグム（仁）			2002041d43464QGw1bAx	
F00033_07	K0100261	仁	ムツマシ	むつまし	ムツマシ（仁）			20020415ca69kDM2L5x5	高山寺本(84オ5)「ムツマシ(HH@@)」。
F00033_08	K0100261	仁	ヨシ	よし	ヨシ（仁）			2002044c35eecK16K1He	字類抄同訓「善ヨシ」（ヨ・辞字、略注402頁）。
F00033_09	K0100261	仁	ヨロコフ	よろこぶ	ヨロコブ（仁）			2002045b4782T59A0HGL	字類抄「似」に同訓「悦ヨロコフ」、字類抄「似」は「仁」の誤りか（ヨ・人事、略注400頁）。
F00033_10	K0100261	仁	ユルス	ゆるす	ユルス（仁）			2002044b511276oV7g12	日国「ゆる・す 【許・赦・聴・緩】」の表記に未収。
F00033_11	K0100261	仁	シノフ	しのふ	シノフ（仁）				
F00033_12	K0100261	仁	タフトシ	たふとし	タフトシ（仁）			200202fbc4f2Do7v3c9m	
F00034_01	K0100264	不／ー（仁）	カタネ(LLL)	かたね	カタネ（不仁）			200200d8504d7uw48fbt	
F00034_02	K0100264	不／ー（仁）	アシタヽス(LLLHL")	あしたたず	アシタタズ（不仁）			2002001358ebiQOR2ah5	
F00037_02	K0100273	仕	ツカフ(HHL)	つかふ	ツカフ（仕）			200202ce6490US4Gl5ir	字類抄同訓「仕ツカフ」（ツ・人事、略注535頁）。
F00037_03	K0100273	仕	ツカマツル(HL@@@)	つかまつる	ツカマツル（仕）			200202cea27fXvtmdO17	
F00037_04	K0100273	仕	ミヤツカヘ	みやづかへ	ミヤヅカヘ（仕）			2002040b45c66PqB5X8e	
F00037_05	K0100273	仕	ツモム	つもむ	ツモム（仕）				正宗索引補正「ツモム（仕）」。
F00038_02	K0100281	任	タヘタリ(LR@@、ヘ-フ)	たへたり	タヘタリ（任）	タフ（任）		20020295e88b6kut65BZ	「フ」朱筆。中村文選(79頁・西京)「任タヘ」。中村文選(327頁・登)「任タフ[アタル]」。中村文選(504頁・琴)「任スル[モチヒル]／(寛永)タフル」。
F00038_02b	K0100281	任	タヘタリ(LR@@、ヘ-フ)	たふ	タフ（任）	タヘタリ（任）		20020295e88b6kut65BZ	
F00038_03	K0100281	任	ヲホキナリ(LLHLL)	おほきなり	オホキ（任）			2002008dedc90gl611c8	高山寺本(3ウ5)「オホキナリ(LLHLH)」。詩・邶風・燕燕「仲氏任只、其心塞淵」注「任、大。塞、瘞。淵、深也」（「瘞」は一本に「實」、吉川幸次郎注『詩経国風上』による）、静嘉堂文庫本毛詩鄭箋巻2・64行「任ヲホイナリ「亻」平声(左)シンナリ「ケ」去声」「塞ミチ淵フカシ」。
F00038_04	K0100281	任	マカス(LLL)	まかす	マカス（任）			200203ead42fkN25B57z	高山寺本(3ウ6)「マウス(LLH)」。第二類動詞終止形語末の仮名に「東点のつけちがえの点」（望月和訓集成665頁）。
F00038_05	K0100281	任	マヽ(H@)	まま	ママ（任）			200203f5d2ebuC1D851D	高山寺本(3ウ5)「マヽ(HH)」。
F00038_06	K0100281	任	ホシイマヽ(LLH@@)	ほしいまま	ホシイママ（任）			200203db5d27xwf87tRQ	高山寺本(3ウ5)「ホシイマヽ(LLHHH)」。字類抄「恣ホシイママ」（略注158頁）。
F00038_07	K0100281	任	タモツ(HHL)	たもつ	タモツ（任）			200202a9f7b9KuMI65is	
F00038_08	K0100281	任	ハラム(LLH)	はらむ	ハラム（任）			2002037177589g8919Ju	
F00038_09	K0100281	任	アタル(HH@)	あたる	アタル（任）			200200181a5bdY5Dx8M9	高山寺本(3ウ6)「アタル(HHL)」。中村文選(327頁・登)「任タフ[アタル]」。字類抄同訓「當アタル」（ア・辞字）。
F00038_10	K0100281	任	タツ	たつ	タツ（任）			200202a0f4419jCJ8bMr	高山寺本(3ウ5)「タツ(LH)」。字類抄同訓「立タツ」（タ・辞字、略注447頁）。
F00038_11	K0100281	任	ヒテ	ひて	ヒテ（任）				
F00038_12	K0100281	任	ヲフ(L@)	おふ	オフ（任）			200200890a23Q426iy0P	新撰字鏡「負也」。中村文選(362頁・江)「任ヲヘルヿヲ[イタケルヿヲ]」。字類抄同訓「負オク」（「負」は「屓」に作る、オ・辞字）。
F00038_13	K0100281	任	マサ	まさ	マサ（任）			200203ee16d01EMRJ2Rb	
F00038_14	K0100281	任	モチイテ	もちゐる	モチヰル（任）			200204276d13riVKnejS	原文虫損。蓮成院本(上1・1ウ2)・高山寺本(3ウ6)「モテイテ」。中村文選(504頁・琴)「任スル[モチヒル]／(寛永)タフル」。正宗索引「モチイル」。草川和訓集成「モテイル」。
F00038_15	K0100281	任	イタク	いだく	イダク（任）			2002003d521aN8dMa9a6	中村文選(362頁・江)「任ヲヘルヿヲ[イタケルヿヲ]」。
F00038_16	K0100281	任	アツ	あつ	アツ（任）			2002001a54bc9c8o4THr	
F00040_02	K0100312	住	スム(LH)	すむ	スム（住）			2002025081dcaYSiq797	
F00040_03	K0100312	住	ハシム	はしむ	ハシム（住）			2002035d1175ou73t06e	
F00040_04	K0100312	住	タツ	たつ	タツ（住）			200202a0f4419jCJ8bMr	
F00041_01	K0100313	𠌃	スミカ	すみか	スミカ（𠌃）			2002024fabbfY5Ap9xBe	
F00041_02	K0100313	𠌃	トヽマル(HH"@@)	とどまる	トドマル（𠌃）			2002030c3eeb831tC9q6	日国「とどま・る 【止・停・留】」の表記に未収。
F00041_03	K0100313	𠌃	タハフル	たはぶる	タハブル（𠌃）			200202ac0674yyHAxTy9	
F00041_04	K0100313	𠌃	タマフ	たまふ	タマフ（𠌃）				日国「たま・う［たまふ］ 【賜・給・食】」の表記に未収。存疑。
F00041_05	K0100313	𠌃	ツク	つく	ツク（𠌃）				
F00042_02	K0100321	佳	ヨシ	よし	ヨシ（佳）			2002044c35eecK16K1He	中村文選(604頁・雑詩)「佳ヨシ」。訓点語彙集成に「ヨシ」の訓あり。
F00042_03	K0100321	佳	ヲホイナリ	おほいなり	オホイ（佳）	ヤスシ（佳）		2002008ca703RVU99BXl	廣雅・釈詁「佳、大也」。万象名義・広韻「大也」。日国「おおい［おほい］ 【大】」の表記に未収。
F00042_04	K0100321	佳	カス	やすし	ヤスシ（佳）	オホイ（佳）		200204359c2717D5tN2L	蓮成院本(上1・1ウ3)「ヤスシ」。高山寺本(3ウ7)「カスシ」。正宗索引「カス」に「やすしカ」、「やすし」に「底本カス、高山寺本今カスシと見ゆ。ヤスシの誤か、字鏡集ヤスシとあり」。草川和訓集成「カス」「ヤスシ」で立項。西端誤写諸例36頁①誤字184。
F00042_05	K0100321	佳	ミナ	みな	ミナ（佳）			200204074665fip57NeO	正宗索引「しな」に「ミナとあるはシナか」、「ミナ」に「シナか」。築島訓点語彙集成に「ミナ」あり。
F00042_06	K0100321	佳	フカシ	ふかし	フカシ（佳）				
F00042_07	K0100321	佳	フサヌ	ふさぬ	フサヌ（佳）			200203a9be47Yt5GlV4E	日国「ふさ・ぬ 【総】」の表記に未収。存疑。
F00043_02	K0100323	位	クラヰ	くらゐ	クラヰ（位）			20020146f530790YdeRm	高山寺本(3ウ7)「クラヰ(HHH)」。詩・大雅・韓奕「虔共爾位」伝「虔、固。共、執也」箋「古之恭字或作共」、静嘉堂文庫本毛詩鄭箋巻18・420行「虔カタク爾位クライヲ「亻」(左)ニ「ケ」共トレ「亻」(左)ウヤヽヽシカレ「ケ」」。
F00043_03	K0100323	位	イカタ(HHH)	いかた	イカタ（位）			2002003181f9oUhL3PBi	
F00043_05	K0100323	位	タヽ	ただ	タダ（位）			2002029e0690XpGp7eHm	字類抄「住」に「只タタ」、礼記・中庸「致中和。天地位焉。萬物育焉」注「位猶正也」、字類抄「住」は「位」の誤りか（タ・辞字、略注453頁）。
F00043_06	K0100323	位	ヒラ	ひら	ヒラ（位）			20020399486ffj51se8U	正宗索引「ヒラ（位）」に「ヒクと明治字典に出す」。正宗索引補正「ヒラ（位）」に「ヒクと明治字典に出すとあるを削る。ヒラのなのり伊呂波字類抄にも見ゆ」。
F00043_07	K0100323	位	ヨシ	よし	ヨシ（位）			2002044c35eecK16K1He	字類抄同訓「善ヨシ」（ヨ・辞字、略注405頁）。日国「よ・い 【良・善・好・吉・佳・宜】」の表記に未収。
F00044_02	K0100331	版／ー（位）	シルシノキ(HH@@@)	しるしのき	シルシノキ（版位）			2002022e8806p711W649	
F00045_02	K0100332	倚	ヨル(H@)	よる	ヨル（倚）			2002045adcbf1HwVi3Ru	高山寺本(4オ1)「□[ヨ]ル(□L)」。中村文選(26頁・西都)「倚ヨル」。
F00045_03	K0100332	倚	ヨリタテリ	よりたてり	ヨリタテリ（倚）			2002045a8db5zh8v08Bb	西端誤写考察は高山寺本「ヨリ(HL)　タテリ(L@@)」と判読し分離の例とする（51頁）。正宗索引「ヨリタテリ」で採録。
F00045_04	K0100332	倚	タノム(LLH)	たのむ	タノム（倚）			200202a5c3d9t5874g64	
F00045_05	K0100332	倚	カタフタ	かたふく	カタフク（倚）				蓮成院本(上1・1ウ4)・高山寺本(4オ1)「カタフク」。正宗索引「カタフタ（く）」。西端誤写諸例36頁①誤字193。
F00045_06	K0100332	倚	ヨセタツ	よせたつ	ヨセタツ（倚）			2002045594d3ZDTSsD2q	中村文選(597頁・古楽)「𠋣ヨセタテ」。字類抄同訓「倚ヨセタツ」（略注418頁）。
