# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_main.tsv
#
# Version: 1.2.6
# Date: 11 March 2022
# Last update : 11 May 2025
#
# This file is a new version of KRM.tsv with updated specifications.
# The version number of KRM.tsv was 1.1.347, and it was last updated on March 17, 2025.
# This new version has been renamed to krm_main.tsv and will start with version 1.2.0.
#
# Copyright (c) 2022-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# entry_id	A heading item ID formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# hanzi_id	A heading Hanzi ID consisting of a 5-digit numeric ID starting with 'S'. For some added entry items, a 'b' suffix is appended.
# kazama_location	An ID indicating K + Volume (2 digits) + Kazama Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# tenri_location	An ID indicating T + Volume (a/b/c) + Tenri Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# volume_name	Name of the volume, consisting of 10 volumes: 仏上, 仏中, 仏末本, 仏末下, 法上, 法中, 法下, 僧上, 僧中, and 僧下.
# radical_name	Hanzi name of the radical, consisting of 160 radicals ranging from 人 to 雑, used to classify Hanzi characters.
# volume_radical_index	Volume and radical number, ranging from v1#1 to v10#120, indicating the location of the entry within the text.
# hanzi_entry	Corrected hanzi are principally in the Kangxi Dictionary form. Unicode simplified characters (common-use characters, popular variants) may also be retained. Multiple-kanji headwords are separated by / (full-width slash). The abbreviation symbol "｜" is represented by "ー" (long vowel mark), with the corresponding character in parentheses.
# original_entry	Headword close to original form. Errors as is. Non-Unicode variants: IDS or ■. Like hanzi_entry, "〇" if no original-glyph headword needed.
# definition	Includes glyph annotations, pronunciation annotations, meaning annotations, Japanese readings (wakun), and other relevant notes, separated by spaces. As a general rule, character forms included in the "Kangxi Dictionary style" should be used.
#
#   Abbreviations:
#   正宗索引: 正宗敦夫編『類聚名義抄 仮名索引』日本古典全集刊行会，1939-1940
#   望月和訓集成: 望月郁子編『類聚名義抄：四種声点付和訓集成』(笠間索引叢刊44)笠間書院，1974
#   草川和訓集成: 草川昇編『五本対照類聚名義抄和訓集成』汲古書院，2000
#   西端誤写考察: 西端幸雄「類聚名義抄における誤写の考察」『訓点語と訓点資料』45，1971
#   西端誤写諸例: 西端幸雄「類聚名義抄における誤写の諸例」『訓点語と訓点資料』52，1973
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500 and 25K00466.
#
entry_id	hanzi_id	kazama_location	tenri_location	volume_name	radical_name	volume_radical_index	hanzi_entry	original_entry	definition
F00042	S00063	K01003210	Ta025210	仏上	人	v1#1	佳	〇	音家（L）　ヨシ　ヲホイナリ　カス　ミナ　フカシ　フサヌ　和クヱ（LH）　ケイ（LH）
F00043	S00064	K01003230	Ta025230	仏上	人	v1#1	位	〇	胡愧反　クラヰ　イカタ（HHH）　鑄器　タヽ　ヒラ　ヨシ　和ヰ（L）
F00044	S00065	K01003311	Ta025311	仏上	人	v1#1	版／ー（位）	■／〇	◎版「ヘム」　シルシノキ（HH___）
F00045	S00067	K01003320	Ta025320	仏上	人	v1#1	倚	倚	音猗（H）「イ」　ヨル（H_）　ヨリタテリ　タノム（LLH）　カタフタ　ヨセタツ　ヨリイル　ヒヽム　ヨリフス
F00046	S00068	K01003411	Ta025411	仏上	人	v1#1	徒／ー（倚）	〇／〇	タヽスム（LHHVL）　ヨロホフ
F00047	S00070	K01003421	Ta025421	仏上	人	v1#1	ー（倚）／子	〇／〇	イシ
F00048	S00072	K01003430	Ta025430	仏上	人	v1#1	倍	〇	薄乃（HV）「タイ」反　マサル-ス（__L-_）　マスヽヽ　ソムク（LLH）　ヘク（LHV）　イカタ　イハフ　ハムヘリ　ツカフ　アト　イラヽヽ　*アツヽカへ　マヽ　和ハイ（_R）　ヘ　ソムク
F00049	S00073	K01003521	Ta025521	仏上	人	v1#1	ー（倍）／羅／麼	〇／〇／〇	ホロノハ　鳥棭羽
F00050	S00076	K01003530	Ta025530	仏上	人	v1#1	佞	侒	音濘（R）　ヘツラフ　カタマシ（マ-ム）　ミタリカハシ　オコツル　アサムク　イツハル
F00051	S00077	K01003611	Ta025611	仏上	人	v1#1	佞／倿	⿰亻⿱亠女／〇	二俗
F00052	S00079	K01003620	Ta025620	仏上	人	v1#1	偣	〇	俗懕字　於占反　靜也
F00053	S00080	K01003630	Ta025630	仏上	人	v1#1	億	〇	音憶「ヨク」　ヲク　十万　ヲモフ　ヲモハカル　カナラス
F00054	S00081	K01003710	Ta025710	仏上	人	v1#1	僮	〇	音童（RV）　ヤツカレ　ヤツコ　ワラへ（LL_）　カタイナシ　ツカヒ人　ツク　マツ
F00055	S00082	K01003731	Ta025731	仏上	人	v1#1	停／ー（僮）	〇／〇	マトヤカナリ（LLHL__）　上音庭　トヽマル（HHV__、マ-ム）　トヽコホル　ヤム　ヤスム　ヤトル　ヒトシ　ツヽヰル
F00056	S00084	K01003810	Ta025810	仏上	人	v1#1	⿰亻享	〇	俗停字
F00057	S00085	K01003820	Ta025820	仏上	人	v1#1	傍	〇	音房（L）　カタハラ（LL__）　ソフ（HL）　カタヽヽ（HH__）　ソハ　アマネシ-ク　チカシ　ホトリ　ナラフ　ヨル　ツク
F00058	S00086	K01004111	Ta026111	仏上	人	v1#1	傍／偟	〇／〇	ーートタチモトホル（__HHLHL）
F00059	S00088	K01004121	Ta026121	仏上	人	v1#1	仿／ー（偟）	〇／〇	同　下音皇　タチモトホル　*タチマチ　ホトコス
F00060	S00090	K01004140	Ta026140	仏上	人	v1#1	偙	〇	音帝　催問
F00061	S00091	K01004211	Ta026211	仏上	人	v1#1	㒒／僕	〇／〇	上俗下正　ヤツカレ（LHHL）　ヤツコ　ロレ（HH、ロ-ワ）　ツカフ　ツク　ユルナリ　蒲木反　ツフネ　マツ　マメス　和ホク（N_）
F00062	S00093	K01004241	Ta026241	仏上	人	v1#1	僕β	〇	俗　俗
F00063	S00094	K01004242	Ta026242	仏上	人	v1#1	僕γ	〇	或
F00064	S00095	K01004310	Ta026310	仏上	人	v1#1	僕δ	〇	正
F00065	S00096	K01004320	Ta026320	仏上	人	v1#1	栠	⿰亻⿱七木	女懍リム反　弱也
F00066	S00097	K01004330	Ta026330	仏上	人	v1#1	𡜟	倭	俗妊字
F00067	S00098	K01004340	Ta026340	仏上	人	v1#1	⿰亻⿱壬下	〇	俗弄字
F00068	S00099	K01004410	Ta026410	仏上	人	v1#1	𡔟	⿰亻儿𡈼	皮水反
F00069	S00100	K01004420	Ta026420	仏上	人	v1#1	凭	⿰亻⿱𡈼儿	俗　*ヨル
F00070	S00101	K01004430	Ta026430	仏上	人	v1#1	䋕	⿰亻⿱壬糸	又絍　如針反　又如鴆反
F00071	S00102	K01004440	Ta026440	仏上	人	v1#1	⿰亻⿱王⿱冖夗	〇	ナツマシ　オハフ
F00072	S00103	K01004510	Ta026510	仏上	人	v1#1	僀	〇	俗帶字
F00073	S00104	K01004520	Ta026520	仏上	人	v1#1	傡	〇	蒲迸「ヘイ」反　並也　又並音
F00074	S00105	K01004530	Ta026530	仏上	人	v1#1	𠊧	〇	今　ナホシ　トモ　トモシ
F00075	S00106	K01004540	Ta026540	仏上	人	v1#1	併	〇	蒲鼎（H）「テイ」反　ナラフ（_H_）　シカシナカラ　ソフ　トモ　アハス（LLH）　カクス　スフ　クロシ〈黒〉　カス　*ツラヌ　*アツマル　*スミ
F00076	S00107	K01004630	Ta026630	仏上	人	v1#1	𠋈	⿰亻弈	俗弈字
F00077	S00108	K01004640	Ta026640	仏上	人	v1#1	㑊	〇	肌及（S）反　又亦音
F00078	S00109	K01004710	Ta026710	仏上	人	v1#1	㑞	⿰亻⿱大廾	垂（L）音　又孕音　送（R）音
F00079	S00110	K01004721	Ta026721	仏上	人	v1#1	⿰亻𠳮／僑／⿰亻⿱有冋	〇／〇／〇	中下正　喬音　ヨル　高也
F00080	S00113	K01004740	Ta026740	仏上	人	v1#1	𠆧	〇	俗徒字
F00081	S00114	K01004810	Ta026810	仏上	人	v1#1	以	〇	音苡「イ」　モチヰル（LHHL）　コレヲモテ（HHH__）　モツ（LH）　モテス（LH_）　ヰテアリク（_L___）　トモニ（HH_）　ヲモフ　ヲモンミレハ（ミレ-ミル）　ユへ（HL）　モチウ（LHL）　タメニ　不ス我トー□（ト）モ二セ　モテシケラシ（__L_LL）　ステニ　*アタフ　アフ　オモヘラク　和イ　モテスト云ナラシ（_____HHL）
F00082	S00115	K01005121	Ta027121	仏上	人	v1#1	㪽／ー（以）	〇／〇	ユヘ（LL）　コノユヘニ（HHHL_）
F00083	S00117	K01005131	Ta027131	仏上	人	v1#1	是／［以］	〇／〇	コヽヲモテ（HH___）
F00084	S00118	K01005140	Ta027140	仏上	人	v1#1	㐺	〇	音吟（LV）　又牛飲反
F00085	S00119	K01005210	Ta027210	仏上	人	v1#1	众	〇	俗　トモ
F00086	S00120	K01005220	Ta027220	仏上	人	v1#1	从	〇	從字　シタカフ
F00087	S00121	K01005230	Ta027230	仏上	人	v1#1	仌	〇	冫字也　鄙淩反
F00088	S00122	K01005240	Ta027240	仏上	人	v1#1	仍	〇	如陵反　又䚮　呉音乘　ナヲ-ホ　ヨル　スナハチ（LL__）　シキリニ　*アツシ　カサヌル　チナヒ　ツイテ　サラニ　マサ
F00089	S00123	K01005330	Ta027330	仏上	人	v1#1	⿰亻⿱乃人	〇	未詳
F00090	S00124	K01005340	Ta027340	仏上	人	v1#1	⿰亻盈	〇	音盈
F00091	S00125	K01005410	Ta027410	仏上	人	v1#1	𠆵	⿰亻孑	五奚（L）反　陽不知也
F00092	S00126	K01005420	Ta027420	仏上	人	v1#1	仔	〇	音子（H）　克也　タフ（LH）
F00093	S00127	K01005430	Ta027430	仏上	人	v1#1	𠊩	〇	［音］撰（H）　ツフサニ（LLV__）　ソナフ（LLH）　シリソク　ソネム　ミル　シメス（HLH）
F00094	S00128	K01005510	Ta027510	仏上	人	v1#1	僝	〇	ヒトシ
F00095	S00129	K01005520	Ta027520	仏上	人	v1#1	𠆵	〇	烏計反　佯不知也
F00096	S00130	K01005530	Ta027530	仏上	人	v1#1	伋	〇	音急（S）　人名　カタフク（LLHV_）
F00097	S00131	K01005540	Ta027540	仏上	人	v1#1	仮	〇	カタフク　タル
F00098	S00132	K01005610	Ta027610	仏上	人	v1#1	仅	〇	乃都（L）反　奴也　古好〔奴〕字
F00099	S00133	K01005620	Ta027620	仏上	人	v1#1	⿰亻叒	〇	ツヽル
F00100	S00134	K01005630	Ta027630	仏上	人	v1#1	㐸	〇	アイヒス（HHHV_）
F00101	S00135	K01005640	Ta027640	仏上	人	v1#1	似	〇	徐姉反　和音シ　ニタリ　ノル-レリ　コトシ　アエタリ　チカシ　トモカラ　ナラフ　ノリ　ミノトコロ　辰巳之巳　ツク
F00102	S00136	K01005731	Ta027731	仏上	人	v1#1	佀／⿰亻⿱吅九	〇／〇	上或下俗
F00103	S00138	K01005741	Ta027741	仏上	人	v1#1	如／似	〇／〇	ニタリ
F00104	S00140	K01005811	Ta027811	仏上	人	v1#1	不／ー（似）	〇／〇	シカシ
F00105	S00142	K01005820	Ta027820	仏上	人	v1#1	佽	〇	音次　トシ
F00106	S00143	K01005830	Ta027830	仏上	人	v1#1	攸	〇	音由　トコロ（HHH）　事也　辤也
F00107	S00144	K01005840	Ta027840	仏上	人	v1#1	修	〇	可見彳部　ヲサム　ヲコナフ　ツクル　カサル　カキル
F00108	S00145	K01006121	Ta028121	仏上	人	v1#1	ー（修）／理	〇／〇	ツクロフ（LLH_）
F00109	S00147	K01006130	Ta028130	仏上	人	v1#1	修	〇	ヲサム　カキル
F00110	S00148	K01006140	Ta028140	仏上	人	v1#1	脩	〇	可見彳部　ナカシ（_LV_）　*ホシヽ　サカナ　アフク
F00111	S00149	K01006220	Ta028220	仏上	人	v1#1	偱	⿲亻亻百	俗⿲彳亻頁字　音巡　シタカフ　メクル　ツフサニ
F00112	S00150	K01006240	Ta028240	仏上	人	v1#1	⿰亻⿱佰心	〇	ミナキハム
F00113	S00151	K01006310	Ta028310	仏上	人	v1#1	⿰亻⿱有心	〇	同歟
F00114	S00152	K01006321	Ta028321	仏上	人	v1#1	翛／倐／倏／翛β	〇／〇／〇／〇	上二俗　下二正　又儵字　音叔　和宿　《漢書》蕭音　速　疾也　*キユ
F00115	S00156	K01006411	Ta028411	仏上	人	v1#1	⿱翛立／𢢱	〇／〇	二或
F00116	S00158	K01006420	Ta028420	仏上	人	v1#1	𨁀	⿰亻⿰｜⿱攵豆	俗歟或歟
F00117	S00159	K01006431	Ta028431	仏上	人	v1#1	倐／忽	〇／〇	*アカラシマニ
F00118	S00161	K01006440	Ta028440	仏上	人	v1#1	儵	〇	今⿱𨤨灬字　音同上　タチマチ　シハシ　アカラサマ　スミヤカニ　シハラク　トシ　黒繒發色
F00119	S00162	K01006531	Ta028531	仏上	人	v1#1	⿲亻❘𤋱	〇	同
F00120	S00163	K01006532	Ta028532	仏上	人	v1#1	儵	⿲亻❘⿱攴黒	正
F00121	S00164	K01006541	Ta028541	仏上	人	v1#1	絛／𠍞	〇／〇	今正　他力反　絲繩反歟　物ノカミヲオホウ
F00122	S00166	K01006620	Ta028620	仏上	人	v1#1	鯈	〇	音條　魚如鷄赤尾六足四首音如鵲
F00123	S00167	K01006640	Ta028640	仏上	人	v1#1	條	〇	ヱタ（HHV）　ナカシ（LLV_）
F00124	S00168	K01006710	Ta028710	仏上	人	v1#1	䖺	〇	音條　ー䗤火虫
F00125	S00169	K01006720	Ta028720	仏上	人	v1#1	鞗	〇	クツワツラ
F00126	S00170	K01006730	Ta028730	仏上	人	v1#1	𠏤	⿰亻⿰丨⿱攵⿱玉貝	渠往（H）反　貝載戴噐
F00127	S00171	K01006740	Ta028740	仏上	人	v1#1	㒠	〇	下介（R）「カイ」反　《揚雄反》　陿也　陌也　隘也
F00128	S00172	K01006810	Ta028810	仏上	人	v1#1	𠎷	〇	先盍反　惡也
F00129	S00173	K01006820	Ta028820	仏上	人	v1#1	㚢	〇	古好〔奴〕字
F00130	S00174	K01006830	Ta028830	仏上	人	v1#1	侞	〇	而招（L）反　又如上〔音〕　*ニキハフ
F00131	S00175	K01006840	Ta028840	仏上	人	v1#1	倁	〇	俗知字
F00132	S00176	K01007110	Ta029110	仏上	人	v1#1	俰	〇	呼臥反　ヤハラク
F00133	S00177	K01007120	Ta029120	仏上	人	v1#1	伽	〇	音迦　ヨル　ユタカニ　和カ（N）
F00134	S00178	K01007130	Ta029130	仏上	人	v1#1	俐	〇	俗利字
F00135	S00179	K01007140	Ta029140	仏上	人	v1#1	𠎆	〇	俗發字
F00136	S00180	K01007210	Ta029210	仏上	人	v1#1	僜	〇	俗隆字歟
F00137	S00181	K01007220	Ta029220	仏上	人	v1#1	僊	⿰亻⿱西令	音鮮　ヒシリ（HHVL）　ヒト　マフ
F00138	S00182	K01007231	Ta029231	仏上	人	v1#1	仙	〇	俗
F00139	S00183	K01007232	Ta029232	仏上	人	v1#1	■／■	〇／〇	二或
F00140	S00185	K01007241	Ta029241	仏上	人	v1#1	⿰亻⿱西令	〇	今
F00141	S00186	K01007242	Ta029242	仏上	人	v1#1	𠑗	〇	正
F00142	S00187	K01007311	Ta029311	仏上	人	v1#1	神／仙	〇／〇	ノイキホトケ（_LLHVHH）
F00143	S00189	K01007320	Ta029320	仏上	人	v1#1	⿰亻𢙣	〇	俗涴字　烏臥反　汙也　ニクシ
F00144	S00190	K01007330	Ta029330	仏上	人	v1#1	偠	〇	音杳　細要
F00145	S00191	K01007340	Ta029340	仏上	人	v1#1	価	〇	ユク
F00146	S00192	K01007410	Ta029410	仏上	人	v1#1	𫣗	⿰亻⿱覀𢌿	無兖反
F00147	S00193	K01007420	Ta029420	仏上	人	v1#1	⿰亻⿱覀𤰞	〇	（無）
F00148	S00194	K01007430	Ta029430	仏上	人	v1#1	僄	〇	漂音　カロシ　*ナメシ　ウカフ
F00149	S00195	K01007441	Ta029441	仏上	人	v1#1	𠐆	〇	俗
F00150	S00196	K01007442	Ta029442	仏上	人	v1#1	⿰亻⿳覀二灬	〇	正
F00151	S00197	K01007511	Ta029511	仏上	人	v1#1	僄／狡	〇／〇	トヽキオ（_LLL）
F00152	S00199	K01007520	Ta029520	仏上	人	v1#1	什	〇	音十（S）　十也　アツム　マナフ　タスク　スケ　カナフ　*マシハル
F00153	S00200	K01007540	Ta029540	仏上	人	v1#1	⿰什彡	〇	俗滲字
F00154	S00201	K01007610	Ta029610	仏上	人	v1#1	仟	〇	音千（L）　千人長　ホヽ（LL）
F00155	S00202	K01007620	Ta029620	仏上	人	v1#1	仆	〇	音匐（S）「ホク」又赴　和ホク　フ　タフル（LH_）　フス-セリ
F00156	S00203	K01007640	Ta029640	仏上	人	v1#1	付	〇	音賦　ツク（LL）　サツク　アマハシ　アク　和平
F00157	S00204	K01007710	Ta029710	仏上	人	v1#1	休	〇	許尤（L）反　ヤスム-シ（LL_-_）　ヤム（HL）　イコフ（LL_）　ヨシ（LR）　ヰル　又呼交反　ヲコル　トヽマル　トヽノフ　和ク（L）
F00158	S00205	K01007741	Ta029741	仏上	人	v1#1	𠇾	koseki-007510	同
F00159	S00206	K01007742	Ta029742	仏上	人	v1#1	𠇾	〇	俗
F00160	S00207	K01007743	Ta029743	仏上	人	v1#1	𠇲	〇	正
F00161	S00208	K01007744	Ta029744	仏上	人	v1#1	休／息	〇／〇	イコフ（LLH）
F00162	S00210	K01007820	Ta029820	仏上	人	v1#1	伓	〇	普悲反　有力反　衆也
F00163	S00211	K01007830	Ta029830	仏上	人	v1#1	俖	〇	俗
F00164	S00212	K01007840	Ta029840	仏上	人	v1#1	㲻	〇	溺字　キヨシ（LL_）　タヽヨフ
F00165	S00213	K01008110	Ta030110	仏上	人	v1#1	㲻	〇	（無）
F00166	S00214	K01008120	Ta030120	仏上	人	v1#1	鵂	〇	休（L）音　鳥部
F00167	S00215	K01008131	Ta030131	仏上	人	v1#1	𪀪	〇	俗
