# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM:  Kanchi-in manuscript of the Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi-in copy 観智院本, reorganized edition 改編本.
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_headword_chars.tsv
#
# Version: 1.2.1 (latest, Newly released after the specification change)
# Date published: 11 May 2025
# Last modified: 11 May 2025
#
#
# Copyright (c) 2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# KRM format information:
# hanzi_id	A sequential ID assigned to each headword (single or multi-character) in the order of its appearance in the Myōgishō. It consists of a 5-digit numeric ID starting with 'S'.
# entry_id	A heading item ID (from krm_main) to which this character's headword belongs, formed by a 5-digit numeric ID starting with 'F'. For some added entry items, a 'b' suffix is appended.
# constituent_char	The constituent character itself. Abbreviation marks (ー) and iteration marks (〻) are converted to the actual characters they represent. Collated characters are, in principle, Kangxi Dictionary forms; the handling of Unicode new character forms (common-use forms, popular variants) is specified separately. For detailed collation notes, refer to krm_notes."
# character_order	Indicates the numerical order of appearance of the character within its headword entry.
# kazama_location_id	An ID indicating the location of this character in the Kazama Edition: K + Volume (2 digits) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# tenri_location_id	An ID indicating the location of this character in the Tenri Edition: T + Volume (a/b/c) + Page (3 digits) + Line (1 digit) + Segment (1 digit) + Character Order in Segment (1 digit).
# img_file_name	File name of the headword character image (including the .jpg extension). The main part of the file name consists of a 7-digit number for images from Volume 1 to Volume 9, and an 8-digit number for images from Volume 10. For 7-digit numbers, the first digit indicates the volume number; for 8-digit numbers, the first two digits indicate Volume 10. The last 6 digits are based on the order of appearance, assigned according to a unique internal rule. Detailed documentation for this naming convention is not available as the work was completed over two decades ago. Null if no image is available.
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publish the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500 and 25K00466.
#
hanzi_id	entry_id	constituent_char	character_order	kazama_location_id	tenri_location_id	img_file_name
S00072	K0100343	倍	1	K01003430	Ta025430	1010430.jpg
S00073	K0100352	倍	1	K01003521	Ta025521	1010521.jpg
S00074	K0100352	羅	2	K01003522	Ta025522	1010522.jpg
S00075	K0100352	麼	3	K01003523	Ta025523	1010523.jpg
S00076	K0100353	佞	1	K01003530	Ta025530	1010530.jpg
S00077	K0100361	佞	1	K01003611	Ta025611	1010611.jpg
S00078	K0100361	倿	2	K01003612	Ta025612	1010612.jpg
S00079	K0100362	偣	1	K01003620	Ta025620	1010620.jpg
S00080	K0100363	億	1	K01003630	Ta025630	1010630.jpg
S00081	K0100371	僮	1	K01003710	Ta025710	1010710.jpg
S00082	K0100373	停	1	K01003731	Ta025731	1010731.jpg
S00083	K0100373	僮	2	K01003732	Ta025732	1010732.jpg
S00084	K0100381	⿰亻享	1	K01003810	Ta025810	1010810.jpg
S00085	K0100382	傍	1	K01003820	Ta025820	1010820.jpg
S00086	K0100411	傍	1	K01004111	Ta026111	1011111.jpg
S00087	K0100411	偟	2	K01004112	Ta026112	1011112.jpg
S00088	K0100412	仿	1	K01004121	Ta026121	1011121.jpg
S00089	K0100412	偟	2	K01004122	Ta026122	1011122.jpg
S00090	K0100414	偙	1	K01004140	Ta026140	1011140.jpg
S00091	K0100421	㒒	1	K01004211	Ta026211	1011211.jpg
S00092	K0100421	僕	2	K01004212	Ta026212	1011212.jpg
S00093	K01004241	僕β	1	K01004241	Ta026241	1011241.jpg
S00094	K01004242	僕γ	1	K01004242	Ta026242	1011242.jpg
S00095	K0100431	僕δ	1	K01004310	Ta026310	1011310.jpg
S00096	K0100432	栠	1	K01004320	Ta026320	1011320.jpg
S00097	K0100433	𡜟	1	K01004330	Ta026330	1011330.jpg
S00098	K0100434	⿰亻⿱壬下	1	K01004340	Ta026340	1011340.jpg
S00099	K0100441	⿰亻儿𡈼	1	K01004410	Ta026410	1011410.jpg
S00100	K0100442	⿰亻⿱𡈼儿	1	K01004420	Ta026420	1011420.jpg
S00101	K0100443	䋕	1	K01004430	Ta026430	1011430.jpg
S00102	K0100444	⿰亻⿱王⿱冖夗	1	K01004440	Ta026440	1011440.jpg
S00103	K0100451	僀	1	K01004510	Ta026510	1011510.jpg
S00104	K0100452	傡	1	K01004520	Ta026520	1011520.jpg
S00105	K0100453	𠊧	1	K01004530	Ta026530	1011530.jpg
S00106	K0100454	併	1	K01004540	Ta026540	1011540.jpg
S00107	K0100463	𠋈	1	K01004630	Ta026630	1011630.jpg
S00108	K0100464	㑊	1	K01004640	Ta026640	1011640.jpg
S00109	K0100471	㑞	1	K01004710	Ta026710	1011710.jpg
S00110	K0100472	⿰亻𠳮	1	K01004721	Ta026721	1011721.jpg
S00111	K0100472	僑	2	K01004722	Ta026722	1011722.jpg
S00112	K0100472	⿰亻⿱有冋	3	K01004723	Ta026723	1011723.jpg
S00113	K0100474	𠆧	1	K01004740	Ta026740	1011740.jpg
S00114	K0100481	以	1	K01004810	Ta026810	1011810.jpg
S00115	K0100512	㪽	1	K01005121	Ta027121	1012121.jpg
S00116	K0100512	以	2	K01005122	Ta027122	1012122.jpg
S00117	K0100513	是	1	K01005131	Ta027131	1012130.jpg
S00117b	K0100513	以	2	K01005132	Ta027132	
S00118	K0100514	㐺	1	K01005140	Ta027140	1012140.jpg
S00119	K0100521	众	1	K01005210	Ta027210	1012210.jpg
S00120	K0100522	从	1	K01005220	Ta027220	1012220.jpg
S00121	K0100523	仌	1	K01005230	Ta027230	1012230.jpg
S00122	K0100524	仍	1	K01005240	Ta027240	1012240.jpg
S00123	K0100533	⿰亻⿱乃人	1	K01005330	Ta027330	1012330.jpg
S00124	K0100534	⿰亻盈	1	K01005340	Ta027340	1012340.jpg
S00125	K0100541	𠆵	1	K01005410	Ta027410	1012410.jpg
S00126	K0100542	仔	1	K01005420	Ta027420	1012420.jpg
S00127	K0100543	𠊩	1	K01005430	Ta027430	1012430.jpg
S00128	K0100551	僝	1	K01005510	Ta027510	1012510.jpg
S00129	K0100552	𠆵	1	K01005520	Ta027520	1012520.jpg
S00130	K0100553	伋	1	K01005530	Ta027530	1012530.jpg
S00131	K0100554	仮	1	K01005540	Ta027540	1012540.jpg
S00132	K0100561	仅	1	K01005610	Ta027610	1012610.jpg
S00133	K0100562	⿰亻叒	1	K01005620	Ta027620	1012620.jpg
S00134	K0100563	㐸	1	K01005630	Ta027630	1012630.jpg
S00135	K0100564	似	1	K01005640	Ta027640	1012640.jpg
S00136	K0100573	佀	1	K01005731	Ta027731	1012731.jpg
S00137	K0100573	⿰亻⿱吅九	2	K01005732	Ta027732	1012732.jpg
S00138	K0100574	如	1	K01005741	Ta027741	1012741.jpg
S00139	K0100574	似	2	K01005742	Ta027742	1012742.jpg
S00140	K0100581	不	1	K01005811	Ta027811	1012811.jpg
S00141	K0100581	似	2	K01005812	Ta027812	1012812.jpg
S00142	K0100582	佽	1	K01005820	Ta027820	1012820.jpg
S00143	K0100583	攸	1	K01005830	Ta027830	1012830.jpg
S00144	K0100584	修	1	K01005840	Ta027840	1012840.jpg
S00145	K0100612	修	1	K01006121	Ta028121	1013121.jpg
S00146	K0100612	理	2	K01006122	Ta028122	1013122.jpg
S00147	K0100613	修	1	K01006130	Ta028130	1013130.jpg
S00148	K0100614	脩	1	K01006140	Ta028140	1013140.jpg
S00149	K0100622	偱	1	K01006220	Ta028220	1013220.jpg
S00150	K0100624	⿰亻⿱佰心	1	K01006240	Ta028240	1013240.jpg
S00151	K0100631	⿰亻⿱有心	1	K01006310	Ta028310	1013310.jpg
S00152	K0100632	翛	1	K01006321	Ta028321	1013321.jpg
S00153	K0100632	倐	2	K01006322	Ta028322	1013340.jpg
S00154	K0100632	倏	3	K01006323	Ta028323	1013322.jpg
S00155	K0100632	翛β	4	K01006324	Ta028324	1013323.jpg
S00156	K0100641	⿱翛立	1	K01006411	Ta028411	1013411.jpg
S00157	K0100641	𢢱	2	K01006412	Ta028412	1013412.jpg
S00158	K0100642	𨁀	1	K01006420	Ta028420	1013420.jpg
S00159	K0100643	倐	1	K01006431	Ta028431	1013431.jpg
S00160	K0100643	忽	2	K01006432	Ta028432	1013432.jpg
S00161	K0100644	儵	1	K01006440	Ta028440	1013440.jpg
S00162	K01006531	⿲亻❘𤋱	1	K01006531	Ta028531	1013531.jpg
S00163	K01006532	儵	1	K01006532	Ta028532	1013532.jpg
S00164	K0100654	絛	1	K01006541	Ta028541	1013541.jpg
S00165	K0100654	𠍞	2	K01006542	Ta028542	1013542.jpg
S00166	K0100662	鯈	1	K01006620	Ta028620	1013620.jpg
S00167	K0100664	條	1	K01006640	Ta028640	1013640.jpg
S00168	K0100671	䖺	1	K01006710	Ta028710	1013710.jpg
S00169	K0100672	鞗	1	K01006720	Ta028720	1013720.jpg
S00170	K0100673	𠏤	1	K01006730	Ta028730	1013730.jpg
S00171	K0100674	㒠	1	K01006740	Ta028740	1013740.jpg
S00172	K0100681	𠎷	1	K01006810	Ta028810	1013810.jpg
S00173	K0100682	㚢	1	K01006820	Ta028820	1013820.jpg
S00174	K0100683	侞	1	K01006830	Ta028830	1013830.jpg
S00175	K0100684	倁	1	K01006840	Ta028840	1013840.jpg
S00176	K0100711	俰	1	K01007110	Ta029110	1014110.jpg
S00177	K0100712	伽	1	K01007120	Ta029120	1014120.jpg
S00178	K0100713	俐	1	K01007130	Ta029130	1014130.jpg
S00179	K0100714	𠎆	1	K01007140	Ta029140	1014140.jpg
S00180	K0100721	僜	1	K01007210	Ta029210	1014210.jpg
S00181	K0100722	僊	1	K01007220	Ta029220	1014220.jpg
S00182	K01007231	仙	1	K01007231	Ta029231	1014231.jpg
S00183	K01007232	〓	1	K01007232	Ta029232	1014232.jpg
S00184	K01007232	〓	2	K01007233	Ta029233	1014233.jpg
S00185	K01007241	⿰亻⿱西令	1	K01007241	Ta029241	1014241.jpg
S00186	K01007242	𠑗	1	K01007242	Ta029242	1014242.jpg
S00187	K0100731	神	1	K01007311	Ta029311	1014311.jpg
S00188	K0100731	仙	2	K01007312	Ta029312	1014312.jpg
S00189	K0100732	⿰亻𢙣	1	K01007320	Ta029320	1014320.jpg
S00190	K0100733	偠	1	K01007330	Ta029330	1014330.jpg
S00191	K0100734	価	1	K01007340	Ta029340	1014340.jpg
S00192	K0100741	⿰亻覃	1	K01007410	Ta029410	1014410.jpg
S00193	K0100742	⿰亻⿱覀𤰞	1	K01007420	Ta029420	1014420.jpg
S00194	K0100743	僄	1	K01007430	Ta029430	1014430.jpg
S00195	K01007441	𠐆	1	K01007441	Ta029441	1014441.jpg
S00196	K01007442	⿰亻⿳覀二灬	1	K01007442	Ta029442	1014442.jpg
S00197	K0100751	僄	1	K01007511	Ta029511	1014511.jpg
S00198	K0100751	狡	2	K01007512	Ta029512	1014512.jpg
S00199	K0100752	什	1	K01007520	Ta029520	1014520.jpg
S00200	K0100754	⿰什彡	1	K01007540	Ta029540	1014540.jpg
S00201	K0100761	仟	1	K01007610	Ta029610	1014610.jpg
S00202	K0100762	仆	1	K01007620	Ta029620	1014620.jpg
S00203	K0100764	付	1	K01007640	Ta029640	1014640.jpg
S00204	K0100771	休	1	K01007710	Ta029710	1014710.jpg
S00205	K01007741	𠇾	1	K01007741	Ta029741	1014741.jpg
S00206	K01007742	𠇾	1	K01007742	Ta029742	1014742.jpg
S00207	K01007743	𠇲	1	K01007743	Ta029743	1014743.jpg
S00208	K0100781	休	1	K01007744	Ta029744	1014744.jpg
S00209	K0100781	息	2	K01007810	Ta029810	1014810.jpg
S00210	K0100782	伓	1	K01007820	Ta029820	1014820.jpg
S00211	K0100783	俖	1	K01007830	Ta029830	1014830.jpg
S00212	K0100784	㲻	1	K01007840	Ta029840	1014840.jpg
S00213	K0100811	㲻	1	K01008110	Ta030110	1015110.jpg
S00214	K0100812	鵂	1	K01008120	Ta030120	1015120.jpg
S00215	K0100813	𪀪	1	K01008131	Ta030131	1015131.jpg
S00216	K0100814	何	1	K01008132	Ta030132	1015132.jpg
S00217	K0100823	如	1	K01008231	Ta030231	1015231.jpg
S00218	K0100823	何	2	K01008232	Ta030232	1015232.jpg
S00219	K0100824	何	1	K01008241	Ta030241	1015241.jpg
S00220	K0100824	如	2	K01008242	Ta030242	1015242.jpg
S00221	K0100831	何	1	K01008311	Ta030311	1015311.jpg
S00222	K0100831	若	2	K01008312	Ta030312	1015312.jpg
S00223	K0100832	何	1	K01008321	Ta030321	1015321.jpg
S00224	K0100832	哉	2	K01008322	Ta030322	1015322.jpg
S00225	K0100833	其	1	K01008331	Ta030331	1015331.jpg
S00226	K0100833	何	2	K01008332	Ta030332	1015332.jpg
S00227	K01008341	於	1	K01008341	Ta030341	1015341.jpg
S00228	K01008341	何	2	K01008342	Ta030342	1015342.jpg
S00229	K01008343	奈	1	K01008343	Ta030343	1015343.jpg
S00230	K01008343	何	2	K01008344	Ta030344	1015344.jpg
S00231	K0100841	奈	1	K01008411	Ta030411	1015411.jpg
S00232	K0100841	警	2	K01008412	Ta030412	1015412.jpg
S00233	K0100841	何	3	K01008413	Ta030413	1015413.jpg
S00234	K0100842	不	1	K01008421	Ta030421	1015421.jpg
S00235	K0100842	奈	2	K01008422	Ta030422	1015422.jpg
S00236	K0100843	云	1	K01008431	Ta030431	1015431.jpg
S00237	K0100843	何	2	K01008432	Ta030432	1015432.jpg
S00238	K0100851	何	1	K01008511	Ta030511	1015511.jpg
S00239	K0100851	人	2	K01008512	Ta030512	1015512.jpg
S00240	K0100852	何	1	K01008521	Ta030521	1015521.jpg
S00241	K0100852	因	2	K01008522	Ta030522	1015522.jpg
S00242	K0100853	何	1	K01008531	Ta030531	1015531.jpg
S00243	K0100853	緣	2	K01008532	Ta030532	1015532.jpg
S00244	K0100854	何	1	K01008541	Ta030541	1015541.jpg
S00245	K0100854	以	2	K01008542	Ta030542	1015542.jpg
S00246	K0100861	何	1	K01008611	Ta030611	1015611.jpg
S00247	K0100861	以	2	K01008612	Ta030612	1015612.jpg
S00248	K0100861	故	3	K01008613	Ta030613	1015613.jpg
S00249	K0100862	何	1	K01008621	Ta030621	1015621.jpg
S00250	K0100862	須	2	K01008622	Ta030622	1015622.jpg
S00251	K0100863	何	1	K01008631	Ta030631	1015631.jpg
S00252	K0100863	為	2	K01008632	Ta030632	1015632.jpg
S00253	K0100864	幾	1	K01008641	Ta030641	1015641.jpg
S00254	K0100864	何	2	K01008642	Ta030642	1015642.jpg
S00255	K0100871	何	1	K01008711	Ta030711	1015711.jpg
S00256	K0100871	焉	2	K01008712	Ta030712	1015712.jpg
S00257	K0100872	如	1	K01008721	Ta030721	1015721.jpg
S00258	K0100872	之	2	K01008722	Ta030722	1015722.jpg
S00259	K0100872	何	3	K01008723	Ta030723	1015723.jpg
S00260	K0100873	無	1	K01008731	Ta030731	1015731.jpg
S00261	K0100873	何	2	K01008732	Ta030732	1015732.jpg
S00262	K0100874	其	1	K01008741	Ta030741	1015741.jpg
S00263	K0100874	如	2	K01008742	Ta030742	1015742.jpg
S00264	K0100874	何	3	K01008743	Ta030743	1015743.jpg
S00265	K0100874	予	4	K01008744	Ta030744	1015744.jpg
S00266	K0100874	何	5	K01008745	Ta030745	1015745.jpg
S00267	K0100881	⿰亻哥	1	K01008810	Ta030810	1015810.jpg
S00268	K0100882	伺	1	K01008820	Ta030820	1015820.jpg
S00269	K0100883	侗	1	K01008830	Ta030830	1015830.jpg
S00270	K0100884	倜	1	K01008840	Ta030840	1015840.jpg
S00271	K0100911	侚	1	K01009111	Ta031111	1016111.jpg
S00272	K0100911	伨	2	K01009112	Ta031112	1016112.jpg
S00273	K0100914	𠋹	1	K01009140	Ta031140	1016140.jpg
S00274	K0100921	佝	1	K01009210	Ta031210	1016210.jpg
S00275	K0100922	仢	1	K01009220	Ta031220	1016220.jpg
S00276	K0100923	伆	1	K01009230	Ta031230	1016230.jpg
S00277	K0100924	⿰亻向	1	K01009240	Ta031240	1016240.jpg
S00278	K0100931	佰	1	K01009310	Ta031310	1016310.jpg
S00279	K0100932	伯	1	K01009320	Ta031320	1016320.jpg
S00280	K0100933	阿	1	K01009331	Ta031331	1016331.jpg
S00281	K0100933	伯	2	K01009332	Ta031332	1016332.jpg
S00282	K0100934	⿰亻旧	1	K01009340	Ta031340	1016340.jpg
S00283	K0100941	仇	1	K01009410	Ta031410	1016410.jpg
S00284	K0100943	𠆩	1	K01009430	Ta031430	1016430.jpg
S00285	K0100944	仉	1	K01009440	Ta031440	1016440.jpg
S00286	K0100951	⿰亻七	1	K01009510	Ta031510	1016510.jpg
S00287	K0100952	伍	1	K01009520	Ta031520	1016520.jpg
S00288	K0100954	俉	1	K01009540	Ta031540	1016540.jpg
S00289	K0100961	伉	1	K01009611	Ta031611	1016611.jpg
S00290	K0100961	伔	2	K01009612	Ta031612	1016612.jpg
S00291	K0100964	⿰亻⿱𠂉凡	1	K01009641	Ta031641	1016641.jpg
S00292	K0100964	〓	2	K01009642	Ta031642	1016642.jpg
S00293	K0100964	〓	3	K01009643	Ta031643	1016643.jpg
S00294	K0100971	伉	1	K01009711	Ta031711	1016711.jpg
S00295	K0100971	儷	2	K01009712	Ta031712	1016712.jpg
S00296	K0100981	儷	1	K01009810	Ta031810	1016810.jpg
S00297	K0100982	㒧	1	K01009820	Ta031820	1016820.jpg
S00298	K0100983	㐾	1	K01009831	Ta031831	1016831.jpg
S00299	K0100983	㐳	2	K01009832	Ta031832	1016832.jpg
S00300	K0100984	仡	1	K01009840	Ta031840	1016840.jpg
S00301	K0101011	㐹	1	K01010110	Ta032110	1017110.jpg
S00302	K0101012	优	1	K01010120	Ta032120	1017120.jpg
S00303	K0101013	㐾	1	K01010130	Ta032130	1017130.jpg
S00304	K0101014	俒	1	K01010140	Ta032140	1017140.jpg
S00305	K0101021	⿰亻皃	1	K01010210	Ta032210	1017210.jpg
S00306	K0101022	𠉵	1	K01010220	Ta032220	1017220.jpg
S00307	K0101023	侻	1	K01010230	Ta032230	1017230.jpg
S00308	K0101024	侁	1	K01010240	Ta032240	1017240.jpg
S00309	K0101031	侊	1	K01010310	Ta032310	1017310.jpg
S00310	K0101032	⿰亻充	1	K01010320	Ta032320	1017320.jpg
S00311	K0101033	⿰亻尭	1	K01010331	Ta032331	1017331.jpg
S00312	K0101033	僥	2	K01010332	Ta032332	1017332.jpg
S00313	K0101041	僥	1	K01010411	Ta032411	1017411.jpg
S00314	K0101041	倖	2	K01010412	Ta032412	1017412.jpg
S00315	K0101043	倖	1	K01010431	Ta032431	1017431.jpg
S00316	K0101043	倖β	2	K01010432	Ta032432	1017432.jpg
S00317	K0101044	⿰亻兜	1	K01010440	Ta032440	1017440.jpg
S00318	K0101051	俛	1	K01010510	Ta032510	1017510.jpg
S00319	K0101053	俯	1	K01010531	Ta032531	1017531.jpg
S00320	K0101053	俛	2	K01010532	Ta032532	1017532.jpg
S00321	K0101061	俯	1	K01010611	Ta032611	1017611.jpg
S00322	K0101061	仰	2	K01010612	Ta032612	1017612.jpg
S00323	K0101064	俛	1	K01010641	Ta032641	1017641.jpg
S00324	K0101064	仰	2	K01010642	Ta032642	1017642.jpg
S00325	K0101071	端	1	K01010711	Ta032711	1017711.jpg
S00326	K0101071	仰	2	K01010712	Ta032712	1017712.jpg
S00327	K0101072	儳	1	K01010720	Ta032720	1017720.jpg
S00328	K0101074	儳	1	K01010741	Ta032741	1017741.jpg
S00329	K0101074	儳	2	K01010742	Ta032742	1017742.jpg
S00330	K0101081	儳	1	K01010811	Ta032811	1017811.jpg
S00331	K0101081	和	2	K01010812	Ta032812	1017812.jpg
S00332	K0101082	儳	1	K01010821	Ta032821	1017821.jpg
S00333	K0101082	言	2	K01010822	Ta032822	1017822.jpg
S00334	K0101083	僶	1	K01010831	Ta032831	1017831.jpg
S00335	K0101083	僶	2	K01010832	Ta032832	1017832.jpg
S00336	K0101111	傀	1	K01011111	Ta033111	1018111.jpg
S00337	K0101111	儡	2	K01011112	Ta033112	1018112.jpg
S00338	K0101121	𧝛	1	K01011211	Ta033211	1018211.jpg
S00339	K0101121	𠐦	2	K01011212	Ta033212	1018212.jpg
S00340	K0101122	𠐤	1	K01011221	Ta033221	1018221.jpg
S00341	K0101122	𧝛	2	K01011222	Ta033222	1018222.jpg
S00342	K0101122	𠎺	3	K01011223	Ta033223	1018223.jpg
