# HDIC Project
# HDIC is an abbreviation of the Integrated Database of Hanzi Dictionaries in Early Japan
#
# KRM: Kanchi’inbon Ruiju Myogisho database
#
# Ruiju myogishō 類聚名義抄, Kanchi’in copy 観智院本, reorganized edition 改編本. 
# anonymous Buddhist monk, the latter half of the 12th century.
#
# krm_wakun.tsv
# Version: 1.2.2
# Date: 11 June 2024
# Last update : 12 May 2025
#
# This file is a new version of KRM_wakun.tsv with updated specifications.
# The version number of KRM.tsv was 1.1.97, and it was last updated on March 17, 2025.
# This new version has been renamed to krm_wakun.tsv and will start with version 1.2.0.
#
# Copyright (c) 2024-2025 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com, kleinekuma@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# KRM Format information:
# wakun_id	Wakun ID, extracted from kr_definition_sequence_id, containing only entries where the type of order is Japanese reading (wakun). Variant forms are appended with 'b', 'c', 'd'.
# definition_seq_id	5-digit numeric ID starting with 'F', sequentially assigned to heading entries. Definition components under each heading are ordered based on their appearance, and order indicators like _01, _02, etc., are appended accordingly. The heading itself is appended with _00.
# kazama_location	An ID indicating K + Volume (2 digits) + Kazama Edition Page (3 digits) + Line (1 digit) + Segment (1 digit) + 字順 (1 digit). Details of the rules for assigning 字順 are defined separately.
# hanzi_entry	Collated Hanzi characters, standardized to the Kangxi dictionary form, including Unicode-representable variant forms.
# wakun_elements	Extracted Japanese reading (wakun) components from the full definition, one component per entry.
# wakun_form	Form of the Japanese reading (wakun). Inflected words are in dictionary form, excluding particles. The particles 'no' and 'to' from 文選 readings are omitted.
# wakun_standard_hanzi	Standard wakun notation using standard kanji.
# wakun_variant_in_hanzi	Variant form of wakun notation using standard Hanzi characters.
# variant_hanzi_for_wakun	Wakun notation using variant Hanzi characters (itai-ji).
# japan_knowledge_id	The alphanumeric part of the JapanKnowledge URL for the corresponding entry in the Nihon Kokugo Daijiten 2nd Ed., starting from "20020" to the end, is recorded here if the wakun exists as a headword. If the wakun does not exist as a headword in the JapanKnowledge edition, null is entered.
#
#
# Abbreviations:
# 正宗索引: 正宗敦夫編, 類聚名義抄 仮名索引, 日本古典全集刊行会, 1939-1940
# 岡田研究: 岡田希雄, 類聚名義抄の研究, 一条書房, 1944
# 望月和訓集成: 望月郁子編, 類聚名義抄: 四種声点付和訓集成, 笠間書院, 1974
# 中村文選: 中村宗彦, 九条本文選古訓集, 風間書房, 1983
# 草川和訓集成: 草川昇編, 五本対照類聚名義抄和訓集成, 汲古書院, 2000
# 西端誤写考察: 西端幸雄, 類聚名義抄における誤写の考察, 訓点語と訓点資料45, 1971
# 西端誤写諸例: 西端幸雄, 類聚名義抄における誤写の諸例, 訓点語と訓点資料52，1973
# 略注: 佐藤喜代治，色葉字類抄略注，明治書院，1995
# 群書治要: 小林芳規・原卓志・山本秀人・山本真吾・佐々木勇編, 宮内庁書陵部蔵本群書治要経部語彙索引, 汲古書院, 1996
# 毛詩鄭箋: 毛詩鄭箋（一）（二）（三）, 古典研究会叢書漢籍之部１～３, 原本所蔵静嘉堂文庫, 汲古書院, 1992
#
# Acknowledgments:
# We are grateful to Tenri Central Library and Yagi Shoten for permission to publishment of the decipherment text of KRM.
#
# This work was supported by JSPS KAKENHI Grant Number 16H03422, 19H00526, 23K17500 and 25K00466.
#
#
wakun_id	definition_seq_id	kazama_location	hanzi_entry	wakun_elements	wakun_form	wakun_standard_hanzi	wakun_variant_in_hanzi	variant_hanzi_for_wakun	japan_knowledge_id
F00020_01	F00020_01	K01002111	仿／像	ホノカナリ	ほのかなり	ホノカ（仿像）			200203e19b0aS2G72RmI
F00022_02	F00022_02	K01002130	僧	カハラク（HHHLV）	やはらぐ	ヤハラグ（僧）			20020440290cyq0Lt2Jf
F00022_03	F00022_03	K01002130	僧	ネムコロ	ねむころ	ネムコロ（僧）			200203457f5bvL1U5kd9
F00022_04	F00022_04	K01002130	僧	サトル	さとる	サトル（僧）			200201c1ec8f8QrKR7OQ
F00024_03	F00024_03	K01002220	⿰亻胃	サソフ	さそふ	サソフ（⿰亻胃）			200201be9384h55fEFad
F00025_02	F00025_02	K01002230	倡	ウタヽヽヒ（HH__L）	うたうたひ	ウタウタヒ（倡）			200200659b85saNOLzJ1
F00025_03	F00025_03	K01002230	倡	ウタメ	うため	ウタメ（倡）			200200663157YZbxNrg7
F00025_04	F00025_04	K01002230	倡	ウタフ	うたふ	ウタフ（倡）			200200659929M7R29NmF
F00025_05	F00025_05	K01002230	倡	イサナウ（LLV__）	いざなふ	イザナフ（倡）			20020037031c4z3E0udw
F00025_06	F00025_06	K01002230	倡	アソフ	あそぶ	アソブ（倡）			200200167b1b771K8OcV
F00025_07	F00025_07	K01002230	倡	マフ	まふ	マフ（倡）			200203e9addaTQu4xy4H
F00025_08	F00025_08	K01002230	倡	ワサウタ（HHV__）	わざうた	ワザウタ（倡）			200204804573Wh63vkK3
F00026_01	F00026_01	K01002311	ー（倡）／導	イサナヒミチヒク（LLVHH____）	いざなひみちびく	イザナヒミチビク（倡導）			null
F00027_01	F00027_01	K01002321	ー（倡）／女	ウタメ	うため	ウタメ（倡女）			200200663157YZbxNrg7
F00028_02	F00028_02	K01002330	侶	トモ（HH）	とも	トモ（侶）			2002031002b9ETM8BTpF
F00028_03	F00028_03	K01002330	侶	トモカラ	ともがら	トモガラ（侶）			20020310456028YOr4aT
F00029_02	F00029_02	K01002410	㐰	マコト	まこと	マコト（㐰）			200203edde30X8qz21S1
F00030_02	F00030_02	K01002420	伿	コヽロ	こころ	ココロ（伿）			2002018ab915n56uC8Fy
F00030_03	F00030_03	K01002420	伿	モノウシ	ものうし	モノウシ（伿）			2002042a78d9Xah0weT2
F00031_02	F00031_02	K01002430	佋	テラス	てらす	テラス（佋）			200202ea18d8PviloTP4
F00031_03	F00031_03	K01002430	佋	カロヽヽシ	かろがろし	カロガロシ（佋）			200200f27670Zy2s96W7
F00032_11	F00032_11	K01002511	偘／侃	タヽノトモ	たたのとも	タタノトモ（侃）		タタノトモ（偘）	
F00033_02	F00033_02	K01002610	仁	キミ（HH）	きみ	キミ（仁）			20020116e6d1U1lXFc66
F00033_03	F00033_03	K01002610	仁	ナムチ（HHHV）	なむぢ	ナムヂ（仁）			2002032bfb6dgbzi7wU2
F00033_04	F00033_04	K01002610	仁	ヒト（HL）	ひと	ヒト（仁）			2002038b2b0dSG3SH587
F00033_05	F00033_05	K01002610	仁	ウツクシフ（LL___）	うつくしぶ	ウツクシブ（仁）			20020069debbusdGkn21
F00033_06	F00033_06	K01002610	仁	メクム	めぐむ	メグム（仁）			2002041d43464QGw1bAx
F00033_07	F00033_07	K01002610	仁	ムツマシ	むつまし	ムツマシ（仁）			20020415ca69kDM2L5x5
F00033_08	F00033_08	K01002610	仁	ヨシ	よし	ヨシ（仁）			2002044c35eecK16K1He
F00033_09	F00033_09	K01002610	仁	ヨロコフ	よろこぶ	ヨロコブ（仁）			2002045b4782T59A0HGL
F00033_10	F00033_10	K01002610	仁	ユルス	ゆるす	ユルス（仁）			2002044b511276oV7g12
F00033_11	F00033_11	K01002610	仁	シノフ	しのふ	シノフ（仁）			
F00033_12	F00033_12	K01002610	仁	タフトシ	たふとし	タフトシ（仁）			200202fbc4f2Do7v3c9m
F00034_01	F00034_01	K01002641	不／ー（仁）	カタネ（LLL）	かたね	カタネ（不仁）			200200d8504d7uw48fbt
F00034_02	F00034_02	K01002641	不／ー（仁）	アシタヽス（LLLHLV）	あしたたず	アシタタズ（不仁）			2002001358ebiQOR2ah5
F00037_02	F00037_02	K01002730	仕	ツカフ（HHL）	つかふ	ツカフ（仕）			200202ce6490US4Gl5ir
F00037_03	F00037_03	K01002730	仕	ツカマツル（HL___）	つかまつる	ツカマツル（仕）			200202cea27fXvtmdO17
F00037_04	F00037_04	K01002730	仕	ミヤツカヘ	みやづかへ	ミヤヅカヘ（仕）			2002040b45c66PqB5X8e
F00037_05	F00037_05	K01002730	仕	ツモム	つもむ	ツモム（仕）			
F00038_02	F00038_02	K01002810	任	タヘタリ（LR__、ヘ-フ）	たへたり	タヘタリ（任）	タフ（任）		20020295e88b6kut65BZ
F00038_02b	F00038_02	K01002810	任	タヘタリ（LR__、ヘ-フ）	たふ	タフ（任）	タヘタリ（任）		20020295e88b6kut65BZ
F00038_03	F00038_03	K01002810	任	ヲホキナリ（LLHLL）	おほきなり	オホキ（任）			2002008dedc90gl611c8
F00038_04	F00038_04	K01002810	任	マカス（LLL）	まかす	マカス（任）			200203ead42fkN25B57z
F00038_05	F00038_05	K01002810	任	マヽ（H_）	まま	ママ（任）			200203f5d2ebuC1D851D
F00038_06	F00038_06	K01002810	任	ホシイマヽ（LLH__）	ほしいまま	ホシイママ（任）			200203db5d27xwf87tRQ
F00038_07	F00038_07	K01002810	任	タモツ（HHL）	たもつ	タモツ（任）			200202a9f7b9KuMI65is
F00038_08	F00038_08	K01002810	任	ハラム（LLH）	はらむ	ハラム（任）			2002037177589g8919Ju
F00038_09	F00038_09	K01002810	任	アタル（HH_）	あたる	アタル（任）			200200181a5bdY5Dx8M9
F00038_10	F00038_10	K01002810	任	タツ	たつ	タツ（任）			200202a0f4419jCJ8bMr
F00038_11	F00038_11	K01002810	任	ヒテ	ひて	ヒテ（任）			
F00038_12	F00038_12	K01002810	任	ヲフ（L_）	おふ	オフ（任）			200200890a23Q426iy0P
F00038_13	F00038_13	K01002810	任	マサ	まさ	マサ（任）			200203ee16d01EMRJ2Rb
F00038_14	F00038_14	K01002810	任	モチイテ	もちゐる	モチヰル（任）			200204276d13riVKnejS
F00038_15	F00038_15	K01002810	任	イタク	いだく	イダク（任）			2002003d521aN8dMa9a6
F00038_16	F00038_16	K01002810	任	アツ	あつ	アツ（任）			2002001a54bc9c8o4THr
F00040_02	F00040_02	K01003120	住	スム（LH）	すむ	スム（住）			2002025081dcaYSiq797
F00040_03	F00040_03	K01003120	住	ハシム	はしむ	ハシム（住）			2002035d1175ou73t06e
F00040_04	F00040_04	K01003120	住	タツ	たつ	タツ（住）			200202a0f4419jCJ8bMr
F00041_01	F00041_01	K01003130	𠌃	スミカ	すみか	スミカ（𠌃）			2002024fabbfY5Ap9xBe
F00041_02	F00041_02	K01003130	𠌃	トヽマル（HHV__）	とどまる	トドマル（𠌃）			2002030c3eeb831tC9q6
F00041_03	F00041_03	K01003130	𠌃	タハフル	たはぶる	タハブル（𠌃）			200202ac0674yyHAxTy9
F00041_04	F00041_04	K01003130	𠌃	タマフ	たまふ	タマフ（𠌃）			
F00041_05	F00041_05	K01003130	𠌃	ツク	つく	ツク（𠌃）			
F00042_02	F00042_02	K01003210	佳	ヨシ	よし	ヨシ（佳）			2002044c35eecK16K1He
F00042_03	F00042_03	K01003210	佳	ヲホイナリ	おほいなり	オホイ（佳）	ヤスシ（佳）		2002008ca703RVU99BXl
F00042_04	F00042_04	K01003210	佳	カス	やすし	ヤスシ（佳）	オホイ（佳）		200204359c2717D5tN2L
F00042_05	F00042_05	K01003210	佳	ミナ	みな	ミナ（佳）			200204074665fip57NeO
F00042_06	F00042_06	K01003210	佳	フカシ	ふかし	フカシ（佳）			
F00042_07	F00042_07	K01003210	佳	フサヌ	ふさぬ	フサヌ（佳）			200203a9be47Yt5GlV4E
F00043_02	F00043_02	K01003230	位	クラヰ	くらゐ	クラヰ（位）			20020146f530790YdeRm
F00043_03	F00043_03	K01003230	位	イカタ（HHH）	いかた	イカタ（位）			2002003181f9oUhL3PBi
F00043_05	F00043_05	K01003230	位	タヽ	ただ	タダ（位）			2002029e0690XpGp7eHm
F00043_06	F00043_06	K01003230	位	ヒラ	ひら	ヒラ（位）			20020399486ffj51se8U
F00043_07	F00043_07	K01003230	位	ヨシ	よし	ヨシ（位）			2002044c35eecK16K1He
F00044_02	F00044_02	K01003311	版／ー（位）	シルシノキ（HH___）	しるしのき	シルシノキ（版位）			2002022e8806p711W649
F00045_02	F00045_02	K01003320	倚	ヨル（H_）	よる	ヨル（倚）			2002045adcbf1HwVi3Ru
F00045_03	F00045_03	K01003320	倚	ヨリタテリ	よりたてり	ヨリタテリ（倚）			2002045a8db5zh8v08Bb
F00045_04	F00045_04	K01003320	倚	タノム（LLH）	たのむ	タノム（倚）			200202a5c3d9t5874g64
F00045_05	F00045_05	K01003320	倚	カタフタ	かたふく	カタフク（倚）			
F00045_06	F00045_06	K01003320	倚	ヨセタツ	よせたつ	ヨセタツ（倚）			2002045594d3ZDTSsD2q
F00045_07	F00045_07	K01003320	倚	ヨリイル	よりゐる	ヨリヰル（倚）			2002045a52b9OQI62DOu
F00045_08	F00045_08	K01003320	倚	ヒヽム	よよむ	ヨヨム（倚）			2002045a27137gib7jIQ
F00045_09	F00045_09	K01003320	倚	ヨリフス	よりふす	ヨリフス（倚）			2002045ab0828kFxN777
F00046_01	F00046_01	K01003411	徒／ー（倚）	タヽスム（LHHVL）	たたずむ	タタズム（徒倚）			2002029eab21gDJnG16U
F00046_02	F00046_02	K01003411	徒／ー（倚）	ヨロホフ	よろほふ	ヨロホフ（徒倚）			null
F00047_01	F00047_01	K01003421	ー（倚）／子	イシ	いし	イシ（倚子）			200200379f6bLW75LB2q
F00048_02	F00048_02	K01003430	倍	マサル-ス（__L-_）	まさる	マサル（倍）	マス（倍）		200203ee8065WmZy53m5
F00048_02b	F00048_02	K01003430	倍	マサル-ス（__L-_）	ます	マス（倍）	マサル（倍）		200203ef216c3HehTp1Q
F00048_03	F00048_03	K01003430	倍	マスヽヽ	ますます	マスマス（倍）			200203ef8a6amkLR1ij0
F00048_04	F00048_04	K01003430	倍	ソムク（LLH）	そむく	ソムク（倍）			2002028545df87wr7y3n
F00048_05	F00048_05	K01003430	倍	ヘク（LHV）	へぐ	ヘグ（倍）			200203c4a679np9X4H16
F00048_06	F00048_06	K01003430	倍	イカタ	いかた	イカタ（倍）			
F00048_07	F00048_07	K01003430	倍	イハフ	くはふ	クハフ（倍）			2002014e2617KAVm3AZ4
F00048_08	F00048_08	K01003430	倍	ハムヘリ	はむべり	ハムベリ（倍）			2002037ad899frE23W8p
F00048_09	F00048_09	K01003430	倍	ツカフ	つかふ	ツカフ（倍）			200202ce6490US4Gl5ir
F00048_10	F00048_10	K01003430	倍	アト	あと	アト（倍）			
F00048_11	F00048_11	K01003430	倍	イラヽヽ	いよいよ	イヨイヨ（倍）			20020052b215027KWYHS
F00048_12	F00048_12	K01003430	倍	*アツヽカへ	あつつかへ	アツツカヘ（倍）			200200194ab7VLnNU2W5
F00048_13	F00048_13	K01003430	倍	マヽ	ます	マス（倍）			200203ef216c3HehTp1Q
F00048_16	F00048_16	K01003430	倍	ソムク	そむく	ソムク（倍）			2002028545df87wr7y3n
F00049_01	F00049_01	K01003521	ー（倍）／羅／麼	ホロノハ	ほろのは	ホロノハ（倍羅麼）			200203e3d278ItR9bdbW
F00050_02	F00050_02	K01003530	佞	ヘツラフ	へつらふ	ヘツラフ（佞）			200203c759c58r73vePi
F00050_03	F00050_03	K01003530	佞	カタマシ（マ-ム）	かだまし	カダマシ（佞）	カダム（佞）		200200d8dc1810wn66X5
F00050_03b	F00050_03	K01003530	佞	カタマシ（マ-ム）	かだむ	カダム（佞）	カダマシ（佞）		200200d911c5Tp22CJB2
F00050_04	F00050_04	K01003530	佞	ミタリカハシ	みだりかはし	ミダリカハシ（佞）			20020403fcb02sg0qB1B
F00050_05	F00050_05	K01003530	佞	オコツル	をこつる	ヲコツル（佞）			20020099907fC69mzilU
F00050_06	F00050_06	K01003530	佞	アサムク	あざむく	アザムク（佞）			20020011ac1aIplfuE02
F00050_07	F00050_07	K01003530	佞	イツハル	いつはる	イツハル（佞）			20020048c9c1IvuXk3P3
F00053_04	F00053_04	K01003630	億	ヲモフ	おもふ	オモフ（億）			200200ab4db4w7JnMx40
F00053_05	F00053_05	K01003630	億	ヲモハカル	おもはかる	オモハカル（億）			200200ac9f18keM2mE2M
F00053_06	F00053_06	K01003630	億	カナラス	かならず	カナラズ（億）			200200e122396YMFHN0f
F00054_02	F00054_02	K01003710	僮	ヤツカレ	やつかれ	ヤツカレ（僮）			2002043783f400j8t25T
F00054_03	F00054_03	K01003710	僮	ヤツコ	やつこ	ヤツコ（僮）			20020437a758ZI56jiGv
F00054_04	F00054_04	K01003710	僮	ワラへ（LL_）	わらべ	ワラベ（僮）			20020483cabb1lJtbPIT
F00054_05	F00054_05	K01003710	僮	カタイナシ	かたくなし	カタクナシ（僮）			200200d6e2020vZWPz2B
F00054_06	F00054_06	K01003710	僮	ツカヒ人	つかひびと	ツカヒビト（僮）			200202ce454d0W240801
F00054_07	F00054_07	K01003710	僮	ツク	つく	ツク（僮）			200202d103ceAV2d8e9i
F00054_08	F00054_08	K01003710	僮	マツ	まつ	マツ（僮）			200203f19aeaxagd3QQg
F00055_01	F00055_01	K01003731	停／ー（僮）	マトヤカナリ（LLHL__）	まとやかなり	マトヤカ（停僮）			200203f45d8cRE8cwv21
F00055_03	F00055_03	K01003731	停／ー（僮）	トヽマル（HHV__、マ-ム）	とどまる	トドマル（停）	トドム（停）		2002030c3eeb831tC9q6
F00055_03b	F00055_03	K01003731	停／ー（僮）	トヽマル（HHV__、マ-ム）	とどむ	トドム（停）	トドマル（停）		2002030c4ab7Lnh6RPkI
F00055_04	F00055_04	K01003731	停／ー（僮）	トヽコホル	とどこほる	トドコホル（停）			2002030c2a46l75fpI6u
F00055_05	F00055_05	K01003731	停／ー（僮）	ヤム	やむ	ヤム（停）			2002043e7527z8UYW336
F00055_06	F00055_06	K01003731	停／ー（僮）	ヤスム	やすむ	ヤスム（停）			200204360dfe3DzhydCA
F00055_07	F00055_07	K01003731	停／ー（僮）	ヤトル	やどる	ヤドル（停）			20020438cdadLU8Ho48g
F00055_08	F00055_08	K01003731	停／ー（僮）	ヒトシ	ひとし	ヒトシ（停）			2002038cdad1VgEzoU4P
F00055_09	F00055_09	K01003731	停／ー（僮）	ツヽヰル	つづゐる	ツヅヰル（停）			200202d4651b3By5vZhK
F00057_02	F00057_02	K01003820	傍	カタハラ（LL__）	かたはら	カタハラ（傍）			200200d9be011pVYhVBy
F00057_03	F00057_03	K01003820	傍	ソフ（HL）	そふ	ソフ（傍）			200202739cb8e0X5f6H6
F00057_04	F00057_04	K01003820	傍	カタヽヽ（HH__）	かたかた	カタカタ（傍）			200200d681ddsj0pF5jM
F00057_05	F00057_05	K01003820	傍	ソハ	そば	ソバ（傍）			200202842f77kxc0FLQs
F00057_06	F00057_06	K01003820	傍	アマネシ-ク	あまねし	アマネシ（傍）	アマネク（傍）		2002002082b2rEcmSY5q
F00057_06b	F00057_06	K01003820	傍	アマネシ-ク	あまねく	アマネク（傍）	アマネシ（傍）		20020020821brGz2Zen4
F00057_07	F00057_07	K01003820	傍	チカシ	ちかし	チカシ（傍）			200202b3642fc4ROtfKf
F00057_08	F00057_08	K01003820	傍	ホトリ	ほとり	ホトリ（傍）			200203e11781t71klYFl
F00057_09	F00057_09	K01003820	傍	ナラフ	ならぶ	ナラブ（傍）			200203299c7a3p5Od2qa
F00057_10	F00057_10	K01003820	傍	ヨル	よる	ヨル（傍）			2002045adcbf1HwVi3Ru
F00057_11	F00057_11	K01003820	傍	ツク	つく	ツク（傍）			200202d0fde8FgbEw0eE
F00058_01	F00058_01	K01004111	傍／偟	ーートタチモトホル（__HHLHL）	たちもとほる	タチモトホル（傍偟）			200202a0aea7KTH62YMu
F00059_01	F00059_01	K01004121	仿／ー（偟）	同	たちもとほる	タチモトホル（仿偟）			200202a0aea7KTH62YMu
F00059_03	F00059_03	K01004121	仿／ー（偟）	タチモトホル	たちもとほる	タチモトホル（偟）			200202a0aea7KTH62YMu
F00059_04	F00059_04	K01004121	仿／ー（偟）	*タチマチ	たちまち	タチマチ（偟）			200202a0983d122VnbUN
